feature,table,required,include,path,notes
core,scenarios,1,1,scenarios,
core,solver,1,1,solver,requires both solver options and description csvs
core,temporal,1,1,temporal,"Tables include temporal_timepoints, temporal_periods, temporal_horizons, temporal_horizon_timepoints, temporal_subproblems, temporal_subproblems_stages"
core,project_portfolios,1,1,project/project_portfolios,
core,project_operational_chars,1,1,project/project_operational_chars,
core,system_load,1,1,system/system_load,
core,geography_load_zones,1,1,geography/geography_load_zones,
core,project_load_zones,1,1,project/project_load_zones,
data_dependent,project_existing_capacity,0,0,project/project_existing_capacity,
data_dependent,project_existing_fixed_cost,0,0,project/project_existing_fixed_cost,
data_dependent,project_new_cost,0,0,project/project_new_cost,
data_dependent,project_new_potential,0,0,project/project_new_potential,
data_dependent,project_heat_rate_curves,0,0,project/project_heat_rate_curves,
data_dependent,project_hydro_operational_chars,0,0,project/project_hydro_operational_chars,
data_dependent,project_variable_generator_profiles,0,0,project/project_variable_generator_profiles,
data_dependent,project_shiftable_load_supply_curve,0,0,,not implemented yet in csvs import
data_dependent,project_availability_types,0,0,project/project_availability/project_availability_types,
data_dependent,project_availability_endogenous,0,0,project/project_availability/project_availability_endogenous,not implemented yet in csvs import
data_dependent,project_availability_exogenous,0,0,project/project_availability/project_availability_exogenous,
fuels,project_fuels,0,0,feature/fuels/project_fuels,
fuels,project_fuel_prices,0,0,feature/fuels/project_fuel_prices,
transmission,transmission_portfolios,0,0,feature/transmission/transmission_portfolios,
transmission,transmission_load_zones,0,0,feature/transmission/transmission_load_zones,
transmission,transmission_existing_capacity,0,0,feature/transmission/transmission_existing_capacity,
transmission,transmission_operational_chars,0,0,feature/transmission/transmission_operational_chars,
transmission,transmission_new_cost,0,0,feature/transmission/transmission_new_cost,
transmission_hurdle_rates,transmission_hurdle_rates,0,0,feature/transmission_hurdle_rates,
simultaneous_flow_limits,transmission_simultaneous_flow_limits,0,0,,not implemented yet in csvs import
simultaneous_flow_limits,transmission_simultaneous_flow_limit_line_groups,0,0,,not implemented yet in csvs import
lf_reserves_up,geography_lf_reserves_up_bas,0,0,feature/lf_reserves_up/geography_lf_reserves_up_bas,
lf_reserves_up,project_lf_reserves_up_bas,0,0,feature/lf_reserves_up/project_lf_reserves_up_bas,
lf_reserves_up,system_lf_reserves_up,0,0,feature/lf_reserves_up/system_lf_reserves_up,
lf_reserves_down,geography_lf_reserves_down_bas,0,0,feature/lf_reserves_down/geography_lf_reserves_down_bas,
lf_reserves_down,project_lf_reserves_down_bas,0,0,feature/lf_reserves_down/project_lf_reserves_down_bas,
lf_reserves_down,system_lf_reserves_down,0,0,feature/lf_reserves_down/system_lf_reserves_down,
regulation_up,geography_regulation_up_bas,0,0,feature/regulation_up/geography_regulation_up_bas,
regulation_up,project_regulation_up_bas,0,0,feature/regulation_up/project_regulation_up_bas,
regulation_up,system_regulation_up,0,0,feature/regulation_up/system_regulation_up,
regulation_down,geography_regulation_down_bas,0,0,feature/regulation_down/geography_regulation_down_bas,
regulation_down,project_regulation_down_bas,0,0,feature/regulation_down/project_regulation_down_bas,
regulation_down,system_regulation_down,0,0,feature/regulation_down/system_regulation_down,
frequency_response,geography_frequency_response_bas,0,0,feature/frequency_response/geography_frequency_response_bas,
frequency_response,project_frequency_response_bas,0,0,feature/frequency_response/project_frequency_response_bas,
frequency_response,system_frequency_response,0,0,feature/frequency_response/system_frequency_response,
spinning_reserves,geography_spinning_reserves_bas,0,0,feature/spinning_reserves/geography_spinning_reserves_bas,
spinning_reserves,project_spinning_reserves_bas,0,0,feature/spinning_reserves/project_spinning_reserves_bas,
spinning_reserves,system_spinning_reserves,0,0,feature/spinning_reserves/system_spinning_reserves,
rps,geography_rps_zones,0,0,feature/rps/geography_rps_zones,
rps,project_rps_zones,0,0,feature/rps/project_rps_zones,
rps,system_rps_targets,0,0,feature/rps/system_rps_targets,
carbon_cap,geography_carbon_cap_zones,0,0,feature/carbon_cap/geography_carbon_cap_zones,
carbon_cap,project_carbon_cap_zones,0,0,feature/carbon_cap/project_carbon_cap_zones,
carbon_cap,system_carbon_cap_targets,0,0,feature/carbon_cap/system_carbon_cap_targets,
track_carbon_imports,transmission_carbon_cap_zones,0,0,feature/track_carbon_imports/transmission_carbon_cap_zones,
prm,geography_prm_zones,0,0,feature/prm/geography_prm_zones,
prm,project_prm_zones,0,0,feature/prm/project_prm_zones,
prm,project_elcc_chars,0,0,feature/prm/project_elcc_chars,
prm,project_prm_energy_only,0,0,feature/prm/project_prm_energy_only,not implemented yet in csvs import
prm,system_prm_requirement,0,0,feature/prm/system_prm_requirement,
prm,system_prm_zone_elcc_surface,0,0,,not implemented yet in csvs import
elcc_surface,project_elcc_surface,0,0,feature/elcc_surface/project_elcc_surface,not implemented yet in csvs import
local_capacity,geography_local_capacity_zones,0,0,feature/local_capacity/geography_local_capacity_zones,not implemented yet in csvs import
local_capacity,project_local_capacity_zones,0,0,feature/local_capacity/project_local_capacity_zones,not implemented yet in csvs import
local_capacity,project_local_capacity_chars,0,0,feature/local_capacity/project_local_capacity_chars,not implemented yet in csvs import
local_capacity,system_local_capacity_requirement,0,0,feature/local_capacity/system_local_capacity_requirement,not implemented yet in csvs import
tuning,tuning,0,0,feature/tuning,
