frequency_response_scenario_id,frequency_response_ba,stage_id,timepoint,frequency_response_mw
1,BA_frequency_response_1,1,20200101,200
1,BA_frequency_response_1,1,20200102,200
1,BA_frequency_response_1,1,20200103,200
1,BA_frequency_response_1,1,20200104,200
1,BA_frequency_response_1,1,20200201,200
1,BA_frequency_response_1,1,20200202,200
1,BA_frequency_response_1,1,20200203,200
1,BA_frequency_response_1,1,20200204,200
1,BA_frequency_response_1,1,20250101,200
1,BA_frequency_response_1,1,20250102,200
1,BA_frequency_response_1,1,20250103,200
1,BA_frequency_response_1,1,20250104,200
1,BA_frequency_response_1,1,20250201,200
1,BA_frequency_response_1,1,20250202,200
1,BA_frequency_response_1,1,20250203,200
1,BA_frequency_response_1,1,20250204,200
