spinning_reserves_scenario_id,spinning_reserves_ba,stage_id,timepoint,spinning_reserves_mw
1,BA_spinning_reserves_1,1,20200101,50
1,BA_spinning_reserves_1,1,20200102,50
1,BA_spinning_reserves_1,1,20200103,50
1,BA_spinning_reserves_1,1,20200104,50
1,BA_spinning_reserves_1,1,20200201,50
1,BA_spinning_reserves_1,1,20200202,50
1,BA_spinning_reserves_1,1,20200203,50
1,BA_spinning_reserves_1,1,20200204,50
1,BA_spinning_reserves_1,1,20250101,50
1,BA_spinning_reserves_1,1,20250102,50
1,BA_spinning_reserves_1,1,20250103,50
1,BA_spinning_reserves_1,1,20250104,50
1,BA_spinning_reserves_1,1,20250201,50
1,BA_spinning_reserves_1,1,20250202,50
1,BA_spinning_reserves_1,1,20250203,50
1,BA_spinning_reserves_1,1,20250204,50
