project,exogenous_availability_scenario_id,stage_id,timepoint,availability_derate
coal_existing,1,1,20200101,0.95
coal_existing,1,1,20200102,0.95
coal_existing,1,1,20200103,0.95
coal_existing,1,1,20200104,0.95
coal_existing,1,1,20200201,0.95
coal_existing,1,1,20200202,0.95
coal_existing,1,1,20200203,0.95
coal_existing,1,1,20200204,0.95
coal_existing,1,1,20250101,0.95
coal_existing,1,1,20250102,0.95
coal_existing,1,1,20250103,0.95
coal_existing,1,1,20250104,0.95
coal_existing,1,1,20250201,0.95
coal_existing,1,1,20250202,0.95
coal_existing,1,1,20250203,0.95
coal_existing,1,1,20250204,0.95
