load_scenario_id,load_zone,stage_id,timepoint,load_mw
2,Zone1,1,20200101,150
2,Zone1,1,20200102,300
2,Zone1,1,20200103,200
2,Zone1,1,20200104,250
2,Zone1,1,20200201,200
2,Zone1,1,20200202,400
2,Zone1,1,20200203,300
2,Zone1,1,20200204,450
2,Zone1,1,20250101,250
2,Zone1,1,20250102,400
2,Zone1,1,20250103,300
2,Zone1,1,20250104,350
2,Zone1,1,20250201,300
2,Zone1,1,20250202,500
2,Zone1,1,20250203,400
2,Zone1,1,20250204,550
2,Zone2,1,20200101,50
2,Zone2,1,20200102,100
2,Zone2,1,20200103,150
2,Zone2,1,20200104,250
2,Zone2,1,20200201,100
2,Zone2,1,20200202,100
2,Zone2,1,20200203,150
2,Zone2,1,20200204,150
2,Zone2,1,20250101,50
2,Zone2,1,20250102,100
2,Zone2,1,20250103,150
2,Zone2,1,20250104,250
2,Zone2,1,20250201,100
2,Zone2,1,20250202,100
2,Zone2,1,20250203,150
2,Zone2,1,20250204,150
