feature,subscenario_id,table,required,include,path,notes
optional,project_availability_scenario_id,project_availability,0,0,,
core,temporal_scenario_id,temporal_horizon_timepoints,1,1,,no scenario name or description in header
core,temporal_scenario_id,temporal_horizons,1,1,,no scenario name or description in header
core,temporal_scenario_id,temporal_periods,1,1,,no scenario name or description in header
core,temporal_scenario_id,temporal_subproblems,1,1,,no scenario name or description in header
core,temporal_scenario_id,temporal_subproblems_stages,1,1,,no scenario name or description in header
core,temporal_scenario_id,temporal_timepoints,1,1,,add scenario name and description to header
core,project_portfolio_scenario_id,project_portfolios,1,1,,
core,project_operational_chars_scenario_id,project_operational_chars,1,1,,
core,load_scenario_id,system_load,1,1,,
core,load_zone_scenario_id,geography_load_zones,1,1,,
core,project_load_zone_scenario_id,project_load_zones,1,1,,
data_dependent,project_existing_capacity_scenario_id,project_existing_capacity,0,1,,
data_dependent,project_existing_fixed_cost_scenario_id,project_existing_fixed_cost,0,0,,
data_dependent,project_new_cost_scenario_id,project_new_cost,0,1,,
data_dependent,project_new_potential_scenario_id,project_new_potential,0,1,,
fuels,fuel_scenario_id,project_fuels,0,1,,
fuels,fuel_price_scenario_id,project_fuel_prices,0,1,,
transmission,transmission_portfolio_scenario_id,transmission_portfolios,0,0,,
transmission,transmission_load_zone_scenario_id,transmission_load_zones,0,0,,
transmission,transmission_existing_capacity_scenario_id,transmission_existing_capacity,0,0,,
transmission,transmission_operational_chars_scenario_id,transmission_operational_chars,0,0,,
transmission,transmission_new_cost_scenario_id,transmission_new_cost,0,0,,
transmission_hurdle_rates,transmission_hurdle_rate_scenario_id,transmission_hurdle_rates,0,0,,
simultaneous_flow_limits,transmission_simultaneous_flow_limit_scenario_id,transmission_simultaneous_flow_limits,0,0,,
simultaneous_flow_limits,transmission_simultaneous_flow_limit_line_group_scenario_id,transmission_simultaneous_flow_limit_line_groups,0,0,,
lf_reserves_up,lf_reserves_up_ba_scenario_id,geography_lf_reserves_up_bas,0,0,,
lf_reserves_up,project_lf_reserves_up_ba_scenario_id,project_lf_reserves_up_bas,0,0,,
lf_reserves_up,lf_reserves_up_scenario_id,system_lf_reserves_up,0,0,,
lf_reserves_down,lf_reserves_down_ba_scenario_id,geography_lf_reserves_down_bas,0,0,,
lf_reserves_down,project_lf_reserves_down_ba_scenario_id,project_lf_reserves_down_bas,0,0,,
lf_reserves_down,lf_reserves_down_scenario_id,system_lf_reserves_down,0,0,,
regulation_up,regulation_up_ba_scenario_id,geography_regulation_up_bas,0,0,,
regulation_up,project_regulation_up_ba_scenario_id,project_regulation_up_bas,0,0,,
regulation_up,regulation_up_scenario_id,system_regulation_up,0,0,,
regulation_down,regulation_down_ba_scenario_id,geography_regulation_down_bas,0,0,,
regulation_down,project_regulation_down_ba_scenario_id,project_regulation_down_bas,0,0,,
regulation_down,regulation_down_scenario_id,system_regulation_down,0,0,,
frequency_response,frequency_response_ba_scenario_id,geography_frequency_response_bas,0,0,,
frequency_response,project_frequency_response_ba_scenario_id,project_frequency_response_bas,0,0,,
frequency_response,frequency_response_scenario_id,system_frequency_response,0,0,,
spinning_reserves,spinning_reserves_ba_scenario_id,geography_spinning_reserves_bas,0,0,,
spinning_reserves,project_spinning_reserves_ba_scenario_id,project_spinning_reserves_bas,0,0,,
spinning_reserves,spinning_reserves_scenario_id,system_spinning_reserves,0,0,,
rps,rps_zone_scenario_id,geography_rps_zones,0,1,,
rps,project_rps_zone_scenario_id,project_rps_zones,0,1,,
rps,rps_target_scenario_id,system_rps_targets,0,1,,
carbon_cap,carbon_cap_zone_scenario_id,geography_carbon_cap_zones,0,0,,
carbon_cap,project_carbon_cap_zone_scenario_id,project_carbon_cap_zones,0,0,,
carbon_cap,carbon_cap_target_scenario_id,system_carbon_cap_targets,0,0,,
track_carbon_imports,transmission_carbon_cap_zone_scenario_id,transmission_carbon_cap_zones,0,0,,
prm,prm_zone_scenario_id,geography_prm_zones,0,0,,
prm,project_prm_zone_scenario_id,project_prm_zones,0,0,,
prm,prm_energy_only_scenario_id,project_prm_energy_only,0,0,,
prm,prm_requirement_scenario_id,system_prm_requirement,0,0,,
elcc_surface,project_elcc_chars_scenario_id,project_elcc_chars,0,0,,
elcc_surface,elcc_surface_scenario_id,project_elcc_surface,0,0,,
local_capacity,local_capacity_zone_scenario_id,geography_local_capacity_zones,0,0,,
local_capacity,project_local_capacity_zone_scenario_id,project_local_capacity_zones,0,0,,
local_capacity,project_local_capacity_chars_scenario_id,project_local_capacity_chars,0,0,,
local_capacity,local_capacity_requirement_scenario_id,system_local_capacity_requirement,0,0,,
tuning,tuning_scenario_id,tuning,0,0,,
data_dependent?,heat_rate_curves_scenario_id,project_heat_rate_curves,0,1,,
data_dependent?,hydro_operational_chars_scenario_id,project_hydro_operational_chars,0,1,,
data_dependent?,variable_generator_profile_scenario_id,project_variable_generator_profiles,0,1,,
data_dependent?,supply_curve_scenario_id,project_shiftable_load_supply_curve,0,0,,
prm,,system_prm_zone_elcc_surface,0,0,,
