temporal_scenario_id,subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day
1,1,1,20200101,2020,6,365,,,1,3
1,1,1,20200102,2020,6,365,,,1,9
1,1,1,20200103,2020,6,365,,,1,15
1,1,1,20200104,2020,6,365,,,1,21
1,1,1,20200201,2020,6,365,,,2,3
1,1,1,20200202,2020,6,365,,,2,9
1,1,1,20200203,2020,6,365,,,2,15
1,1,1,20200204,2020,6,365,,,2,21
1,1,1,20250101,2025,6,365,,,1,3
1,1,1,20250102,2025,6,365,,,1,9
1,1,1,20250103,2025,6,365,,,1,15
1,1,1,20250104,2025,6,365,,,1,21
1,1,1,20250201,2025,6,365,,,2,3
1,1,1,20250202,2025,6,365,,,2,9
1,1,1,20250203,2025,6,365,,,2,15
1,1,1,20250204,2025,6,365,,,2,21
