temporal_scenario_id,subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day
1,1,1,202000101,2020,1,1,,,1,1
1,1,1,202000102,2020,1,1,,,1,2
1,1,1,202000103,2020,1,1,,,1,3
1,1,1,202000104,2020,1,1,,,1,4
1,1,1,202000105,2020,1,1,,,1,5
1,1,1,202000106,2020,1,1,,,1,6
1,1,1,202000107,2020,1,1,,,1,7
1,1,1,202000108,2020,1,1,,,1,8
1,1,1,202000109,2020,1,1,,,1,9
1,1,1,202000110,2020,1,1,,,1,10
1,1,1,202000111,2020,1,1,,,1,11
1,1,1,202000112,2020,1,1,,,1,12
1,1,1,202000113,2020,1,1,,,1,13
1,1,1,202000114,2020,1,1,,,1,14
1,1,1,202000115,2020,1,1,,,1,15
1,1,1,202000116,2020,1,1,,,1,16
1,1,1,202000117,2020,1,1,,,1,17
1,1,1,202000118,2020,1,1,,,1,18
1,1,1,202000119,2020,1,1,,,1,19
1,1,1,202000120,2020,1,1,,,1,20
1,1,1,202000121,2020,1,1,,,1,21
1,1,1,202000122,2020,1,1,,,1,22
1,1,1,202000123,2020,1,1,,,1,23
1,1,1,202000124,2020,1,1,,,1,24
