fuel,co2_intensity_tons_per_mmbtu,fuel_group
Coal_BS,0.09592,
Coal_CA,0.09592,
Coal_CA_South,0.09592,
Coal_NW,0.09592,
Coal_RM,0.09592,
Coal_SW,0.09592,
Distillate_Fuel_Oil_BS,0.07414,
Distillate_Fuel_Oil_CA,0.07414,
Distillate_Fuel_Oil_CA_North,0.07414,
Distillate_Fuel_Oil_CA_South,0.07414,
Distillate_Fuel_Oil_NW,0.07414,
Distillate_Fuel_Oil_RM,0.07414,
Distillate_Fuel_Oil_SW,0.07414,
Gas_BS,0.05291,
Gas_CA,0.05291,
Gas_CA_North,0.05291,
Gas_CA_South,0.05291,
Gas_NW,0.05291,
Gas_RM,0.05291,
Gas_SW,0.05291,
