baa,region,fuel_region
AVA,WECC,NW
AZPS,WECC,SW
BANC,WECC,CA_North
BPAT,WECC,NW
CHPD,WECC,NW
CIPB,WECC,CA_North
CIPV,WECC,CA_North
CISC,WECC,CA_South
CISD,WECC,CA_South
DOPD,WECC,NW
EPE,WECC,SW
GCPD,WECC,NW
IID,WECC,CA_South
IPFE,WECC,BS
IPMV,WECC,BS
IPTV,WECC,BS
LDWP,WECC,CA_South
NEVP,WECC,SW
NWMT,WECC,NW
PACW,WECC,NW
PAID,WECC,BS
PAUT,WECC,BS
PAWY,WECC,BS
PGE,WECC,NW
PNM,WECC,SW
PSCO,WECC,RM
PSEI,WECC,NW
SCL,WECC,NW
SPPC,WECC,SW
SRP,WECC,SW
TEPC,WECC,SW
TH_Malin,WECC,TH_Malin
TH_Mead,WECC,TH_Mead
TH_PV,WECC,TH_PV
TIDC,WECC,CA_South
TPWR,WECC,NW
VEA,WECC,CA_South
WACM,WECC,RM
WALC,WECC,SW
WAUW,WECC,NW
CISO,WECC,CA
IPCO,WECC,BS
PACE,WECC,BS
