code,label,fuel,aeo_prices,notes
AB,agricultural_byproducts,Biomass,,
ANT,anthracite,Coal,1,
BFG,blast_furnace_gas,Gas,1,
BIT,bituminous_coal,Coal,1,
BLQ,black_liquor,Biomass,,
DFO,distillate_fuel_oil,Distillate_Fuel_Oil,1,confirmed_in_eiaaeo
GEO,geothermal,,,
JF,jet_fuel,Petroleum,,
KER,kerosene,Petroleum,,
LFG,landfill_gas,Biomass,,
LIG,lignite,Coal,1,
MSB,municipal_solid_waste_biogenic,Biomass,,
MSN,municipal_solid_nonbiogenic,Petroleum,,
MSW,municipal_solid_waste,Biomass,,
MWH,electricity_storage,,,
NG,natural_gas,Gas,1,confirmed_in_eiaaeo
NUC,nuclear,Uranium,,
OBG,other_biomass_gas,Biomass,,
OBL,other_biomass_liquid,Biomass,,
OBS,other_biomass_solid,Biomass,,
OG,other_gas,Gas,1,
OTH,other,,,
PC,petroleum_coke,Petroleum,,
PG,propane_gas,Petroleum,,
PUR,purchased_steam,,,
RC,refined_coal,Coal,1,
RFO,residual_fuel_oil,Residual_Fuel_Oil,1,confirmed_in_eiaaeo
SC,coal_synfuel,Coal,1,
SG,syngas_other,Gas,1,
SGC,syngas_coal,Coal,1,
SGP,syngas_petroleum_coke,Petroleum,,
SLW,sludge_waste,Biomass,,
SUB,subbituminous_coal,Coal,1,
SUN,solar,,,
TDF,tire_derived_fuels,,,
WAT,water,,,
WC,waste_coal,Coal,1,
WDL,wood_liquids,Biomass,,
WDS,wood_solids,Biomass,,
WH,waste_heat,,,
WND,wind,,,
WO,waste_oil,Petroleum,,
,coal,Coal,1,from_eiaaeo
