prime_mover_code,prime_mover_label,energy_source_code,energy_source_label,fuel_type_eiaaeo,gridpath_generic_fuel,aeo_prices,gridpath_capacity_type,gridpath_operational_type,heat_rate_mmbtu_per_mwh,min_load_fraction,heat_rate_source,agg_project
IC,internal_combustion,DFO,distillate_fuel_oil,distillate_fuel_oil,Distillate_Fuel_Oil,1,gen_spec,gen_commit_bin,10.475,0.4,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
WT,wind_onshore,WND,wind,,,,gen_spec,gen_var_must_take,,,,Wind
HY,hydraulic_turbine,WAT,water,,,,gen_spec,gen_simple,,,,
ST,steam_turbine,NG,natural_gas,natural_gas,Gas,1,gen_spec,gen_commit_bin,10.295,0.7,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
ST,steam_turbine,BIT,bituminous_coal,coal,Coal,1,gen_spec,gen_commit_bin,10.026,0.7,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
CT,combined_cycle_combustion_turbine,NG,natural_gas,natural_gas,Gas,1,gen_spec,gen_commit_bin,7.596,0.5,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
CA,combined_cycle_steam_turbine,NG,natural_gas,natural_gas,Gas,1,gen_spec,gen_commit_bin,7.596,0.5,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
GT,gas_combustion_turbine,NG,natural_gas,natural_gas,Gas,1,gen_spec,gen_commit_bin,11.03,0.4,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
GT,gas_combustion_turbine,DFO,distillate_fuel_oil,distillate_fuel_oil,Distillate_Fuel_Oil,1,gen_spec,gen_commit_bin,13.217,0.4,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
ST,steam_turbine,NUC,nuclear,,Uranium,,gen_spec,gen_simple,,,,
ST,steam_turbine,SUB,subbituminous_coal,coal,Coal,1,gen_spec,gen_commit_bin,10.026,0.7,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
PS,pumped_storage,WAT,water,,,,stor_spec,stor,,,,
CS,combined_cycle_single_shaft,NG,natural_gas,natural_gas,Gas,1,gen_spec,gen_commit_bin,7.596,0.5,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
IC,internal_combustion,NG,natural_gas,natural_gas,Gas,1,gen_spec,gen_commit_bin,8.894,0.4,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
ST,steam_turbine,DFO,distillate_fuel_oil,distillate_fuel_oil,Distillate_Fuel_Oil,1,gen_spec,gen_commit_bin,10.263,0.7,https://www.eia.gov/electricity/annual/html/epa_08_02.html,
BA,battery_storage,MWH,electricity_storage,,,,stor_spec,stor,,,,
