prime_mover_code,label,capacity_type,operational_type
BA,battery_storage,stor_spec,stor
BT,binary_cycle_turbine,gen_spec,gen_simple
CA,combined_cycle_steam_turbine,gen_spec,gen_simple
CC,combined_cycle_total,gen_spec,gen_simple
CE,compressed_air_storagegen_spec,gen_spec,gen_simple
CP,concentrated_solar_storage,gen_spec,gen_simple
CS,combined_cycle_single_shaft,gen_spec,gen_simple
CT,combined_cycle_combustion_turbine,gen_spec,gen_simple
ES,other_storage,stor_spec,stor
FC,fuel_cell,gen_spec,gen_simple
FW,flywheel_storage,stor_spec,stor
GT,gas_combustion_turbine,gen_spec,gen_simple
HA,hydrokinetic_axial_flowgen_spec,gen_spec,gen_simple
HB,hydrokinetic_wave_buoygen_spec,gen_spec,gen_simple
HK,hydrokinetic_othergen_spec,gen_spec,gen_simple
HY,hydraulic_turbine,gen_spec,gen_simple
IC,internal_combustion,gen_spec,gen_simple
OT,othergen_spec,gen_spec,gen_simple
PS,pumped_storage,stor_spec,stor
PV,solar_pv,gen_spec,gen_var_must_take
ST,steam_turbine,gen_spec,gen_simple
UNK,unknowngen_spec,gen_spec,gen_simple
WS,wind_offshore,gen_spec,gen_var_must_take
WT,wind_onshore,gen_spec,gen_var_must_take
