load_zone_unit,load_zone,unit_weight
AVA,AVA,1
AZPS,AZPS,1
BANC,BANC,1
BPAT,BPAT,1
CHPD,CHPD,1
CIPB,CIPB,1
CIPV,CIPV,1
CISC,CISC,1
CISD,CISD,1
DOPD,DOPD,1
EPE,EPE,1
GCPD,GCPD,1
IID,IID,1
IPFE,IPFE,1
IPMV,IPMV,1
IPTV,IPTV,1
LDWP,LDWP,1
NEVP,NEVP,1
NWMT,NWMT,1
PACW,PACW,1
PAID,PAID,1
PAUT,PAUT,1
PAWY,PAWY,1
PGE,PGE,1
PNM,PNM,1
PSCO,PSCO,1
PSEI,PSEI,1
SCL,SCL,1
SPPC,SPPC,1
SRP,SRP,1
TEPC,TEPC,1
TH_Malin,TH_Malin,1
TH_Mead,TH_Mead,1
TH_PV,TH_PV,1
TIDC,TIDC,1
TPWR,TPWR,1
VEA,VEA,1
WACM,WACM,1
WALC,WALC,1
WAUW,WAUW,1
AVA,WECC,1
AZPS,WECC,1
BANC,WECC,1
BPAT,WECC,1
CHPD,WECC,1
CIPB,WECC,1
CIPV,WECC,1
CISC,WECC,1
CISD,WECC,1
DOPD,WECC,1
EPE,WECC,1
GCPD,WECC,1
IID,WECC,1
IPFE,WECC,1
IPMV,WECC,1
IPTV,WECC,1
LDWP,WECC,1
NEVP,WECC,1
NWMT,WECC,1
PACW,WECC,1
PAID,WECC,1
PAUT,WECC,1
PAWY,WECC,1
PGE,WECC,1
PNM,WECC,1
PSCO,WECC,1
PSEI,WECC,1
SCL,WECC,1
SPPC,WECC,1
SRP,WECC,1
TEPC,WECC,1
TH_Malin,WECC,1
TH_Mead,WECC,1
TH_PV,WECC,1
TIDC,WECC,1
TPWR,WECC,1
VEA,WECC,1
WACM,WECC,1
WALC,WECC,1
WAUW,WECC,1
CIPB,CISO,1
CIPV,CISO,1
CISC,CISO,1
CISD,CISO,1
IPFE,IPCO,1
IPMV,IPCO,1
IPTV,IPCO,1
PAID,PACE,1
PAUT,PACE,1
PAWY,PACE,1
