capacity_type,operational_type
dr_new,gen_always_on
dr_new,gen_commit_bin
dr_new,gen_commit_cap
dr_new,gen_commit_lin
dr_new,gen_hydro
dr_new,gen_hydro_must_take
dr_new,gen_must_run
dr_new,gen_simple
dr_new,gen_var
dr_new,gen_var_must_take
dr_new,stor
gen_new_bin,dr
gen_new_lin,dr
gen_ret_bin,dr
gen_ret_lin,dr
gen_spec,dr
stor_new_bin,dr
stor_new_lin,dr
stor_spec,dr
stor_new_bin,gen_always_on
stor_new_bin,gen_commit_bin
stor_new_bin,gen_commit_cap
stor_new_bin,gen_commit_lin
stor_new_bin,gen_hydro
stor_new_bin,gen_hydro_must_take
stor_new_bin,gen_must_run
stor_new_bin,gen_simple
stor_new_bin,gen_var
stor_new_bin,gen_var_must_take
stor_new_lin,gen_always_on
stor_new_lin,gen_commit_bin
stor_new_lin,gen_commit_cap
stor_new_lin,gen_commit_lin
stor_new_lin,gen_hydro
stor_new_lin,gen_hydro_must_take
stor_new_lin,gen_must_run
stor_new_lin,gen_simple
stor_new_lin,gen_var
stor_new_lin,gen_var_must_take
stor_spec,gen_always_on
stor_spec,gen_commit_bin
stor_spec,gen_commit_cap
stor_spec,gen_commit_lin
stor_spec,gen_hydro
stor_spec,gen_hydro_must_take
stor_spec,gen_must_run
stor_spec,gen_simple
stor_spec,gen_var
stor_spec,gen_var_must_take
gen_new_bin,stor
gen_new_lin,stor
gen_ret_bin,stor
gen_ret_lin,stor
gen_spec,stor
