feature,description
core,"Not an actual feature; used to group subscenario IDs that are always required because they are part of ""core"" model functionality"
data_dependent,Not an actual feature; used to group subscenario IDs that are required depending on the input data (e.g. new build resources require a subscenario ID for resource costs)
optional,Not an actual feature; used to group subscenario IDs that are optional such as project availability
fuels,
transmission,
transmission_hurdle_rates,
simultaneous_flow_limits,
lf_reserves_up,
lf_reserves_down,
regulation_up,
regulation_down,
frequency_response,
spinning_reserves,
period_energy_target,
horizon_energy_target,
instantaneous_penetration,
carbon_cap,
track_carbon_imports,
fuel_burn_limit,
prm,
elcc_surface,
local_capacity,
tuning,
