ui_table,ui_table_row,include,ui_row_caption,ui_row_db_scenarios_view_column,ui_row_db_subscenario_table,ui_row_db_subscenario_table_id_column,ui_row_db_input_table
features,transmission,1,Transmission,feature_transmission,,of_transmission,
features,transmission_hurdle_rates,1,Transmission: Hurdle Rates,feature_transmission_hurdle_rates,,of_transmission_hurdle_rates,
features,transmission_sim_flow,1,Transmission: Simultaneous Flow Limits,feature_simultaneous_flow_limits,,of_simultaneous_flow_limits,
features,load_following_up,1,Reserves: Load Following Up,feature_load_following_up,,of_lf_reserves_up,
features,load_following_down,1,Reserves: Load Following Down,feature_load_following_down,,of_lf_reserves_down,
features,regulation_up,1,Reserves: Regulation Up,feature_regulation_up,,of_regulation_up,
features,regulation_down,1,Reserves: Regulation Down,feature_regulation_down,,of_regulation_down,
features,spinning_reserves,1,Reserves: Spinning,feature_spinning_reserves,,of_spinning_reserves,
features,frequency_response,1,Reserves: Frequency Response,feature_frequency_response,,of_frequency_response,
features,period_energy_target,1,Energy Target,feature_period_energy_target,,of_period_energy_target,
features,carbon_cap,1,Carbon Cap,feature_carbon_cap,,of_carbon_cap,
features,track_carbon_imports,1,Carbon Cap: Track Carbon Imports,feature_track_carbon_imports,,of_track_carbon_imports,
features,prm,1,PRM (Planning Reserve Margin),feature_prm,,of_prm,
features,elcc_surface,1,PRM: ELCC Surface,feature_elcc_surface,,of_elcc_surface,
features,local_capacity,1,Local Capacity Requirement,feature_local_capacity,,of_local_capacity,
features,tuning,1,Tuning,feature_tuning,,of_tuning,
temporal,temporal,1,Temporal Span and Resolution,temporal,subscenarios_temporal,temporal_scenario_id,inputs_temporal
load_zones,load_zones,1,Load Zones,geography_load_zones,subscenarios_geography_load_zones,load_zone_scenario_id,inputs_geography_load_zones
load_zones,project_load_zones,1,Load Zones: Projects,project_load_zones,subscenarios_project_load_zones,project_load_zone_scenario_id,inputs_project_load_zones
load_zones,transmission_load_zones,1,Load Zones: Transmission,transmission_load_zones,subscenarios_transmission_load_zones,transmission_load_zone_scenario_id,inputs_transmission_load_zones
system_load,system_load,1,System Load,load_profile,subscenarios_system_load,load_scenario_id,inputs_system_load
project_capacity,portfolio,1,Generation and Storage Portfolio,project_portfolio,subscenarios_project_portfolios,project_portfolio_scenario_id,inputs_project_portfolios
project_capacity,specified_capacity,1,Specified Generation and Storage Capacity,project_specified_capacity,subscenarios_project_specified_capacity,project_specified_capacity_scenario_id,inputs_project_specified_capacity
project_capacity,specified_fixed_cost,1,Specified Generation and Storage Fixed Cost,project_specified_fixed_cost,subscenarios_project_specified_fixed_cost,project_specified_fixed_cost_scenario_id,inputs_project_specified_fixed_cost
project_capacity,new_cost,1,New Generation and Storage Costs,project_new_cost,subscenarios_project_new_cost,project_new_cost_scenario_id,inputs_project_new_cost
project_capacity,new_potential,1,New Generation and Storage Potential,project_new_potential,subscenarios_project_new_potential,project_new_potential_scenario_id,inputs_project_new_potential
project_capacity,availability,1,Generation and Storage Availability,project_availability,subscenarios_project_availability,project_availability_scenario_id,inputs_project_availability
project_opchar,opchar,1,Generation and Storage Operational Characteristics,project_operating_chars,subscenarios_project_operational_chars,project_operational_chars_scenario_id,inputs_project_operational_chars
fuels,fuels,1,Fuel Characteristics,project_fuels,subscenarios_fuels,fuel_scenario_id,inputs_fuels
fuels,fuel_prices,1,Fuel Prices,fuel_prices,subscenarios_fuel_prices,fuel_price_scenario_id,inputs_fuel_prices
transmission_capacity,portfolio,1,Transmission Portolio,transmission_portfolio,subscenarios_transmission_portfolios,transmission_portfolio_scenario_id,inputs_transmission_portfolios
transmission_capacity,specified_capacity,1,Specified Transmission Capacity,transmission_specified_capacity,subscenarios_transmission_specified_capacity,transmission_specified_capacity_scenario_id,inputs_transmission_specified_capacity
transmission_opchar,opchar,1,Transmission Operational Characteristics,transmission_operational_chars,subscenarios_transmission_operational_chars,transmission_operational_chars_scenario_id,inputs_transmission_operational_chars
transmission_hurdle_rates,hurdle_rates,1,Transmission Hurdle Rates,transmission_hurdle_rates,subscenarios_transmission_hurdle_rates,transmission_hurdle_rate_scenario_id,inputs_transmission_hurdle_rates
