project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
CAISO_CHP,exogenous,,
CAISO_Nuclear,exogenous,,
CAISO_CCGT1,exogenous,,
CAISO_CCGT2,exogenous,,
CAISO_Coal,exogenous,,
CAISO_Peaker1,exogenous,,
CAISO_Peaker2,exogenous,,
CAISO_Advanced_CCGT,exogenous,,
CAISO_Aero_CT,exogenous,,
CAISO_Reciprocating_Engine,exogenous,,
CAISO_ST,exogenous,,
NW_Nuclear,exogenous,,
NW_Coal,exogenous,,
NW_CCGT,exogenous,,
NW_Peaker,exogenous,,
SW_Nuclear,exogenous,,
SW_Coal,exogenous,,
SW_CCGT,exogenous,,
SW_Peaker,exogenous,,
SW_ST,exogenous,,
LDWP_Nuclear,exogenous,,
LDWP_Coal,exogenous,,
LDWP_CCGT,exogenous,,
LDWP_Peaker,exogenous,,
LDWP_ST,exogenous,,
IID_CCGT,exogenous,,
IID_Peaker,exogenous,,
BANC_CCGT,exogenous,,
BANC_Peaker,exogenous,,
BANC_Biomass_for_Other,exogenous,,
BANC_Geothermal_for_Other,exogenous,,
CAISO_Biomass_for_Other,exogenous,,
CAISO_Geothermal_for_Other,exogenous,,
IID_Biomass_for_Other,exogenous,,
IID_Geothermal_for_Other,exogenous,,
LDWP_Biomass_for_Other,exogenous,,
LDWP_Geothermal_for_Other,exogenous,,
NW_Biomass_for_Other,exogenous,,
NW_Geothermal_for_Other,exogenous,,
SW_Biomass_for_Other,exogenous,,
SW_Geothermal_for_Other,exogenous,,
CAISO_Biomass_for_CAISO,exogenous,,
CAISO_Geothermal_for_CAISO,exogenous,,
IID_Geothermal_for_CAISO,exogenous,,
NW_Biomass_for_CAISO,exogenous,,
NW_Geothermal_for_CAISO,exogenous,,
InState_Biomass,exogenous,,
CAISO_Small_Hydro_for_CAISO,exogenous,,
BANC_Small_Hydro_for_CAISO,exogenous,,
NW_Small_Hydro_for_CAISO,exogenous,,
CAISO_Small_Hydro_for_Other,exogenous,,
BANC_Small_Hydro_for_Other,exogenous,,
IID_Small_Hydro_for_Other,exogenous,,
LDWP_Small_Hydro_for_Other,exogenous,,
NW_Small_Hydro_for_Other,exogenous,,
SW_Small_Hydro_for_Other,exogenous,,
Greater_Imperial_Geothermal,exogenous,,
Inyokern_North_Kramer_Geothermal,exogenous,,
Northern_California_Ex_Geothermal,exogenous,,
Pacific_Northwest_Geothermal,exogenous,,
Riverside_Palm_Springs_Geothermal,exogenous,,
Solano_Geothermal,exogenous,,
Southern_Nevada_Geothermal,exogenous,,
Customer_PV,exogenous,,
BANC_Solar_for_Other,exogenous,,
CAISO_Solar_for_Other,exogenous,,
IID_Solar_for_Other,exogenous,,
LDWP_Solar_for_Other,exogenous,,
NW_Solar_for_Other,exogenous,,
SW_Solar_for_Other,exogenous,,
CAISO_Solar_for_CAISO,exogenous,,
IID_Solar_for_CAISO,exogenous,,
SW_Solar_for_CAISO,exogenous,,
BANC_Wind_for_Other,exogenous,,
CAISO_Wind_for_Other,exogenous,,
IID_Wind_for_Other,exogenous,,
LDWP_Wind_for_Other,exogenous,,
NW_Wind_for_Other,exogenous,,
SW_Wind_for_Other,exogenous,,
CAISO_Wind_for_CAISO,exogenous,,
LDWP_Wind_for_CAISO,exogenous,,
NW_Wind_for_CAISO,exogenous,,
SW_Wind_for_CAISO,exogenous,,
Carrizo_Solar,exogenous,,
Carrizo_Wind,exogenous,,
Central_Valley_North_Los_Banos_Solar,exogenous,,
Central_Valley_North_Los_Banos_Wind,exogenous,,
Distributed_Solar,exogenous,,
Mountain_Pass_El_Dorado_Solar,exogenous,,
Greater_Imperial_Solar,exogenous,,
Greater_Imperial_Wind,exogenous,,
Greater_Kramer_Wind,exogenous,,
Humboldt_Wind,exogenous,,
Inyokern_North_Kramer_Solar,exogenous,,
Kern_Greater_Carrizo_Solar,exogenous,,
Kern_Greater_Carrizo_Wind,exogenous,,
Kramer_Inyokern_Ex_Solar,exogenous,,
Kramer_Inyokern_Ex_Wind,exogenous,,
North_Victor_Solar,exogenous,,
Northern_California_Ex_Solar,exogenous,,
Northern_California_Ex_Wind,exogenous,,
NW_Ext_Tx_Wind,exogenous,,
