project,period,lifetime_yrs,annualized_real_cost_per_kw_yr,annualized_real_cost_per_kwh_yr,levelized_cost_per_mwh,supply_curve_scenario_id
CAISO_Advanced_CCGT,2020,50,136.0533881,,,
CAISO_Advanced_CCGT,2021,50,136.3494353,,,
CAISO_Advanced_CCGT,2022,50,136.8473435,,,
CAISO_Advanced_CCGT,2023,50,137.1333907,,,
CAISO_Advanced_CCGT,2024,50,136.8317619,,,
CAISO_Advanced_CCGT,2026,50,136.5787376,,,
CAISO_Advanced_CCGT,2030,50,137.4105999,,,
CAISO_Advanced_CCGT,2045,50,135.623152,,,
CAISO_Aero_CT,2020,50,146.1194309,,,
CAISO_Aero_CT,2021,50,146.4314749,,,
CAISO_Aero_CT,2022,50,146.9344172,,,
CAISO_Aero_CT,2023,50,147.1908884,,,
CAISO_Aero_CT,2024,50,146.8107325,,,
CAISO_Aero_CT,2026,50,146.3296783,,,
CAISO_Aero_CT,2030,50,147.0323732,,,
CAISO_Aero_CT,2045,50,144.7661125,,,
CAISO_Reciprocating_Engine,2020,50,146.1194309,,,
CAISO_Reciprocating_Engine,2021,50,146.4314749,,,
CAISO_Reciprocating_Engine,2022,50,146.9344172,,,
CAISO_Reciprocating_Engine,2023,50,147.1908884,,,
CAISO_Reciprocating_Engine,2024,50,146.8107325,,,
CAISO_Reciprocating_Engine,2026,50,146.3296783,,,
CAISO_Reciprocating_Engine,2030,50,147.0323732,,,
CAISO_Reciprocating_Engine,2045,50,144.7661125,,,
InState_Biomass,2020,50,816.2244339,,,
InState_Biomass,2021,50,812.9588611,,,
InState_Biomass,2022,50,813.4928281,,,
InState_Biomass,2023,50,819.5588265,,,
InState_Biomass,2024,50,824.4012842,,,
InState_Biomass,2026,50,835.8248222,,,
InState_Biomass,2030,50,843.5877382,,,
InState_Biomass,2045,50,832.7174463,,,
Greater_Imperial_Geothermal,2020,50,626.2195554,,,
Greater_Imperial_Geothermal,2021,50,626.9834032,,,
Greater_Imperial_Geothermal,2022,50,628.4693385,,,
Greater_Imperial_Geothermal,2023,50,644.1687784,,,
Greater_Imperial_Geothermal,2024,50,659.1050587,,,
Greater_Imperial_Geothermal,2026,50,691.3876754,,,
Greater_Imperial_Geothermal,2030,50,710.1981486,,,
Greater_Imperial_Geothermal,2045,50,703.965119,,,
Inyokern_North_Kramer_Geothermal,2020,50,681.9635227,,,
Inyokern_North_Kramer_Geothermal,2021,50,682.9506711,,,
Inyokern_North_Kramer_Geothermal,2022,50,684.7411073,,,
Inyokern_North_Kramer_Geothermal,2023,50,702.1863525,,,
Inyokern_North_Kramer_Geothermal,2024,50,718.7872377,,,
Inyokern_North_Kramer_Geothermal,2026,50,754.7035653,,,
Inyokern_North_Kramer_Geothermal,2030,50,776.1327464,,,
Inyokern_North_Kramer_Geothermal,2045,50,771.645522,,,
Northern_California_Ex_Geothermal,2020,50,644.7365085,,,
Northern_California_Ex_Geothermal,2021,50,645.5745319,,,
Northern_California_Ex_Geothermal,2022,50,647.161616,,,
Northern_California_Ex_Geothermal,2023,50,663.440975,,,
Northern_California_Ex_Geothermal,2024,50,678.9302014,,,
