project,period,minimum_cumulative_new_build_mw,maximum_cumulative_new_build_mw,minimum_cumulative_new_build_mwh,maximum_cumulative_new_build_mwh
CAISO_Advanced_CCGT,2020,0,0,,
CAISO_Advanced_CCGT,2021,0,0,,
CAISO_Advanced_CCGT,2022,0,0,,
CAISO_Advanced_CCGT,2023,0,0,,
CAISO_Advanced_CCGT,2024,0,0,,
CAISO_Advanced_CCGT,2026,0,99999,,
CAISO_Advanced_CCGT,2030,0,99999,,
CAISO_Advanced_CCGT,2045,0,99999,,
CAISO_Aero_CT,2020,0,0,,
CAISO_Aero_CT,2021,0,0,,
CAISO_Aero_CT,2022,0,0,,
CAISO_Aero_CT,2023,0,0,,
CAISO_Aero_CT,2024,0,0,,
CAISO_Aero_CT,2026,0,99999,,
CAISO_Aero_CT,2030,0,99999,,
CAISO_Aero_CT,2045,0,99999,,
CAISO_Reciprocating_Engine,2020,0,255.301,,
CAISO_Reciprocating_Engine,2021,0,255.301,,
CAISO_Reciprocating_Engine,2022,0,255.301,,
CAISO_Reciprocating_Engine,2023,0,255.301,,
CAISO_Reciprocating_Engine,2024,0,255.301,,
CAISO_Reciprocating_Engine,2026,0,99999,,
CAISO_Reciprocating_Engine,2030,0,99999,,
CAISO_Reciprocating_Engine,2045,0,99999,,
InState_Biomass,2020,0,1146.852987,,
InState_Biomass,2021,0,1146.852987,,
InState_Biomass,2022,0,1146.852987,,
InState_Biomass,2023,0,1146.852987,,
InState_Biomass,2024,0,1146.852987,,
InState_Biomass,2026,0,1146.852987,,
InState_Biomass,2030,0,1146.852987,,
InState_Biomass,2045,0,1146.852987,,
Greater_Imperial_Geothermal,2020,0,0,,
Greater_Imperial_Geothermal,2021,0,0,,
Greater_Imperial_Geothermal,2022,0,0,,
Greater_Imperial_Geothermal,2023,0,0,,
Greater_Imperial_Geothermal,2024,0,1352.1,,
Greater_Imperial_Geothermal,2026,0,1352.1,,
Greater_Imperial_Geothermal,2030,0,1352.1,,
Greater_Imperial_Geothermal,2045,0,1352.1,,
Inyokern_North_Kramer_Geothermal,2020,0,0,,
Inyokern_North_Kramer_Geothermal,2021,0,0,,
Inyokern_North_Kramer_Geothermal,2022,0,0,,
Inyokern_North_Kramer_Geothermal,2023,0,0,,
Inyokern_North_Kramer_Geothermal,2024,0,24,,
Inyokern_North_Kramer_Geothermal,2026,0,24,,
Inyokern_North_Kramer_Geothermal,2030,0,24,,
Inyokern_North_Kramer_Geothermal,2045,0,24,,
Northern_California_Ex_Geothermal,2020,0,0,,
Northern_California_Ex_Geothermal,2021,0,0,,
Northern_California_Ex_Geothermal,2022,0,0,,
Northern_California_Ex_Geothermal,2023,0,0,,
Northern_California_Ex_Geothermal,2024,0,469,,
Northern_California_Ex_Geothermal,2026,0,469,,
Northern_California_Ex_Geothermal,2030,0,469,,
Northern_California_Ex_Geothermal,2045,0,469,,
Riverside_Palm_Springs_Geothermal,2020,0,0,,
Riverside_Palm_Springs_Geothermal,2021,0,0,,
Riverside_Palm_Springs_Geothermal,2022,0,0,,
Riverside_Palm_Springs_Geothermal,2023,0,0,,
Riverside_Palm_Springs_Geothermal,2024,0,32,,
Riverside_Palm_Springs_Geothermal,2026,0,32,,
Riverside_Palm_Springs_Geothermal,2030,0,32,,
Riverside_Palm_Springs_Geothermal,2045,0,32,,
Solano_Geothermal,2020,0,0,,
Solano_Geothermal,2021,0,0,,
Solano_Geothermal,2022,0,0,,
Solano_Geothermal,2023,0,0,,
Solano_Geothermal,2024,0,135,,
Solano_Geothermal,2026,0,135,,
Solano_Geothermal,2030,0,135,,
Solano_Geothermal,2045,0,135,,
Southern_Nevada_Geothermal,2020,0,0,,
Southern_Nevada_Geothermal,2021,0,0,,
Southern_Nevada_Geothermal,2022,0,0,,
Southern_Nevada_Geothermal,2023,0,0,,
Southern_Nevada_Geothermal,2024,0,320,,
Southern_Nevada_Geothermal,2026,0,320,,
Southern_Nevada_Geothermal,2030,0,320,,
Southern_Nevada_Geothermal,2045,0,320,,
Carrizo_Solar,2020,0,9907,,
Carrizo_Solar,2021,0,9907,,
Carrizo_Solar,2022,0,9907,,
Carrizo_Solar,2023,0,9907,,
Carrizo_Solar,2024,0,9907,,
Carrizo_Solar,2026,0,9907,,
Carrizo_Solar,2030,0,9907,,
Carrizo_Solar,2045,0,9907,,
Carrizo_Wind,2020,0,0,,
Carrizo_Wind,2021,0,0,,
Carrizo_Wind,2022,0,0,,
Carrizo_Wind,2023,0,287,,
Carrizo_Wind,2024,0,287,,
Carrizo_Wind,2026,0,287,,
Carrizo_Wind,2030,0,287,,
Carrizo_Wind,2045,0,287,,
Central_Valley_North_Los_Banos_Solar,2020,0,12872.7,,
Central_Valley_North_Los_Banos_Solar,2021,0,12872.7,,
Central_Valley_North_Los_Banos_Solar,2022,0,12872.7,,
Central_Valley_North_Los_Banos_Solar,2023,0,12872.7,,
Central_Valley_North_Los_Banos_Solar,2024,0,12872.7,,
Central_Valley_North_Los_Banos_Solar,2026,0,12872.7,,
Central_Valley_North_Los_Banos_Solar,2030,0,12872.7,,
Central_Valley_North_Los_Banos_Solar,2045,0,12872.7,,
Central_Valley_North_Los_Banos_Wind,2020,0,0,,
Central_Valley_North_Los_Banos_Wind,2021,0,0,,
Central_Valley_North_Los_Banos_Wind,2022,0,173,,
Central_Valley_North_Los_Banos_Wind,2023,0,173,,
Central_Valley_North_Los_Banos_Wind,2024,0,173,,
Central_Valley_North_Los_Banos_Wind,2026,0,173,,
Central_Valley_North_Los_Banos_Wind,2030,0,173,,
Central_Valley_North_Los_Banos_Wind,2045,0,173,,
Distributed_Solar,2020,0,26777.64552,,
Distributed_Solar,2021,0,25468.13804,,
Distributed_Solar,2022,0,24320.69224,,
Distributed_Solar,2023,0,23301.91762,,
Distributed_Solar,2024,0,22316.72774,,
Distributed_Solar,2026,0,20449.44521,,
Distributed_Solar,2030,0,16538.92634,,
Distributed_Solar,2045,0,1747.289962,,
Mountain_Pass_El_Dorado_Solar,2020,0,248,,
Mountain_Pass_El_Dorado_Solar,2021,0,248,,
Mountain_Pass_El_Dorado_Solar,2022,0,248,,
Mountain_Pass_El_Dorado_Solar,2023,0,248,,
Mountain_Pass_El_Dorado_Solar,2024,0,248,,
Mountain_Pass_El_Dorado_Solar,2026,0,248,,
Mountain_Pass_El_Dorado_Solar,2030,0,248,,
Mountain_Pass_El_Dorado_Solar,2045,0,248,,
Greater_Imperial_Solar,2020,0,35216.08,,
Greater_Imperial_Solar,2021,0,35216.08,,
Greater_Imperial_Solar,2022,0,35216.08,,
Greater_Imperial_Solar,2023,0,35216.08,,
Greater_Imperial_Solar,2024,0,35216.08,,
Greater_Imperial_Solar,2026,0,35216.08,,
Greater_Imperial_Solar,2030,0,35216.08,,
Greater_Imperial_Solar,2045,0,35216.08,,
Greater_Imperial_Wind,2020,0,0,,
Greater_Imperial_Wind,2021,0,0,,
Greater_Imperial_Wind,2022,0,0,,
Greater_Imperial_Wind,2023,0,0,,
Greater_Imperial_Wind,2024,0,0,,
Greater_Imperial_Wind,2026,0,0,,
Greater_Imperial_Wind,2030,0,0,,
Greater_Imperial_Wind,2045,0,0,,
Greater_Kramer_Wind,2020,0,0,,
Greater_Kramer_Wind,2021,0,0,,
Greater_Kramer_Wind,2022,0,0,,
Greater_Kramer_Wind,2023,0,0,,
Greater_Kramer_Wind,2024,0,0,,
Greater_Kramer_Wind,2026,0,0,,
Greater_Kramer_Wind,2030,0,0,,
Greater_Kramer_Wind,2045,0,0,,
Humboldt_Wind,2020,0,0,,
Humboldt_Wind,2021,0,34,,
Humboldt_Wind,2022,0,34,,
Humboldt_Wind,2023,0,34,,
Humboldt_Wind,2024,0,34,,
Humboldt_Wind,2026,0,34,,
Humboldt_Wind,2030,0,34,,
Humboldt_Wind,2045,0,34,,
Inyokern_North_Kramer_Solar,2020,0,23653,,
Inyokern_North_Kramer_Solar,2021,0,23653,,
Inyokern_North_Kramer_Solar,2022,0,23653,,
Inyokern_North_Kramer_Solar,2023,0,23653,,
Inyokern_North_Kramer_Solar,2024,0,23653,,
Inyokern_North_Kramer_Solar,2026,0,23653,,
Inyokern_North_Kramer_Solar,2030,0,23653,,
Inyokern_North_Kramer_Solar,2045,0,23653,,
Kern_Greater_Carrizo_Solar,2020,0,8329,,
Kern_Greater_Carrizo_Solar,2021,0,8329,,
Kern_Greater_Carrizo_Solar,2022,0,8329,,
Kern_Greater_Carrizo_Solar,2023,0,8329,,
Kern_Greater_Carrizo_Solar,2024,0,8329,,
Kern_Greater_Carrizo_Solar,2026,0,8329,,
Kern_Greater_Carrizo_Solar,2030,0,8329,,
Kern_Greater_Carrizo_Solar,2045,0,8329,,
Kern_Greater_Carrizo_Wind,2020,0,0,,
Kern_Greater_Carrizo_Wind,2021,0,0,,
Kern_Greater_Carrizo_Wind,2022,0,60,,
Kern_Greater_Carrizo_Wind,2023,0,60,,
Kern_Greater_Carrizo_Wind,2024,0,60,,
Kern_Greater_Carrizo_Wind,2026,0,60,,
Kern_Greater_Carrizo_Wind,2030,0,60,,
Kern_Greater_Carrizo_Wind,2045,0,60,,
Kramer_Inyokern_Ex_Solar,2020,0,4508,,
Kramer_Inyokern_Ex_Solar,2021,0,4508,,
Kramer_Inyokern_Ex_Solar,2022,0,4508,,
Kramer_Inyokern_Ex_Solar,2023,0,4508,,
Kramer_Inyokern_Ex_Solar,2024,0,4508,,
Kramer_Inyokern_Ex_Solar,2026,0,4508,,
Kramer_Inyokern_Ex_Solar,2030,0,4508,,
Kramer_Inyokern_Ex_Solar,2045,0,4508,,
Kramer_Inyokern_Ex_Wind,2020,0,0,,
Kramer_Inyokern_Ex_Wind,2021,0,0,,
Kramer_Inyokern_Ex_Wind,2022,0,0,,
Kramer_Inyokern_Ex_Wind,2023,0,0,,
Kramer_Inyokern_Ex_Wind,2024,0,0,,
Kramer_Inyokern_Ex_Wind,2026,0,0,,
Kramer_Inyokern_Ex_Wind,2030,0,0,,
Kramer_Inyokern_Ex_Wind,2045,0,0,,
North_Victor_Solar,2020,0,4608,,
North_Victor_Solar,2021,0,4608,,
North_Victor_Solar,2022,0,4608,,
North_Victor_Solar,2023,0,4608,,
North_Victor_Solar,2024,0,4608,,
North_Victor_Solar,2026,0,4608,,
North_Victor_Solar,2030,0,4608,,
North_Victor_Solar,2045,0,4608,,
Northern_California_Ex_Solar,2020,0,41532,,
Northern_California_Ex_Solar,2021,0,41532,,
Northern_California_Ex_Solar,2022,0,41532,,
Northern_California_Ex_Solar,2023,0,41532,,
Northern_California_Ex_Solar,2024,0,41532,,
Northern_California_Ex_Solar,2026,0,41532,,
Northern_California_Ex_Solar,2030,0,41532,,
Northern_California_Ex_Solar,2045,0,41532,,
Northern_California_Ex_Wind,2020,0,0,,
Northern_California_Ex_Wind,2021,0,0,,
Northern_California_Ex_Wind,2022,0,865.9,,
Northern_California_Ex_Wind,2023,0,865.9,,
Northern_California_Ex_Wind,2024,0,865.9,,
Northern_California_Ex_Wind,2026,0,865.9,,
Northern_California_Ex_Wind,2030,0,865.9,,
Northern_California_Ex_Wind,2045,0,865.9,,
NW_Ext_Tx_Wind,2020,0,0,,
NW_Ext_Tx_Wind,2021,0,0,,
NW_Ext_Tx_Wind,2022,0,1500,,
NW_Ext_Tx_Wind,2023,0,1500,,
NW_Ext_Tx_Wind,2024,0,1500,,
NW_Ext_Tx_Wind,2026,0,1500,,
NW_Ext_Tx_Wind,2030,0,1500,,
NW_Ext_Tx_Wind,2045,0,1500,,
Riverside_Palm_Springs_Solar,2020,0,57071,,
Riverside_Palm_Springs_Solar,2021,0,57071,,
Riverside_Palm_Springs_Solar,2022,0,57071,,
Riverside_Palm_Springs_Solar,2023,0,57071,,
Riverside_Palm_Springs_Solar,2024,0,57071,,
Riverside_Palm_Springs_Solar,2026,0,57071,,
Riverside_Palm_Springs_Solar,2030,0,57071,,
Riverside_Palm_Springs_Solar,2045,0,57071,,
Sacramento_River_Solar,2020,0,23484,,
Sacramento_River_Solar,2021,0,23484,,
Sacramento_River_Solar,2022,0,23484,,
Sacramento_River_Solar,2023,0,23484,,
Sacramento_River_Solar,2024,0,23484,,
Sacramento_River_Solar,2026,0,23484,,
Sacramento_River_Solar,2030,0,23484,,
Sacramento_River_Solar,2045,0,23484,,
SCADSNV_Solar,2020,0,5608,,
SCADSNV_Solar,2021,0,5608,,
SCADSNV_Solar,2022,0,5608,,
SCADSNV_Solar,2023,0,5608,,
SCADSNV_Solar,2024,0,5608,,
SCADSNV_Solar,2026,0,5608,,
SCADSNV_Solar,2030,0,5608,,
SCADSNV_Solar,2045,0,5608,,
SCADSNV_Wind,2020,0,0,,
SCADSNV_Wind,2021,0,0,,
SCADSNV_Wind,2022,0,0,,
SCADSNV_Wind,2023,0,0,,
SCADSNV_Wind,2024,0,0,,
SCADSNV_Wind,2026,0,0,,
SCADSNV_Wind,2030,0,0,,
SCADSNV_Wind,2045,0,0,,
Solano_Solar,2020,0,12025.06583,,
Solano_Solar,2021,0,12025.06583,,
Solano_Solar,2022,0,12025.06583,,
Solano_Solar,2023,0,12025.06583,,
Solano_Solar,2024,0,12025.06583,,
