project,period,specified_capacity_mw,specified_capacity_mwh
CAISO_CHP,2020,2296.02,
CAISO_CHP,2021,2296.02,
CAISO_CHP,2022,2296.02,
CAISO_CHP,2023,2296.02,
CAISO_CHP,2024,2296.02,
CAISO_CHP,2026,2296.02,
CAISO_CHP,2030,2296.02,
CAISO_CHP,2045,0,
CAISO_Nuclear,2020,2935,
CAISO_Nuclear,2021,2935,
CAISO_Nuclear,2022,2935,
CAISO_Nuclear,2023,2935,
CAISO_Nuclear,2024,1785,
CAISO_Nuclear,2026,635,
CAISO_Nuclear,2030,635,
CAISO_Nuclear,2045,635,
CAISO_CCGT1,2020,12049.47,
CAISO_CCGT1,2021,13333.47,
CAISO_CCGT1,2022,13333.47,
CAISO_CCGT1,2023,13333.47,
CAISO_CCGT1,2024,13333.47,
CAISO_CCGT1,2026,13333.47,
CAISO_CCGT1,2030,13333.47,
CAISO_CCGT1,2045,13333.47,
CAISO_CCGT2,2020,2927.93,
CAISO_CCGT2,2021,2927.93,
CAISO_CCGT2,2022,2927.93,
CAISO_CCGT2,2023,2927.93,
CAISO_CCGT2,2024,2927.93,
CAISO_CCGT2,2026,2927.93,
CAISO_CCGT2,2030,2927.93,
CAISO_CCGT2,2045,2927.93,
CAISO_Coal,2020,480,
CAISO_Coal,2021,480,
CAISO_Coal,2022,480,
CAISO_Coal,2023,480,
CAISO_Coal,2024,480,
CAISO_Coal,2026,0,
CAISO_Coal,2030,0,
CAISO_Coal,2045,0,
CAISO_Peaker1,2020,4913.93,
CAISO_Peaker1,2021,4913.93,
CAISO_Peaker1,2022,4913.93,
CAISO_Peaker1,2023,4913.93,
CAISO_Peaker1,2024,4913.93,
CAISO_Peaker1,2026,4913.93,
CAISO_Peaker1,2030,4913.93,
CAISO_Peaker1,2045,4913.93,
CAISO_Peaker2,2020,3682.71,
CAISO_Peaker2,2021,3682.71,
CAISO_Peaker2,2022,3682.71,
CAISO_Peaker2,2023,3682.71,
CAISO_Peaker2,2024,3682.71,
CAISO_Peaker2,2026,3682.71,
CAISO_Peaker2,2030,3682.71,
CAISO_Peaker2,2045,3682.71,
CAISO_Advanced_CCGT,2020,0,
CAISO_Advanced_CCGT,2021,0,
CAISO_Advanced_CCGT,2022,0,
CAISO_Advanced_CCGT,2023,0,
CAISO_Advanced_CCGT,2024,0,
CAISO_Advanced_CCGT,2026,0,
CAISO_Advanced_CCGT,2030,0,
CAISO_Advanced_CCGT,2045,0,
CAISO_Aero_CT,2020,0,
CAISO_Aero_CT,2021,0,
CAISO_Aero_CT,2022,0,
CAISO_Aero_CT,2023,0,
CAISO_Aero_CT,2024,0,
CAISO_Aero_CT,2026,0,
CAISO_Aero_CT,2030,0,
CAISO_Aero_CT,2045,0,
CAISO_Reciprocating_Engine,2020,255.3,
CAISO_Reciprocating_Engine,2021,255.3,
CAISO_Reciprocating_Engine,2022,255.3,
CAISO_Reciprocating_Engine,2023,255.3,
CAISO_Reciprocating_Engine,2024,255.3,
CAISO_Reciprocating_Engine,2026,255.3,
CAISO_Reciprocating_Engine,2030,255.3,
CAISO_Reciprocating_Engine,2045,255.3,
CAISO_ST,2020,3733,
CAISO_ST,2021,0,
CAISO_ST,2022,0,
CAISO_ST,2023,0,
CAISO_ST,2024,0,
CAISO_ST,2026,0,
CAISO_ST,2030,0,
CAISO_ST,2045,0,
NW_Nuclear,2020,1170,
NW_Nuclear,2021,1170,
NW_Nuclear,2022,1170,
NW_Nuclear,2023,1170,
NW_Nuclear,2024,1170,
NW_Nuclear,2026,1170,
NW_Nuclear,2030,1756.56,
NW_Nuclear,2045,1756.56,
NW_Coal,2020,10664.803,
NW_Coal,2021,9409.803,
NW_Coal,2022,8795.803,
NW_Coal,2023,8795.803,
NW_Coal,2024,8795.803,
NW_Coal,2026,8125.803,
NW_Coal,2030,7363.803,
NW_Coal,2045,7363.803,
NW_CCGT,2020,9068.308,
NW_CCGT,2021,9573.428,
NW_CCGT,2022,9573.428,
NW_CCGT,2023,9573.428,
NW_CCGT,2024,9573.428,
NW_CCGT,2026,9573.428,
NW_CCGT,2030,9573.428,
NW_CCGT,2045,9573.428,
