fuel,period,month,fuel_price_per_mmbtu
CA_Natural_Gas,2020,1,        5.680 
CA_Natural_Gas,2020,2,        5.758 
CA_Natural_Gas,2020,3,        5.335 
CA_Natural_Gas,2020,4,        5.328 
CA_Natural_Gas,2020,5,        5.509 
CA_Natural_Gas,2020,6,        5.298 
CA_Natural_Gas,2020,7,        5.316 
CA_Natural_Gas,2020,8,        5.325 
CA_Natural_Gas,2020,9,        4.997 
CA_Natural_Gas,2020,10,        5.012 
CA_Natural_Gas,2020,11,        4.937 
CA_Natural_Gas,2020,12,        5.248 
CA_Natural_Gas,2021,1,        5.732 
CA_Natural_Gas,2021,2,        5.810 
CA_Natural_Gas,2021,3,        5.386 
CA_Natural_Gas,2021,4,        5.379 
CA_Natural_Gas,2021,5,        5.560 
CA_Natural_Gas,2021,6,        5.349 
CA_Natural_Gas,2021,7,        5.366 
CA_Natural_Gas,2021,8,        5.376 
CA_Natural_Gas,2021,9,        5.047 
CA_Natural_Gas,2021,10,        5.062 
CA_Natural_Gas,2021,11,        4.987 
CA_Natural_Gas,2021,12,        5.299 
CA_Natural_Gas,2022,1,        5.776 
CA_Natural_Gas,2022,2,        5.854 
CA_Natural_Gas,2022,3,        5.430 
CA_Natural_Gas,2022,4,        5.423 
CA_Natural_Gas,2022,5,        5.604 
CA_Natural_Gas,2022,6,        5.393 
CA_Natural_Gas,2022,7,        5.411 
CA_Natural_Gas,2022,8,        5.420 
CA_Natural_Gas,2022,9,        5.092 
CA_Natural_Gas,2022,10,        5.106 
CA_Natural_Gas,2022,11,        5.031 
CA_Natural_Gas,2022,12,        5.343 
CA_Natural_Gas,2023,1,        5.825 
CA_Natural_Gas,2023,2,        5.903 
CA_Natural_Gas,2023,3,        5.479 
CA_Natural_Gas,2023,4,        5.472 
CA_Natural_Gas,2023,5,        5.653 
CA_Natural_Gas,2023,6,        5.442 
CA_Natural_Gas,2023,7,        5.460 
CA_Natural_Gas,2023,8,        5.469 
CA_Natural_Gas,2023,9,        5.141 
CA_Natural_Gas,2023,10,        5.155 
CA_Natural_Gas,2023,11,        5.080 
CA_Natural_Gas,2023,12,        5.392 
CA_Natural_Gas,2024,1,        5.880 
CA_Natural_Gas,2024,2,        5.958 
CA_Natural_Gas,2024,3,        5.534 
CA_Natural_Gas,2024,4,        5.527 
CA_Natural_Gas,2024,5,        5.708 
CA_Natural_Gas,2024,6,        5.497 
CA_Natural_Gas,2024,7,        5.514 
CA_Natural_Gas,2024,8,        5.523 
CA_Natural_Gas,2024,9,        5.195 
CA_Natural_Gas,2024,10,        5.209 
CA_Natural_Gas,2024,11,        5.134 
CA_Natural_Gas,2024,12,        5.446 
CA_Natural_Gas,2026,1,        6.007 
CA_Natural_Gas,2026,2,        6.085 
CA_Natural_Gas,2026,3,        5.659 
CA_Natural_Gas,2026,4,        5.652 
CA_Natural_Gas,2026,5,        5.834 
