project,existing,new_build,capacity_type,can_build_new,can_retire
CAISO_CHP,,,gen_spec,0,0
CAISO_Nuclear,,,gen_spec,0,0
CAISO_CCGT1,,,gen_ret_lin,0,1
CAISO_CCGT2,,,gen_ret_lin,0,1
CAISO_Coal,,,gen_spec,0,0
CAISO_Peaker1,,,gen_ret_lin,0,1
CAISO_Peaker2,,,gen_ret_lin,0,1
CAISO_Advanced_CCGT,,,gen_new_lin,1,1
CAISO_Aero_CT,,,gen_new_lin,1,1
CAISO_Reciprocating_Engine,,,gen_new_lin,1,1
CAISO_ST,,,gen_spec,0,0
NW_Nuclear,,,gen_spec,0,0
NW_Coal,,,gen_spec,0,0
NW_CCGT,,,gen_spec,0,0
NW_Peaker,,,gen_spec,0,0
SW_Nuclear,,,gen_spec,0,0
SW_Coal,,,gen_spec,0,0
SW_CCGT,,,gen_spec,0,0
SW_Peaker,,,gen_spec,0,0
SW_ST,,,gen_spec,0,0
LDWP_Nuclear,,,gen_spec,0,0
LDWP_Coal,,,gen_spec,0,0
LDWP_CCGT,,,gen_spec,0,0
LDWP_Peaker,,,gen_spec,0,0
LDWP_ST,,,gen_spec,0,0
IID_CCGT,,,gen_spec,0,0
IID_Peaker,,,gen_spec,0,0
BANC_CCGT,,,gen_spec,0,0
BANC_Peaker,,,gen_spec,0,0
BANC_Biomass_for_Other,,,gen_spec,0,0
BANC_Geothermal_for_Other,,,gen_spec,0,0
CAISO_Biomass_for_Other,,,gen_spec,0,0
CAISO_Geothermal_for_Other,,,gen_spec,0,0
IID_Biomass_for_Other,,,gen_spec,0,0
IID_Geothermal_for_Other,,,gen_spec,0,0
LDWP_Biomass_for_Other,,,gen_spec,0,0
LDWP_Geothermal_for_Other,,,gen_spec,0,0
NW_Biomass_for_Other,,,gen_spec,0,0
NW_Geothermal_for_Other,,,gen_spec,0,0
SW_Biomass_for_Other,,,gen_spec,0,0
SW_Geothermal_for_Other,,,gen_spec,0,0
CAISO_Biomass_for_CAISO,,,gen_spec,0,0
CAISO_Geothermal_for_CAISO,,,gen_spec,0,0
IID_Geothermal_for_CAISO,,,gen_spec,0,0
