technology,min_loading,max_loading,unit_size,avg_hr_min_loading,avg_hr_max_loading
BANC_CCGT,0.384845,1,207.0111,8.361422368,7.325737956
BANC_Peaker,0.420028,1,34.6796,13.92379895,10.22248669
CAISO_CCGT1,0.307586,1,532.3974,8.206198058,7.055259158
CAISO_CCGT2,0.380591,1,187.5287,9.40879281,8.436199394
CAISO_CHP,1,1,,,7.606
CAISO_Coal,0.480017,1,849.97,11.22084433,10.14967502
CAISO_Nuclear,1,1,,,11.36378
CAISO_Peaker1,0.489965,1,67.58898,10.34529165,9.196805726
CAISO_Peaker2,0.563069,1,53.00492,13.19816139,11.57353772
CAISO_Reciprocating_Engine,0.150258,1,10.35664,9.365437899,8.702645173
CAISO_ST,0.112693,1,341.8294,15.64495094,9.774613063
IID_CCGT,0.499166,1,127.65,9.006759903,7.888025009
IID_Peaker,0.477922,1,36.09091,14.04378087,11.36594577
LDWP_CCGT,0.363914,1,385.9625,7.951633996,7.033006867
LDWP_Coal,0.480017,1,849.97,11.22084433,10.14967502
LDWP_Nuclear,1,1,,,10.54383
LDWP_Peaker,0.480833,1,82.35,10.264141,8.59455444
LDWP_ST,0.254383,1,110.2222,12.31946171,10.0759302
NW_CCGT,0.422815,1,341.9081,8.180040404,7.248490131
NW_Coal,0.507259,1,367.7518,11.17385941,10.69235812
NW_Nuclear,1,1,,,10.907
NW_Peaker,0.320436,1,29.0599,14.23141791,10.47851083
SW_CCGT,0.322692,1,344.2776,8.999211466,7.428516288
SW_Coal,0.547291,1,409.4609,10.73704003,10.31839511
SW_Nuclear,1,1,,,10.544
SW_Peaker,0.422505,1,47.78139,13.32855531,10.44614303
SW_ST,0.210199,1,92.71053,16.85484625,11.43308491
CAISO_Advanced_CCGT,0.2,1,600,10.16666667,6.833333333
CAISO_Aero_CT,0.3,1,100,17.63227667,9.571611
