Day,CAISO_Hydro_avg,NW_Hydro_avg,SW_Hydro_avg,LDWP_Hydro_avg,BANC_Hydro_avg,IID_Hydro_avg,NW_Hydro_for_CAISO_avg,CAISO_Hydro_min,NW_Hydro_min,SW_Hydro_min,LDWP_Hydro_min,BANC_Hydro_min,IID_Hydro_min,NW_Hydro_for_CAISO_min,CAISO_Hydro_max,NW_Hydro_max,SW_Hydro_max,LDWP_Hydro_max,BANC_Hydro_max,IID_Hydro_max,NW_Hydro_for_CAISO_max
1,0.3836,0.5424,0.2119,0.0504,0.3074,0.3347,0.5424,0.3129,0.2876,0.1013,0.0245,0.1214,0.1587,0,0.5359,0.7385,0.589,0.479,0.5336,0.5359,0.7385
2,0.1431,0.4875,0.2272,0.0229,0.0715,0.1363,0.4875,0.0582,0.2376,0.1076,0.0229,0.0715,0.0969,0,0.35,0.7,0.6072,0.479,0.3304,0.3113,0.7
3,0.276,0.6092,0.239,0.0548,0.2267,0.2704,0.6092,0.1564,0.3625,0.1129,0.0245,0.0917,0.1301,0,0.4804,0.7804,0.6211,0.479,0.4237,0.462,0.7804
4,0.3406,0.5994,0.2787,0.0705,0.4186,0.3987,0.5994,0.2151,0.3504,0.132,0.0245,0.1785,0.1934,0,0.5093,0.7746,0.6616,0.479,0.645,0.5964,0.7746
5,0.2444,0.3953,0.2499,0.011,0.1416,0.2482,0.3953,0.1452,0.1725,0.1175,0.011,0.0766,0.1215,0,0.4002,0.6243,0.6322,0.479,0.3304,0.4323,0.6243
6,0.4395,0.6067,0.2999,0.0748,0.4674,0.4865,0.6067,0.2771,0.3593,0.1436,0.0245,0.2115,0.2536,0,0.6069,0.7789,0.6811,0.479,0.6848,0.6654,0.7789
7,0.2269,0.3893,0.2677,0.0653,0.2708,0.4829,0.3893,0.1278,0.169,0.1261,0.0245,0.1069,0.2508,0,0.3733,0.6188,0.6504,0.479,0.4879,0.6628,0.6188
8,0.252,0.3893,0.2677,0.0653,0.2708,0.4829,0.3893,0.1286,0.169,0.1261,0.0245,0.1069,0.2508,0,0.3924,0.6188,0.6504,0.479,0.4879,0.6628,0.6188
9,0.4152,0.569,0.2118,0.0551,0.3681,0.4619,0.569,0.3453,0.3153,0.1009,0.0245,0.1498,0.2351,0,0.5521,0.7558,0.5879,0.479,0.5987,0.6474,0.7558
10,0.4501,0.6251,0.3069,0.0754,0.5044,0.523,0.6251,0.3674,0.383,0.1478,0.0245,0.2405,0.2838,0,0.6026,0.7897,0.6875,0.479,0.7123,0.6904,0.7897
11,0.4615,0.6726,0.356,0.0899,0.5843,0.5257,0.6726,0.3501,0.4518,0.18,0.0245,0.3173,0.2862,0,0.5986,0.8162,0.7274,0.479,0.7654,0.6922,0.8162
12,0.51,0.6726,0.356,0.0899,0.5843,0.5257,0.6726,0.3414,0.4518,0.18,0.0245,0.3173,0.2862,0,0.6846,0.8162,0.7274,0.479,0.7654,0.6922,0.8162
13,0.3527,0.4215,0.2384,0.0506,0.3671,0.4609,0.4215,0.1642,0.189,0.1124,0.0245,0.1493,0.2343,0,0.5888,0.6475,0.62,0.479,0.5977,0.6467,0.6475
14,0.3717,0.4939,0.3627,0.0627,0.4577,0.4134,0.4939,0.2618,0.243,0.185,0.0245,0.2045,0.2024,0,0.583,0.7047,0.7325,0.479,0.6773,0.609,0.7047
15,0.3871,0.3768,0.2596,0.0629,0.3903,0.3428,0.3768,0.2344,0.1618,0.1225,0.0245,0.1618,0.1628,0,0.6607,0.6071,0.6431,0.479,0.6198,0.5442,0.6071
16,0.1792,0.3041,0.2043,0.0235,0.1693,0.3043,0.3041,0.0687,0.1257,0.0982,0.0235,0.0766,0.1445,0,0.3672,0.5297,0.5789,0.479,0.3304,0.5029,0.5297
17,0.2198,0.3921,0.2506,0.04,0.2161,0.2101,0.3921,0.1396,0.1706,0.1183,0.0245,0.0884,0.108,0,0.4118,0.6214,0.6338,0.479,0.4065,0.3747,0.6214
18,0.185,0.4875,0.2272,0.0229,0.0715,0.1363,0.4875,0.0923,0.2376,0.1076,0.0229,0.0715,0.0969,0,0.356,0.7,0.6072,0.479,0.3304,0.3113,0.7
19,0.452,0.6067,0.2999,0.0748,0.4674,0.4865,0.6067,0.3213,0.3593,0.1436,0.0245,0.2115,0.2536,0,0.5976,0.7789,0.6811,0.479,0.6848,0.6654,0.7789
20,0.5168,0.6251,0.3069,0.0754,0.5044,0.523,0.6251,0.4461,0.383,0.1478,0.0245,0.2405,0.2838,0,0.6534,0.7897,0.6875,0.479,0.7123,0.6904,0.7897
21,0.3119,0.5857,0.2781,0.0593,0.3225,0.556,0.5857,0.198,0.3342,0.1316,0.0245,0.1279,0.3143,0,0.4905,0.7662,0.6609,0.479,0.5509,0.7116,0.7662
22,0.2989,0.7342,0.2578,0.0513,0.2985,0.4875,0.7342,0.1936,0.4555,0.1214,0.0245,0.1177,0.2544,0,0.4391,0.8174,0.6408,0.479,0.5231,0.6661,0.8174
23,0.3239,0.3017,0.2217,0.0435,0.3267,0.3761,0.3017,0.132,0.1247,0.1052,0.0245,0.1298,0.1804,0,0.5738,0.5268,0.6006,0.479,0.5556,0.5763,0.5268
24,0.1176,0.2987,0.1865,0.0194,0.1089,0.1889,0.2987,0.0674,0.1234,0.0915,0.0194,0.0766,0.1012,0,0.2417,0.5233,0.5549,0.479,0.3304,0.3377,0.5233
25,0.167,0.3482,0.1667,0.0424,0.0869,0.1605,0.3482,0.0676,0.1465,0.0845,0.0245,0.0766,0.0969,0,0.3202,0.5786,0.5244,0.479,0.3304,0.3113,0.5786
26,0.2121,0.4187,0.2393,0.0339,0.1468,0.1821,0.4187,0.0933,0.1871,0.1131,0.0245,0.0766,0.0991,0,0.3981,0.6451,0.6216,0.479,0.3304,0.325,0.6451
27,0.1326,0.4875,0.2272,0.0229,0.0715,0.1363,0.4875,0.0543,0.2376,0.1076,0.0229,0.0715,0.0969,0,0.3429,0.7,0.6072,0.479,0.3304,0.3113,0.7
28,0.157,0.4875,0.2272,0.0229,0.0715,0.1363,0.4875,0.0471,0.2376,0.1076,0.0229,0.0715,0.0969,0,0.3572,0.7,0.6072,0.479,0.3304,0.3113,0.7
29,0.4219,0.5994,0.2787,0.0705,0.4186,0.3987,0.5994,0.338,0.3504,0.132,0.0245,0.1785,0.1934,0,0.5722,0.7746,0.6616,0.479,0.645,0.5964,0.7746
