project,technology
CAISO_CHP,CAISO_CHP
CAISO_Nuclear,CAISO_Nuclear
CAISO_CCGT1,CAISO_CCGT1
CAISO_CCGT2,CAISO_CCGT2
CAISO_Coal,CAISO_Coal
CAISO_Peaker1,CAISO_Peaker1
CAISO_Peaker2,CAISO_Peaker2
CAISO_Advanced_CCGT,CAISO_Advanced_CCGT
CAISO_Aero_CT,CAISO_Aero_CT
CAISO_Reciprocating_Engine,CAISO_Reciprocating_Engine
CAISO_ST,CAISO_ST
NW_Nuclear,NW_Nuclear
NW_Coal,NW_Coal
NW_CCGT,NW_CCGT
NW_Peaker,NW_Peaker
SW_Nuclear,SW_Nuclear
SW_Coal,SW_Coal
SW_CCGT,SW_CCGT
SW_Peaker,SW_Peaker
SW_ST,SW_ST
LDWP_Nuclear,LDWP_Nuclear
LDWP_Coal,LDWP_Coal
LDWP_CCGT,LDWP_CCGT
LDWP_Peaker,LDWP_Peaker
LDWP_ST,LDWP_ST
IID_CCGT,IID_CCGT
IID_Peaker,IID_Peaker
BANC_CCGT,BANC_CCGT
BANC_Peaker,BANC_Peaker
BANC_Biomass_for_Other,Biomass
BANC_Geothermal_for_Other,Geothermal
CAISO_Biomass_for_Other,Biomass
CAISO_Geothermal_for_Other,Geothermal
IID_Biomass_for_Other,Biomass
IID_Geothermal_for_Other,Geothermal
LDWP_Biomass_for_Other,Biomass
LDWP_Geothermal_for_Other,Geothermal
NW_Biomass_for_Other,Biomass
NW_Geothermal_for_Other,Geothermal
SW_Biomass_for_Other,Biomass
SW_Geothermal_for_Other,Geothermal
CAISO_Biomass_for_CAISO,Biomass
CAISO_Geothermal_for_CAISO,Geothermal
IID_Geothermal_for_CAISO,Geothermal
NW_Biomass_for_CAISO,Biomass
NW_Geothermal_for_CAISO,Geothermal
InState_Biomass,Biomass
CAISO_Small_Hydro_for_CAISO,Small_Hydro
BANC_Small_Hydro_for_CAISO,Small_Hydro
NW_Small_Hydro_for_CAISO,Small_Hydro
CAISO_Small_Hydro_for_Other,Small_Hydro
BANC_Small_Hydro_for_Other,Small_Hydro
IID_Small_Hydro_for_Other,Small_Hydro
LDWP_Small_Hydro_for_Other,Small_Hydro
NW_Small_Hydro_for_Other,Small_Hydro
SW_Small_Hydro_for_Other,Small_Hydro
Greater_Imperial_Geothermal,Geothermal
Inyokern_North_Kramer_Geothermal,Geothermal
Northern_California_Ex_Geothermal,Geothermal
Pacific_Northwest_Geothermal,Geothermal
Riverside_Palm_Springs_Geothermal,Geothermal
Solano_Geothermal,Geothermal
Southern_Nevada_Geothermal,Geothermal
Customer_PV,Customer_PV
BANC_Solar_for_Other,Solar
CAISO_Solar_for_Other,Solar
IID_Solar_for_Other,Solar
LDWP_Solar_for_Other,Solar
NW_Solar_for_Other,Solar
SW_Solar_for_Other,Solar
CAISO_Solar_for_CAISO,Solar
IID_Solar_for_CAISO,Solar
SW_Solar_for_CAISO,Solar
BANC_Wind_for_Other,Wind
CAISO_Wind_for_Other,Wind
IID_Wind_for_Other,Wind
LDWP_Wind_for_Other,Wind
NW_Wind_for_Other,Wind
SW_Wind_for_Other,Wind
CAISO_Wind_for_CAISO,Wind
LDWP_Wind_for_CAISO,Wind
NW_Wind_for_CAISO,Wind
SW_Wind_for_CAISO,Wind
Carrizo_Solar,Solar
Carrizo_Wind,Wind
Central_Valley_North_Los_Banos_Solar,Solar
Central_Valley_North_Los_Banos_Wind,Wind
Distributed_Solar,Solar
Mountain_Pass_El_Dorado_Solar,Solar
Greater_Imperial_Solar,Solar
Greater_Imperial_Wind,Wind
Greater_Kramer_Wind,Wind
Humboldt_Wind,Wind
Inyokern_North_Kramer_Solar,Solar
Kern_Greater_Carrizo_Solar,Solar
Kern_Greater_Carrizo_Wind,Wind
Kramer_Inyokern_Ex_Solar,Solar
Kramer_Inyokern_Ex_Wind,Wind
North_Victor_Solar,Solar
Northern_California_Ex_Solar,Solar
Northern_California_Ex_Wind,Wind
NW_Ext_Tx_Wind,Wind
Riverside_Palm_Springs_Solar,Solar
Sacramento_River_Solar,Solar
Sacramento_River_Wind,Wind
SCADSNV_Solar,Solar
SCADSNV_Wind,Wind
Solano_Solar,Solar
Solano_subzone_Solar,Solar
Solano_subzone_Wind,Wind
Solano_Wind,Wind
Southern_California_Desert_Ex_Solar,Solar
Southern_California_Desert_Ex_Wind,Wind
Southern_Nevada_Solar,Solar
Southern_Nevada_Wind,Wind
SW_Ext_Tx_Wind,Wind
Tehachapi_Ex_Solar,Solar
Tehachapi_Solar,Solar
Tehachapi_Wind,Wind
Westlands_Ex_Solar,Solar
Westlands_Ex_Wind,Wind
Westlands_Solar,Solar
Arizona_Solar,Solar
Arizona_Wind,Wind
Baja_California_Solar,Solar
Baja_California_Wind,Wind
Idaho_Wind,Wind
New_Mexico_Solar,Solar
New_Mexico_Wind,Wind
Utah_Solar,Solar
Utah_Wind,Wind
Wyoming_Wind,Wind
Pacific_Northwest_Wind,Wind
Diablo_Canyon_Offshore_Wind,Offshore_Wind
Humboldt_Bay_Offshore_Wind,Offshore_Wind
Morro_Bay_Offshore_Wind,Offshore_Wind
Diablo_Canyon_Offshore_Wind_Ext_Tx,Offshore_Wind
Cape_Mendocino_Offshore_Wind,Offshore_Wind
Del_Norte_Offshore_Wind,Offshore_Wind
CAISO_Existing_Pumped_Storage,Pumped_Hydro
CAISO_New_Pumped_Storage,Pumped_Hydro
CAISO_New_Flow_Battery,Flow_Battery
CAISO_New_Flow_Battery_2,Flow_Battery
CAISO_New_Flow_Battery_3,Flow_Battery
CAISO_New_Flow_Battery_4,Flow_Battery
CAISO_New_Flow_Battery_5,Flow_Battery
CAISO_New_Li_Battery,Li_Battery
CAISO_BTM_Li_Battery,BTM_Li_Battery
CAISO_New_Li_Battery_2,Li_Battery
CAISO_New_Li_Battery_3,Li_Battery
CAISO_New_Li_Battery_4,Li_Battery
CAISO_New_Li_Battery_5,Li_Battery
CAISO_New_Li_Battery_6,Li_Battery
CAISO_Hydro,Hydro
NW_Hydro,Hydro
SW_Hydro,Hydro
LDWP_Hydro,Hydro
BANC_Hydro,Hydro
IID_Hydro,Hydro
