project,period,facet,elcc_surface_coefficient
Customer_PV,2020,1,1.248933
CAISO_Solar_for_Other,2020,1,1.248933
CAISO_Solar_for_CAISO,2020,1,1.248933
CAISO_Wind_for_Other,2020,1,0.34768
CAISO_Wind_for_CAISO,2020,1,0.34768
Carrizo_Solar,2020,1,1.248933
Carrizo_Wind,2020,1,0.34768
Central_Valley_North_Los_Banos_Solar,2020,1,1.248933
Central_Valley_North_Los_Banos_Wind,2020,1,0.34768
Distributed_Solar,2020,1,1.248933
Mountain_Pass_El_Dorado_Solar,2020,1,1.248933
Greater_Imperial_Solar,2020,1,1.248933
Greater_Imperial_Wind,2020,1,0.34768
Greater_Kramer_Wind,2020,1,0.34768
Humboldt_Wind,2020,1,0.34768
Inyokern_North_Kramer_Solar,2020,1,1.248933
Kern_Greater_Carrizo_Solar,2020,1,1.248933
Kern_Greater_Carrizo_Wind,2020,1,0.34768
Kramer_Inyokern_Ex_Solar,2020,1,1.248933
Kramer_Inyokern_Ex_Wind,2020,1,0.34768
North_Victor_Solar,2020,1,1.248933
Northern_California_Ex_Solar,2020,1,1.248933
Northern_California_Ex_Wind,2020,1,0.34768
NW_Ext_Tx_Wind,2020,1,0.34768
Riverside_Palm_Springs_Solar,2020,1,1.248933
Sacramento_River_Solar,2020,1,1.248933
Sacramento_River_Wind,2020,1,0.34768
SCADSNV_Solar,2020,1,1.248933
SCADSNV_Wind,2020,1,0.34768
Solano_Solar,2020,1,1.248933
Solano_subzone_Solar,2020,1,1.248933
Solano_subzone_Wind,2020,1,0.34768
Solano_Wind,2020,1,0.34768
Southern_California_Desert_Ex_Solar,2020,1,1.248933
Southern_California_Desert_Ex_Wind,2020,1,0.34768
Southern_Nevada_Solar,2020,1,1.248933
Southern_Nevada_Wind,2020,1,0.34768
SW_Ext_Tx_Wind,2020,1,0.34768
Tehachapi_Ex_Solar,2020,1,1.248933
Tehachapi_Solar,2020,1,1.248933
Tehachapi_Wind,2020,1,0.34768
Westlands_Ex_Solar,2020,1,1.248933
Westlands_Ex_Wind,2020,1,0.34768
Westlands_Solar,2020,1,1.248933
Arizona_Solar,2020,1,1.248933
Arizona_Wind,2020,1,0.34768
Baja_California_Solar,2020,1,1.248933
Baja_California_Wind,2020,1,0.34768
Idaho_Wind,2020,1,0.34768
New_Mexico_Solar,2020,1,1.248933
New_Mexico_Wind,2020,1,0.34768
Utah_Solar,2020,1,1.248933
Utah_Wind,2020,1,0.34768
Wyoming_Wind,2020,1,0.34768
Pacific_Northwest_Wind,2020,1,0.34768
Diablo_Canyon_Offshore_Wind,2020,1,0.34768
Humboldt_Bay_Offshore_Wind,2020,1,0.34768
Morro_Bay_Offshore_Wind,2020,1,0.34768
Diablo_Canyon_Offshore_Wind_Ext_Tx,2020,1,0.34768
Cape_Mendocino_Offshore_Wind,2020,1,0.34768
Del_Norte_Offshore_Wind,2020,1,0.34768
Customer_PV,2020,2,1.337115
CAISO_Solar_for_Other,2020,2,1.337115
CAISO_Solar_for_CAISO,2020,2,1.337115
CAISO_Wind_for_Other,2020,2,0.307998
CAISO_Wind_for_CAISO,2020,2,0.307998
Carrizo_Solar,2020,2,1.337115
Carrizo_Wind,2020,2,0.307998
Central_Valley_North_Los_Banos_Solar,2020,2,1.337115
Central_Valley_North_Los_Banos_Wind,2020,2,0.307998
Distributed_Solar,2020,2,1.337115
Mountain_Pass_El_Dorado_Solar,2020,2,1.337115
Greater_Imperial_Solar,2020,2,1.337115
Greater_Imperial_Wind,2020,2,0.307998
Greater_Kramer_Wind,2020,2,0.307998
Humboldt_Wind,2020,2,0.307998
Inyokern_North_Kramer_Solar,2020,2,1.337115
Kern_Greater_Carrizo_Solar,2020,2,1.337115
Kern_Greater_Carrizo_Wind,2020,2,0.307998
Kramer_Inyokern_Ex_Solar,2020,2,1.337115
Kramer_Inyokern_Ex_Wind,2020,2,0.307998
North_Victor_Solar,2020,2,1.337115
Northern_California_Ex_Solar,2020,2,1.337115
Northern_California_Ex_Wind,2020,2,0.307998
NW_Ext_Tx_Wind,2020,2,0.307998
Riverside_Palm_Springs_Solar,2020,2,1.337115
Sacramento_River_Solar,2020,2,1.337115
Sacramento_River_Wind,2020,2,0.307998
SCADSNV_Solar,2020,2,1.337115
SCADSNV_Wind,2020,2,0.307998
Solano_Solar,2020,2,1.337115
Solano_subzone_Solar,2020,2,1.337115
Solano_subzone_Wind,2020,2,0.307998
Solano_Wind,2020,2,0.307998
Southern_California_Desert_Ex_Solar,2020,2,1.337115
Southern_California_Desert_Ex_Wind,2020,2,0.307998
Southern_Nevada_Solar,2020,2,1.337115
Southern_Nevada_Wind,2020,2,0.307998
SW_Ext_Tx_Wind,2020,2,0.307998
Tehachapi_Ex_Solar,2020,2,1.337115
Tehachapi_Solar,2020,2,1.337115
Tehachapi_Wind,2020,2,0.307998
Westlands_Ex_Solar,2020,2,1.337115
Westlands_Ex_Wind,2020,2,0.307998
Westlands_Solar,2020,2,1.337115
Arizona_Solar,2020,2,1.337115
Arizona_Wind,2020,2,0.307998
Baja_California_Solar,2020,2,1.337115
Baja_California_Wind,2020,2,0.307998
Idaho_Wind,2020,2,0.307998
New_Mexico_Solar,2020,2,1.337115
New_Mexico_Wind,2020,2,0.307998
