prm_zone,period,facet,elcc_surface_intercept
CAISO,2020,1,0
CAISO,2020,2,0
CAISO,2020,3,0.004646
CAISO,2020,4,0.006585
CAISO,2020,5,0.012406
CAISO,2020,6,0.00617
CAISO,2020,7,0.012461
CAISO,2020,8,0.012461
CAISO,2020,9,0.053912
CAISO,2020,10,0.041646
CAISO,2020,11,0.050764
CAISO,2020,12,0.047356
CAISO,2020,13,0.10324
CAISO,2020,14,0.091895
CAISO,2020,15,0.105335
CAISO,2020,16,0.101713
CAISO,2020,17,0.118129
CAISO,2020,18,0.115159
CAISO,2020,19,0.132125
CAISO,2020,20,0.131357
CAISO,2020,21,0.124696
CAISO,2020,22,0.12318
CAISO,2020,23,0.140844
CAISO,2020,24,0.140667
CAISO,2021,1,0
CAISO,2021,2,0
CAISO,2021,3,0.004646
CAISO,2021,4,0.006585
CAISO,2021,5,0.012406
CAISO,2021,6,0.00617
CAISO,2021,7,0.012461
CAISO,2021,8,0.012461
CAISO,2021,9,0.053912
CAISO,2021,10,0.041646
CAISO,2021,11,0.050764
CAISO,2021,12,0.047356
CAISO,2021,13,0.10324
CAISO,2021,14,0.091895
CAISO,2021,15,0.105335
CAISO,2021,16,0.101713
CAISO,2021,17,0.118129
CAISO,2021,18,0.115159
CAISO,2021,19,0.132125
CAISO,2021,20,0.131357
CAISO,2021,21,0.124696
CAISO,2021,22,0.12318
CAISO,2021,23,0.140844
CAISO,2021,24,0.140667
CAISO,2022,1,0
CAISO,2022,2,0
CAISO,2022,3,0.004646
CAISO,2022,4,0.006585
CAISO,2022,5,0.012406
CAISO,2022,6,0.00617
CAISO,2022,7,0.012461
CAISO,2022,8,0.012461
CAISO,2022,9,0.053912
CAISO,2022,10,0.041646
CAISO,2022,11,0.050764
CAISO,2022,12,0.047356
CAISO,2022,13,0.10324
CAISO,2022,14,0.091895
CAISO,2022,15,0.105335
CAISO,2022,16,0.101713
CAISO,2022,17,0.118129
CAISO,2022,18,0.115159
CAISO,2022,19,0.132125
CAISO,2022,20,0.131357
CAISO,2022,21,0.124696
CAISO,2022,22,0.12318
CAISO,2022,23,0.140844
CAISO,2022,24,0.140667
CAISO,2023,1,0
CAISO,2023,2,0
CAISO,2023,3,0.004646
