project,prm_type,elcc_simple_fraction,contributes_to_elcc_surface,min_duration_for_full_capacity_credit_hours,deliverability_group
CAISO_CHP,fully_deliverable,0.634,,,
CAISO_Nuclear,fully_deliverable,0.993155481,,,
CAISO_CCGT1,fully_deliverable,0.939469003,,,
CAISO_CCGT2,fully_deliverable,0.99987913,,,
CAISO_Coal,fully_deliverable,0.980062021,,,
CAISO_Peaker1,fully_deliverable,0.923735531,,,
CAISO_Peaker2,fully_deliverable,0.961295982,,,
CAISO_Advanced_CCGT,fully_deliverable,0.95,,,
CAISO_Aero_CT,fully_deliverable,0.95,,,
CAISO_Reciprocating_Engine,fully_deliverable,0.997649824,,,
CAISO_ST,fully_deliverable,0.999563333,,,
CAISO_Biomass_for_Other,fully_deliverable,0.698,,,
CAISO_Geothermal_for_Other,fully_deliverable,0.616,,,
CAISO_Biomass_for_CAISO,fully_deliverable,0.698,,,
CAISO_Geothermal_for_CAISO,fully_deliverable,0.616,,,
InState_Biomass,fully_deliverable,0.85,,,
CAISO_Small_Hydro_for_CAISO,fully_deliverable,0.5,,,
CAISO_Small_Hydro_for_Other,fully_deliverable,0.5,,,
Greater_Imperial_Geothermal,fully_deliverable,0.880926234,,,
Inyokern_North_Kramer_Geothermal,fully_deliverable,0.8,,,
Northern_California_Ex_Geothermal,fully_deliverable,0.81,,,
Pacific_Northwest_Geothermal,fully_deliverable,0.843269231,,,
Riverside_Palm_Springs_Geothermal,fully_deliverable,0.8,,,
Solano_Geothermal,fully_deliverable,0.9,,,
Southern_Nevada_Geothermal,fully_deliverable,0.843269231,,,
CAISO_Existing_Pumped_Storage,fully_deliverable,1,,,
CAISO_New_Pumped_Storage,fully_deliverable,1,,,
CAISO_New_Flow_Battery,fully_deliverable,1,,,
CAISO_New_Flow_Battery_2,fully_deliverable,0.759,,,
CAISO_New_Flow_Battery_3,fully_deliverable,0.499,,,
CAISO_New_Flow_Battery_4,fully_deliverable,0.254,,,
CAISO_New_Flow_Battery_5,fully_deliverable,0.063,,,
CAISO_New_Li_Battery,fully_deliverable,1,,,
CAISO_BTM_Li_Battery,fully_deliverable,1,,,
CAISO_New_Li_Battery_2,fully_deliverable,0.759,,,
CAISO_New_Li_Battery_3,fully_deliverable,0.499,,,
CAISO_New_Li_Battery_4,fully_deliverable,0.254,,,
CAISO_New_Li_Battery_5,fully_deliverable,0.063,,,
CAISO_New_Li_Battery_6,fully_deliverable,0,,,
CAISO_Hydro,fully_deliverable,0.84576444,,,
CAISO_Shed_DR_Existing,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche1,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche2,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche3,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche4,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche5,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche6,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche7,fully_deliverable,1,,,
CAISO_Shed_DR_Tranche8,fully_deliverable,1,,,
Customer_PV,fully_deliverable,,1,,
CAISO_Solar_for_Other,fully_deliverable,,1,,
CAISO_Solar_for_CAISO,fully_deliverable,,1,,
CAISO_Wind_for_Other,fully_deliverable,,1,,
CAISO_Wind_for_CAISO,fully_deliverable,,1,,
Carrizo_Solar,fully_deliverable,,1,,
Carrizo_Wind,fully_deliverable,,1,,
Central_Valley_North_Los_Banos_Solar,fully_deliverable,,1,,
Central_Valley_North_Los_Banos_Wind,fully_deliverable,,1,,
Distributed_Solar,fully_deliverable,,1,,
Mountain_Pass_El_Dorado_Solar,fully_deliverable,,1,,
Greater_Imperial_Solar,fully_deliverable,,1,,
Greater_Imperial_Wind,fully_deliverable,,1,,
Greater_Kramer_Wind,fully_deliverable,,1,,
Humboldt_Wind,fully_deliverable,,1,,
Inyokern_North_Kramer_Solar,fully_deliverable,,1,,
Kern_Greater_Carrizo_Solar,fully_deliverable,,1,,
Kern_Greater_Carrizo_Wind,fully_deliverable,,1,,
Kramer_Inyokern_Ex_Solar,fully_deliverable,,1,,
Kramer_Inyokern_Ex_Wind,fully_deliverable,,1,,
North_Victor_Solar,fully_deliverable,,1,,
Northern_California_Ex_Solar,fully_deliverable,,1,,
Northern_California_Ex_Wind,fully_deliverable,,1,,
NW_Ext_Tx_Wind,fully_deliverable,,1,,
Riverside_Palm_Springs_Solar,fully_deliverable,,1,,
Sacramento_River_Solar,fully_deliverable,,1,,
Sacramento_River_Wind,fully_deliverable,,1,,
SCADSNV_Solar,fully_deliverable,,1,,
SCADSNV_Wind,fully_deliverable,,1,,
Solano_Solar,fully_deliverable,,1,,
Solano_subzone_Solar,fully_deliverable,,1,,
Solano_subzone_Wind,fully_deliverable,,1,,
