project,prm_zone
CAISO_CHP,CAISO
CAISO_Nuclear,CAISO
CAISO_CCGT1,CAISO
CAISO_CCGT2,CAISO
CAISO_Coal,CAISO
CAISO_Peaker1,CAISO
CAISO_Peaker2,CAISO
CAISO_Advanced_CCGT,CAISO
CAISO_Aero_CT,CAISO
CAISO_Reciprocating_Engine,CAISO
CAISO_ST,CAISO
CAISO_Biomass_for_Other,CAISO
CAISO_Geothermal_for_Other,CAISO
CAISO_Biomass_for_CAISO,CAISO
CAISO_Geothermal_for_CAISO,CAISO
InState_Biomass,CAISO
CAISO_Small_Hydro_for_CAISO,CAISO
CAISO_Small_Hydro_for_Other,CAISO
Greater_Imperial_Geothermal,CAISO
Inyokern_North_Kramer_Geothermal,CAISO
Northern_California_Ex_Geothermal,CAISO
Pacific_Northwest_Geothermal,CAISO
Riverside_Palm_Springs_Geothermal,CAISO
Solano_Geothermal,CAISO
Southern_Nevada_Geothermal,CAISO
CAISO_Existing_Pumped_Storage,CAISO
CAISO_New_Pumped_Storage,CAISO
CAISO_New_Flow_Battery,CAISO
CAISO_New_Flow_Battery_2,CAISO
CAISO_New_Flow_Battery_3,CAISO
CAISO_New_Flow_Battery_4,CAISO
CAISO_New_Flow_Battery_5,CAISO
CAISO_New_Li_Battery,CAISO
CAISO_BTM_Li_Battery,CAISO
CAISO_New_Li_Battery_2,CAISO
CAISO_New_Li_Battery_3,CAISO
CAISO_New_Li_Battery_4,CAISO
CAISO_New_Li_Battery_5,CAISO
CAISO_New_Li_Battery_6,CAISO
CAISO_Hydro,CAISO
CAISO_Shed_DR_Existing,CAISO
CAISO_Shed_DR_Tranche1,CAISO
CAISO_Shed_DR_Tranche2,CAISO
CAISO_Shed_DR_Tranche3,CAISO
CAISO_Shed_DR_Tranche4,CAISO
CAISO_Shed_DR_Tranche5,CAISO
CAISO_Shed_DR_Tranche6,CAISO
CAISO_Shed_DR_Tranche7,CAISO
CAISO_Shed_DR_Tranche8,CAISO
Customer_PV,CAISO
CAISO_Solar_for_Other,CAISO
CAISO_Solar_for_CAISO,CAISO
CAISO_Wind_for_Other,CAISO
CAISO_Wind_for_CAISO,CAISO
Carrizo_Solar,CAISO
Carrizo_Wind,CAISO
Central_Valley_North_Los_Banos_Solar,CAISO
Central_Valley_North_Los_Banos_Wind,CAISO
Distributed_Solar,CAISO
Mountain_Pass_El_Dorado_Solar,CAISO
Greater_Imperial_Solar,CAISO
Greater_Imperial_Wind,CAISO
Greater_Kramer_Wind,CAISO
Humboldt_Wind,CAISO
Inyokern_North_Kramer_Solar,CAISO
Kern_Greater_Carrizo_Solar,CAISO
Kern_Greater_Carrizo_Wind,CAISO
Kramer_Inyokern_Ex_Solar,CAISO
Kramer_Inyokern_Ex_Wind,CAISO
North_Victor_Solar,CAISO
Northern_California_Ex_Solar,CAISO
Northern_California_Ex_Wind,CAISO
NW_Ext_Tx_Wind,CAISO
Riverside_Palm_Springs_Solar,CAISO
Sacramento_River_Solar,CAISO
Sacramento_River_Wind,CAISO
SCADSNV_Solar,CAISO
SCADSNV_Wind,CAISO
Solano_Solar,CAISO
Solano_subzone_Solar,CAISO
Solano_subzone_Wind,CAISO
Solano_Wind,CAISO
Southern_California_Desert_Ex_Solar,CAISO
Southern_California_Desert_Ex_Wind,CAISO
Southern_Nevada_Solar,CAISO
Southern_Nevada_Wind,CAISO
SW_Ext_Tx_Wind,CAISO
Tehachapi_Ex_Solar,CAISO
Tehachapi_Solar,CAISO
Tehachapi_Wind,CAISO
Westlands_Ex_Solar,CAISO
Westlands_Ex_Wind,CAISO
Westlands_Solar,CAISO
Arizona_Solar,CAISO
Arizona_Wind,CAISO
Baja_California_Solar,CAISO
Baja_California_Wind,CAISO
Idaho_Wind,CAISO
New_Mexico_Solar,CAISO
New_Mexico_Wind,CAISO
Utah_Solar,CAISO
Utah_Wind,CAISO
Wyoming_Wind,CAISO
Pacific_Northwest_Wind,CAISO
Diablo_Canyon_Offshore_Wind,CAISO
Humboldt_Bay_Offshore_Wind,CAISO
Morro_Bay_Offshore_Wind,CAISO
Diablo_Canyon_Offshore_Wind_Ext_Tx,CAISO
Cape_Mendocino_Offshore_Wind,CAISO
Del_Norte_Offshore_Wind,CAISO
,
,
,
,
,
