frequency_response_ba,stage_id,timepoint,frequency_response_mw
CAISO,1,20200101,770
CAISO,1,20200102,770
CAISO,1,20200103,770
CAISO,1,20200104,770
CAISO,1,20200105,770
CAISO,1,20200106,770
CAISO,1,20200107,770
CAISO,1,20200108,770
CAISO,1,20200109,770
CAISO,1,20200110,770
CAISO,1,20200111,770
CAISO,1,20200112,770
CAISO,1,20200113,770
CAISO,1,20200114,770
CAISO,1,20200115,770
CAISO,1,20200116,770
CAISO,1,20200117,770
CAISO,1,20200118,770
CAISO,1,20200119,770
CAISO,1,20200120,770
CAISO,1,20200121,770
CAISO,1,20200122,770
CAISO,1,20200123,770
CAISO,1,20200124,770
CAISO,1,20200201,770
CAISO,1,20200202,770
CAISO,1,20200203,770
CAISO,1,20200204,770
CAISO,1,20200205,770
CAISO,1,20200206,770
CAISO,1,20200207,770
CAISO,1,20200208,770
CAISO,1,20200209,770
CAISO,1,20200210,770
CAISO,1,20200211,770
CAISO,1,20200212,770
CAISO,1,20200213,770
CAISO,1,20200214,770
CAISO,1,20200215,770
CAISO,1,20200216,770
CAISO,1,20200217,770
CAISO,1,20200218,770
CAISO,1,20200219,770
CAISO,1,20200220,770
CAISO,1,20200221,770
CAISO,1,20200222,770
CAISO,1,20200223,770
CAISO,1,20200224,770
CAISO,1,20200301,770
CAISO,1,20200302,770
CAISO,1,20200303,770
CAISO,1,20200304,770
CAISO,1,20200305,770
CAISO,1,20200306,770
CAISO,1,20200307,770
CAISO,1,20200308,770
CAISO,1,20200309,770
CAISO,1,20200310,770
CAISO,1,20200311,770
CAISO,1,20200312,770
CAISO,1,20200313,770
CAISO,1,20200314,770
CAISO,1,20200315,770
CAISO,1,20200316,770
CAISO,1,20200317,770
CAISO,1,20200318,770
CAISO,1,20200319,770
CAISO,1,20200320,770
CAISO,1,20200321,770
CAISO,1,20200322,770
CAISO,1,20200323,770
CAISO,1,20200324,770
CAISO,1,20200401,770
CAISO,1,20200402,770
CAISO,1,20200403,770
CAISO,1,20200404,770
CAISO,1,20200405,770
CAISO,1,20200406,770
CAISO,1,20200407,770
CAISO,1,20200408,770
CAISO,1,20200409,770
CAISO,1,20200410,770
CAISO,1,20200411,770
CAISO,1,20200412,770
CAISO,1,20200413,770
CAISO,1,20200414,770
CAISO,1,20200415,770
CAISO,1,20200416,770
CAISO,1,20200417,770
CAISO,1,20200418,770
CAISO,1,20200419,770
CAISO,1,20200420,770
CAISO,1,20200421,770
CAISO,1,20200422,770
CAISO,1,20200423,770
CAISO,1,20200424,770
CAISO,1,20200501,770
CAISO,1,20200502,770
CAISO,1,20200503,770
CAISO,1,20200504,770
CAISO,1,20200505,770
CAISO,1,20200506,770
CAISO,1,20200507,770
CAISO,1,20200508,770
CAISO,1,20200509,770
CAISO,1,20200510,770
CAISO,1,20200511,770
CAISO,1,20200512,770
CAISO,1,20200513,770
CAISO,1,20200514,770
CAISO,1,20200515,770
CAISO,1,20200516,770
CAISO,1,20200517,770
CAISO,1,20200518,770
CAISO,1,20200519,770
CAISO,1,20200520,770
CAISO,1,20200521,770
CAISO,1,20200522,770
CAISO,1,20200523,770
CAISO,1,20200524,770
CAISO,1,20200601,770
CAISO,1,20200602,770
CAISO,1,20200603,770
CAISO,1,20200604,770
CAISO,1,20200605,770
CAISO,1,20200606,770
CAISO,1,20200607,770
CAISO,1,20200608,770
CAISO,1,20200609,770
CAISO,1,20200610,770
CAISO,1,20200611,770
CAISO,1,20200612,770
CAISO,1,20200613,770
CAISO,1,20200614,770
CAISO,1,20200615,770
CAISO,1,20200616,770
CAISO,1,20200617,770
CAISO,1,20200618,770
CAISO,1,20200619,770
CAISO,1,20200620,770
CAISO,1,20200621,770
CAISO,1,20200622,770
CAISO,1,20200623,770
CAISO,1,20200624,770
CAISO,1,20200701,770
CAISO,1,20200702,770
CAISO,1,20200703,770
CAISO,1,20200704,770
