lf_reserves_down_ba,stage_id,timepoint,lf_reserves_down_mw
CAISO,1,20200101,638
CAISO,1,20200102,470
CAISO,1,20200103,456
CAISO,1,20200104,400
CAISO,1,20200105,377
CAISO,1,20200106,286
CAISO,1,20200107,181
CAISO,1,20200108,1784
CAISO,1,20200109,3013
CAISO,1,20200110,3457
CAISO,1,20200111,3228
CAISO,1,20200112,2678
CAISO,1,20200113,2637
CAISO,1,20200114,2754
CAISO,1,20200115,2741
CAISO,1,20200116,2611
CAISO,1,20200117,1734
CAISO,1,20200118,100
CAISO,1,20200119,499
CAISO,1,20200120,661
CAISO,1,20200121,745
CAISO,1,20200122,792
CAISO,1,20200123,835
CAISO,1,20200124,769
CAISO,1,20200201,638
CAISO,1,20200202,470
CAISO,1,20200203,456
CAISO,1,20200204,400
CAISO,1,20200205,377
CAISO,1,20200206,286
CAISO,1,20200207,181
CAISO,1,20200208,1784
CAISO,1,20200209,3013
CAISO,1,20200210,3457
CAISO,1,20200211,3228
CAISO,1,20200212,2678
CAISO,1,20200213,2637
CAISO,1,20200214,2754
CAISO,1,20200215,2741
CAISO,1,20200216,2611
CAISO,1,20200217,1734
CAISO,1,20200218,100
CAISO,1,20200219,499
CAISO,1,20200220,661
CAISO,1,20200221,745
CAISO,1,20200222,792
CAISO,1,20200223,835
CAISO,1,20200224,769
CAISO,1,20200301,638
CAISO,1,20200302,470
CAISO,1,20200303,456
CAISO,1,20200304,400
CAISO,1,20200305,377
CAISO,1,20200306,286
CAISO,1,20200307,181
CAISO,1,20200308,1784
CAISO,1,20200309,3013
CAISO,1,20200310,3457
CAISO,1,20200311,3228
CAISO,1,20200312,2678
CAISO,1,20200313,2637
CAISO,1,20200314,2754
CAISO,1,20200315,2741
CAISO,1,20200316,2611
CAISO,1,20200317,1734
CAISO,1,20200318,100
CAISO,1,20200319,499
CAISO,1,20200320,661
CAISO,1,20200321,745
CAISO,1,20200322,792
CAISO,1,20200323,835
CAISO,1,20200324,769
CAISO,1,20200401,575
CAISO,1,20200402,523
CAISO,1,20200403,599
CAISO,1,20200404,384
CAISO,1,20200405,248
CAISO,1,20200406,414
CAISO,1,20200407,2315
CAISO,1,20200408,3159
CAISO,1,20200409,3700
CAISO,1,20200410,3364
CAISO,1,20200411,3299
CAISO,1,20200412,3051
CAISO,1,20200413,2943
CAISO,1,20200414,3036
CAISO,1,20200415,3321
CAISO,1,20200416,3019
CAISO,1,20200417,2803
CAISO,1,20200418,1506
CAISO,1,20200419,100
CAISO,1,20200420,628
CAISO,1,20200421,868
CAISO,1,20200422,902
CAISO,1,20200423,790
CAISO,1,20200424,763
CAISO,1,20200501,575
CAISO,1,20200502,523
CAISO,1,20200503,599
CAISO,1,20200504,384
CAISO,1,20200505,248
CAISO,1,20200506,414
CAISO,1,20200507,2315
CAISO,1,20200508,3159
CAISO,1,20200509,3700
CAISO,1,20200510,3364
CAISO,1,20200511,3299
CAISO,1,20200512,3051
CAISO,1,20200513,2943
CAISO,1,20200514,3036
CAISO,1,20200515,3321
CAISO,1,20200516,3019
CAISO,1,20200517,2803
CAISO,1,20200518,1506
CAISO,1,20200519,100
CAISO,1,20200520,628
CAISO,1,20200521,868
CAISO,1,20200522,902
CAISO,1,20200523,790
CAISO,1,20200524,763
CAISO,1,20200601,575
CAISO,1,20200602,523
CAISO,1,20200603,599
CAISO,1,20200604,384
CAISO,1,20200605,248
CAISO,1,20200606,414
CAISO,1,20200607,2315
CAISO,1,20200608,3159
CAISO,1,20200609,3700
CAISO,1,20200610,3364
CAISO,1,20200611,3299
CAISO,1,20200612,3051
CAISO,1,20200613,2943
CAISO,1,20200614,3036
CAISO,1,20200615,3321
CAISO,1,20200616,3019
CAISO,1,20200617,2803
CAISO,1,20200618,1506
CAISO,1,20200619,100
CAISO,1,20200620,628
CAISO,1,20200621,868
CAISO,1,20200622,902
CAISO,1,20200623,790
CAISO,1,20200624,763
CAISO,1,20200701,575
CAISO,1,20200702,523
CAISO,1,20200703,599
CAISO,1,20200704,384
CAISO,1,20200705,248
CAISO,1,20200706,414
CAISO,1,20200707,2315
CAISO,1,20200708,3159
CAISO,1,20200709,3700
CAISO,1,20200710,3364
CAISO,1,20200711,3299
CAISO,1,20200712,3051
CAISO,1,20200713,2943
CAISO,1,20200714,3036
CAISO,1,20200715,3321
CAISO,1,20200716,3019
CAISO,1,20200717,2803
CAISO,1,20200718,1506
CAISO,1,20200719,100
CAISO,1,20200720,628
CAISO,1,20200721,868
CAISO,1,20200722,902
CAISO,1,20200723,790
CAISO,1,20200724,763
CAISO,1,20200801,575
CAISO,1,20200802,523
CAISO,1,20200803,599
CAISO,1,20200804,384
CAISO,1,20200805,248
CAISO,1,20200806,414
CAISO,1,20200807,2315
CAISO,1,20200808,3159
CAISO,1,20200809,3700
CAISO,1,20200810,3364
CAISO,1,20200811,3299
CAISO,1,20200812,3051
CAISO,1,20200813,2943
CAISO,1,20200814,3036
CAISO,1,20200815,3321
CAISO,1,20200816,3019
CAISO,1,20200817,2803
