lf_reserves_up_ba,stage_id,timepoint,lf_reserves_up_mw
CAISO,1,20200101,1371
CAISO,1,20200102,1392
CAISO,1,20200103,1422
CAISO,1,20200104,1614
CAISO,1,20200105,1651
CAISO,1,20200106,1751
CAISO,1,20200107,2183
CAISO,1,20200108,2224
CAISO,1,20200109,2158
CAISO,1,20200110,2264
CAISO,1,20200111,1389
CAISO,1,20200112,1190
CAISO,1,20200113,1322
CAISO,1,20200114,1957
CAISO,1,20200115,2164
CAISO,1,20200116,2078
CAISO,1,20200117,2029
CAISO,1,20200118,2575
CAISO,1,20200119,2190
CAISO,1,20200120,1722
CAISO,1,20200121,1436
CAISO,1,20200122,1203
CAISO,1,20200123,1271
CAISO,1,20200124,1288
CAISO,1,20200201,1371
CAISO,1,20200202,1392
CAISO,1,20200203,1422
CAISO,1,20200204,1614
CAISO,1,20200205,1651
CAISO,1,20200206,1751
CAISO,1,20200207,2183
CAISO,1,20200208,2224
CAISO,1,20200209,2158
CAISO,1,20200210,2264
CAISO,1,20200211,1389
CAISO,1,20200212,1190
CAISO,1,20200213,1322
CAISO,1,20200214,1957
CAISO,1,20200215,2164
CAISO,1,20200216,2078
CAISO,1,20200217,2029
CAISO,1,20200218,2575
CAISO,1,20200219,2190
CAISO,1,20200220,1722
CAISO,1,20200221,1436
CAISO,1,20200222,1203
CAISO,1,20200223,1271
CAISO,1,20200224,1288
CAISO,1,20200301,1371
CAISO,1,20200302,1392
CAISO,1,20200303,1422
CAISO,1,20200304,1614
CAISO,1,20200305,1651
CAISO,1,20200306,1751
CAISO,1,20200307,2183
CAISO,1,20200308,2224
CAISO,1,20200309,2158
CAISO,1,20200310,2264
CAISO,1,20200311,1389
CAISO,1,20200312,1190
CAISO,1,20200313,1322
CAISO,1,20200314,1957
CAISO,1,20200315,2164
CAISO,1,20200316,2078
CAISO,1,20200317,2029
CAISO,1,20200318,2575
CAISO,1,20200319,2190
CAISO,1,20200320,1722
CAISO,1,20200321,1436
CAISO,1,20200322,1203
CAISO,1,20200323,1271
CAISO,1,20200324,1288
CAISO,1,20200401,1845
CAISO,1,20200402,1682
CAISO,1,20200403,1580
CAISO,1,20200404,1770
CAISO,1,20200405,2103
CAISO,1,20200406,2306
CAISO,1,20200407,2048
CAISO,1,20200408,2193
CAISO,1,20200409,2114
CAISO,1,20200410,1671
CAISO,1,20200411,871
CAISO,1,20200412,732
CAISO,1,20200413,1071
CAISO,1,20200414,1450
CAISO,1,20200415,2279
CAISO,1,20200416,2707
CAISO,1,20200417,2112
CAISO,1,20200418,2215
CAISO,1,20200419,2494
CAISO,1,20200420,2272
CAISO,1,20200421,1630
CAISO,1,20200422,1454
CAISO,1,20200423,1554
CAISO,1,20200424,1682
CAISO,1,20200501,1845
CAISO,1,20200502,1682
CAISO,1,20200503,1580
CAISO,1,20200504,1770
CAISO,1,20200505,2103
CAISO,1,20200506,2306
CAISO,1,20200507,2048
CAISO,1,20200508,2193
CAISO,1,20200509,2114
CAISO,1,20200510,1671
CAISO,1,20200511,871
CAISO,1,20200512,732
CAISO,1,20200513,1071
CAISO,1,20200514,1450
CAISO,1,20200515,2279
CAISO,1,20200516,2707
CAISO,1,20200517,2112
CAISO,1,20200518,2215
CAISO,1,20200519,2494
CAISO,1,20200520,2272
CAISO,1,20200521,1630
CAISO,1,20200522,1454
CAISO,1,20200523,1554
CAISO,1,20200524,1682
CAISO,1,20200601,1845
CAISO,1,20200602,1682
CAISO,1,20200603,1580
CAISO,1,20200604,1770
CAISO,1,20200605,2103
CAISO,1,20200606,2306
CAISO,1,20200607,2048
CAISO,1,20200608,2193
CAISO,1,20200609,2114
CAISO,1,20200610,1671
CAISO,1,20200611,871
CAISO,1,20200612,732
CAISO,1,20200613,1071
CAISO,1,20200614,1450
CAISO,1,20200615,2279
CAISO,1,20200616,2707
CAISO,1,20200617,2112
CAISO,1,20200618,2215
CAISO,1,20200619,2494
CAISO,1,20200620,2272
CAISO,1,20200621,1630
CAISO,1,20200622,1454
CAISO,1,20200623,1554
CAISO,1,20200624,1682
CAISO,1,20200701,1845
CAISO,1,20200702,1682
CAISO,1,20200703,1580
CAISO,1,20200704,1770
CAISO,1,20200705,2103
CAISO,1,20200706,2306
CAISO,1,20200707,2048
CAISO,1,20200708,2193
CAISO,1,20200709,2114
CAISO,1,20200710,1671
CAISO,1,20200711,871
CAISO,1,20200712,732
CAISO,1,20200713,1071
CAISO,1,20200714,1450
CAISO,1,20200715,2279
CAISO,1,20200716,2707
CAISO,1,20200717,2112
CAISO,1,20200718,2215
CAISO,1,20200719,2494
CAISO,1,20200720,2272
CAISO,1,20200721,1630
CAISO,1,20200722,1454
CAISO,1,20200723,1554
CAISO,1,20200724,1682
CAISO,1,20200801,1845
CAISO,1,20200802,1682
CAISO,1,20200803,1580
CAISO,1,20200804,1770
CAISO,1,20200805,2103
CAISO,1,20200806,2306
CAISO,1,20200807,2048
CAISO,1,20200808,2193
CAISO,1,20200809,2114
CAISO,1,20200810,1671
CAISO,1,20200811,871
CAISO,1,20200812,732
CAISO,1,20200813,1071
CAISO,1,20200814,1450
CAISO,1,20200815,2279
CAISO,1,20200816,2707
CAISO,1,20200817,2112
CAISO,1,20200818,2215
CAISO,1,20200819,2494
CAISO,1,20200820,2272
CAISO,1,20200821,1630
CAISO,1,20200822,1454
CAISO,1,20200823,1554
CAISO,1,20200824,1682
CAISO,1,20200901,1845
CAISO,1,20200902,1682
CAISO,1,20200903,1580
CAISO,1,20200904,1770
CAISO,1,20200905,2103
CAISO,1,20200906,2306
CAISO,1,20200907,2048
CAISO,1,20200908,2193
CAISO,1,20200909,2114
CAISO,1,20200910,1671
CAISO,1,20200911,871
CAISO,1,20200912,732
CAISO,1,20200913,1071
CAISO,1,20200914,1450
CAISO,1,20200915,2279
CAISO,1,20200916,2707
CAISO,1,20200917,2112
CAISO,1,20200918,2215
CAISO,1,20200919,2494
CAISO,1,20200920,2272
CAISO,1,20200921,1630
CAISO,1,20200922,1454
CAISO,1,20200923,1554
CAISO,1,20200924,1682
CAISO,1,20201001,1845
CAISO,1,20201002,1682
CAISO,1,20201003,1580
CAISO,1,20201004,1770
CAISO,1,20201005,2103
CAISO,1,20201006,2306
CAISO,1,20201007,2048
CAISO,1,20201008,2193
CAISO,1,20201009,2114
CAISO,1,20201010,1671
CAISO,1,20201011,871
CAISO,1,20201012,732
CAISO,1,20201013,1071
CAISO,1,20201014,1450
CAISO,1,20201015,2279
CAISO,1,20201016,2707
CAISO,1,20201017,2112
CAISO,1,20201018,2215
CAISO,1,20201019,2494
CAISO,1,20201020,2272
CAISO,1,20201021,1630
CAISO,1,20201022,1454
CAISO,1,20201023,1554
CAISO,1,20201024,1682
CAISO,1,20201101,1587
CAISO,1,20201102,1730
CAISO,1,20201103,1920
CAISO,1,20201104,1997
CAISO,1,20201105,2344
CAISO,1,20201106,2567
CAISO,1,20201107,2522
CAISO,1,20201108,1858
CAISO,1,20201109,1007
CAISO,1,20201110,773
CAISO,1,20201111,769
CAISO,1,20201112,763
CAISO,1,20201113,1000
CAISO,1,20201114,1318
CAISO,1,20201115,1592
CAISO,1,20201116,982
CAISO,1,20201117,1001
CAISO,1,20201118,1778
CAISO,1,20201119,2236
CAISO,1,20201120,2165
CAISO,1,20201121,1606
CAISO,1,20201122,1378
CAISO,1,20201123,1507
CAISO,1,20201124,1548
CAISO,1,20201201,1587
CAISO,1,20201202,1730
CAISO,1,20201203,1920
CAISO,1,20201204,1997
CAISO,1,20201205,2344
CAISO,1,20201206,2567
CAISO,1,20201207,2522
CAISO,1,20201208,1858
CAISO,1,20201209,1007
CAISO,1,20201210,773
CAISO,1,20201211,769
CAISO,1,20201212,763
CAISO,1,20201213,1000
CAISO,1,20201214,1318
CAISO,1,20201215,1592
CAISO,1,20201216,982
CAISO,1,20201217,1001
CAISO,1,20201218,1778
CAISO,1,20201219,2236
CAISO,1,20201220,2165
CAISO,1,20201221,1606
CAISO,1,20201222,1378
CAISO,1,20201223,1507
CAISO,1,20201224,1548
CAISO,1,20201301,1587
CAISO,1,20201302,1730
CAISO,1,20201303,1920
CAISO,1,20201304,1997
CAISO,1,20201305,2344
CAISO,1,20201306,2567
CAISO,1,20201307,2522
CAISO,1,20201308,1858
CAISO,1,20201309,1007
CAISO,1,20201310,773
CAISO,1,20201311,769
CAISO,1,20201312,763
CAISO,1,20201313,1000
CAISO,1,20201314,1318
CAISO,1,20201315,1592
CAISO,1,20201316,982
CAISO,1,20201317,1001
CAISO,1,20201318,1778
CAISO,1,20201319,2236
CAISO,1,20201320,2165
CAISO,1,20201321,1606
CAISO,1,20201322,1378
CAISO,1,20201323,1507
CAISO,1,20201324,1548
CAISO,1,20201401,1587
CAISO,1,20201402,1730
CAISO,1,20201403,1920
CAISO,1,20201404,1997
CAISO,1,20201405,2344
CAISO,1,20201406,2567
CAISO,1,20201407,2522
CAISO,1,20201408,1858
CAISO,1,20201409,1007
CAISO,1,20201410,773
CAISO,1,20201411,769
CAISO,1,20201412,763
CAISO,1,20201413,1000
CAISO,1,20201414,1318
CAISO,1,20201415,1592
CAISO,1,20201416,982
CAISO,1,20201417,1001
CAISO,1,20201418,1778
CAISO,1,20201419,2236
CAISO,1,20201420,2165
CAISO,1,20201421,1606
CAISO,1,20201422,1378
CAISO,1,20201423,1507
CAISO,1,20201424,1548
CAISO,1,20201501,1565
CAISO,1,20201502,1663
CAISO,1,20201503,1492
CAISO,1,20201504,1482
CAISO,1,20201505,1802
CAISO,1,20201506,2178
CAISO,1,20201507,2177
CAISO,1,20201508,1899
CAISO,1,20201509,1876
CAISO,1,20201510,1566
CAISO,1,20201511,730
CAISO,1,20201512,383
CAISO,1,20201513,665
CAISO,1,20201514,1337
CAISO,1,20201515,1877
CAISO,1,20201516,2022
CAISO,1,20201517,1817
CAISO,1,20201518,2194
CAISO,1,20201519,1961
CAISO,1,20201520,1425
CAISO,1,20201521,1221
CAISO,1,20201522,1287
CAISO,1,20201523,1263
CAISO,1,20201524,1363
CAISO,1,20201601,1565
CAISO,1,20201602,1663
CAISO,1,20201603,1492
CAISO,1,20201604,1482
CAISO,1,20201605,1802
CAISO,1,20201606,2178
CAISO,1,20201607,2177
CAISO,1,20201608,1899
CAISO,1,20201609,1876
CAISO,1,20201610,1566
CAISO,1,20201611,730
CAISO,1,20201612,383
CAISO,1,20201613,665
CAISO,1,20201614,1337
CAISO,1,20201615,1877
CAISO,1,20201616,2022
CAISO,1,20201617,1817
CAISO,1,20201618,2194
CAISO,1,20201619,1961
CAISO,1,20201620,1425
CAISO,1,20201621,1221
CAISO,1,20201622,1287
CAISO,1,20201623,1263
CAISO,1,20201624,1363
CAISO,1,20201701,1565
CAISO,1,20201702,1663
CAISO,1,20201703,1492
CAISO,1,20201704,1482
CAISO,1,20201705,1802
CAISO,1,20201706,2178
CAISO,1,20201707,2177
CAISO,1,20201708,1899
CAISO,1,20201709,1876
CAISO,1,20201710,1566
CAISO,1,20201711,730
CAISO,1,20201712,383
CAISO,1,20201713,665
CAISO,1,20201714,1337
CAISO,1,20201715,1877
CAISO,1,20201716,2022
CAISO,1,20201717,1817
CAISO,1,20201718,2194
CAISO,1,20201719,1961
CAISO,1,20201720,1425
CAISO,1,20201721,1221
CAISO,1,20201722,1287
CAISO,1,20201723,1263
CAISO,1,20201724,1363
CAISO,1,20201801,1371
CAISO,1,20201802,1392
CAISO,1,20201803,1422
CAISO,1,20201804,1614
CAISO,1,20201805,1651
CAISO,1,20201806,1751
CAISO,1,20201807,2183
CAISO,1,20201808,2224
CAISO,1,20201809,2158
CAISO,1,20201810,2264
CAISO,1,20201811,1389
CAISO,1,20201812,1190
CAISO,1,20201813,1322
CAISO,1,20201814,1957
CAISO,1,20201815,2164
CAISO,1,20201816,2078
CAISO,1,20201817,2029
CAISO,1,20201818,2575
CAISO,1,20201819,2190
CAISO,1,20201820,1722
CAISO,1,20201821,1436
CAISO,1,20201822,1203
CAISO,1,20201823,1271
CAISO,1,20201824,1288
CAISO,1,20201901,1845
CAISO,1,20201902,1682
CAISO,1,20201903,1580
CAISO,1,20201904,1770
CAISO,1,20201905,2103
CAISO,1,20201906,2306
CAISO,1,20201907,2048
CAISO,1,20201908,2193
CAISO,1,20201909,2114
CAISO,1,20201910,1671
CAISO,1,20201911,871
CAISO,1,20201912,732
CAISO,1,20201913,1071
CAISO,1,20201914,1450
CAISO,1,20201915,2279
CAISO,1,20201916,2707
