regulation_down_ba,stage_id,timepoint,regulation_down_mw
CAISO,1,20200101,174
CAISO,1,20200102,161
CAISO,1,20200103,112
CAISO,1,20200104,109
CAISO,1,20200105,109
CAISO,1,20200106,110
CAISO,1,20200107,223
CAISO,1,20200108,589
CAISO,1,20200109,611
CAISO,1,20200110,524
CAISO,1,20200111,523
CAISO,1,20200112,410
CAISO,1,20200113,560
CAISO,1,20200114,529
CAISO,1,20200115,656
CAISO,1,20200116,306
CAISO,1,20200117,168
CAISO,1,20200118,260
CAISO,1,20200119,193
CAISO,1,20200120,191
CAISO,1,20200121,189
CAISO,1,20200122,187
CAISO,1,20200123,180
CAISO,1,20200124,173
CAISO,1,20200201,168
CAISO,1,20200202,166
CAISO,1,20200203,164
CAISO,1,20200204,155
CAISO,1,20200205,156
CAISO,1,20200206,162
CAISO,1,20200207,257
CAISO,1,20200208,604
CAISO,1,20200209,626
CAISO,1,20200210,530
CAISO,1,20200211,477
CAISO,1,20200212,493
CAISO,1,20200213,490
CAISO,1,20200214,432
CAISO,1,20200215,364
CAISO,1,20200216,315
CAISO,1,20200217,182
CAISO,1,20200218,264
CAISO,1,20200219,197
CAISO,1,20200220,194
CAISO,1,20200221,191
CAISO,1,20200222,187
CAISO,1,20200223,178
CAISO,1,20200224,170
CAISO,1,20200301,185
CAISO,1,20200302,178
CAISO,1,20200303,177
CAISO,1,20200304,177
CAISO,1,20200305,179
CAISO,1,20200306,172
CAISO,1,20200307,263
CAISO,1,20200308,607
CAISO,1,20200309,627
CAISO,1,20200310,543
CAISO,1,20200311,530
CAISO,1,20200312,418
CAISO,1,20200313,566
CAISO,1,20200314,538
CAISO,1,20200315,369
CAISO,1,20200316,326
CAISO,1,20200317,201
CAISO,1,20200318,273
CAISO,1,20200319,214
CAISO,1,20200320,213
CAISO,1,20200321,210
CAISO,1,20200322,209
CAISO,1,20200323,201
CAISO,1,20200324,193
CAISO,1,20200401,120
CAISO,1,20200402,115
CAISO,1,20200403,113
CAISO,1,20200404,112
CAISO,1,20200405,125
CAISO,1,20200406,482
CAISO,1,20200407,767
CAISO,1,20200408,756
CAISO,1,20200409,744
CAISO,1,20200410,559
CAISO,1,20200411,502
CAISO,1,20200412,598
CAISO,1,20200413,551
CAISO,1,20200414,552
CAISO,1,20200415,468
CAISO,1,20200416,471
CAISO,1,20200417,385
CAISO,1,20200418,152
CAISO,1,20200419,259
CAISO,1,20200420,174
CAISO,1,20200421,195
CAISO,1,20200422,188
CAISO,1,20200423,139
CAISO,1,20200424,128
CAISO,1,20200501,186
CAISO,1,20200502,184
CAISO,1,20200503,183
CAISO,1,20200504,180
CAISO,1,20200505,192
CAISO,1,20200506,501
CAISO,1,20200507,779
CAISO,1,20200508,766
CAISO,1,20200509,753
CAISO,1,20200510,571
CAISO,1,20200511,575
CAISO,1,20200512,590
CAISO,1,20200513,573
CAISO,1,20200514,568
CAISO,1,20200515,487
CAISO,1,20200516,491
CAISO,1,20200517,410
CAISO,1,20200518,207
CAISO,1,20200519,313
CAISO,1,20200520,247
CAISO,1,20200521,236
CAISO,1,20200522,210
CAISO,1,20200523,202
CAISO,1,20200524,217
CAISO,1,20200601,141
CAISO,1,20200602,190
CAISO,1,20200603,190
CAISO,1,20200604,191
CAISO,1,20200605,221
CAISO,1,20200606,505
CAISO,1,20200607,782
CAISO,1,20200608,770
CAISO,1,20200609,758
CAISO,1,20200610,548
CAISO,1,20200611,522
CAISO,1,20200612,614
CAISO,1,20200613,568
CAISO,1,20200614,512
CAISO,1,20200615,489
CAISO,1,20200616,492
CAISO,1,20200617,410
CAISO,1,20200618,233
CAISO,1,20200619,312
CAISO,1,20200620,248
CAISO,1,20200621,211
CAISO,1,20200622,203
CAISO,1,20200623,195
CAISO,1,20200624,189
CAISO,1,20200701,144
CAISO,1,20200702,140
CAISO,1,20200703,138
CAISO,1,20200704,138
CAISO,1,20200705,148
CAISO,1,20200706,487
CAISO,1,20200707,780
CAISO,1,20200708,774
CAISO,1,20200709,762
CAISO,1,20200710,582
CAISO,1,20200711,527
CAISO,1,20200712,618
CAISO,1,20200713,572
