regulation_up_ba,stage_id,timepoint,regulation_up_mw
CAISO,1,20200101,162
CAISO,1,20200102,157
CAISO,1,20200103,126
CAISO,1,20200104,123
CAISO,1,20200105,123
CAISO,1,20200106,124
CAISO,1,20200107,126
CAISO,1,20200108,149
CAISO,1,20200109,414
CAISO,1,20200110,432
CAISO,1,20200111,435
CAISO,1,20200112,445
CAISO,1,20200113,367
CAISO,1,20200114,460
CAISO,1,20200115,690
CAISO,1,20200116,622
CAISO,1,20200117,596
CAISO,1,20200118,197
CAISO,1,20200119,182
CAISO,1,20200120,180
CAISO,1,20200121,178
CAISO,1,20200122,176
CAISO,1,20200123,169
CAISO,1,20200124,161
CAISO,1,20200201,156
CAISO,1,20200202,153
CAISO,1,20200203,152
CAISO,1,20200204,150
CAISO,1,20200205,152
CAISO,1,20200206,158
CAISO,1,20200207,166
CAISO,1,20200208,188
CAISO,1,20200209,431
CAISO,1,20200210,440
CAISO,1,20200211,489
CAISO,1,20200212,440
CAISO,1,20200213,439
CAISO,1,20200214,546
CAISO,1,20200215,608
CAISO,1,20200216,626
CAISO,1,20200217,600
CAISO,1,20200218,208
CAISO,1,20200219,193
CAISO,1,20200220,191
CAISO,1,20200221,187
CAISO,1,20200222,183
CAISO,1,20200223,174
CAISO,1,20200224,166
CAISO,1,20200301,177
CAISO,1,20200302,164
CAISO,1,20200303,162
CAISO,1,20200304,162
CAISO,1,20200305,164
CAISO,1,20200306,160
CAISO,1,20200307,169
CAISO,1,20200308,191
CAISO,1,20200309,432
CAISO,1,20200310,450
CAISO,1,20200311,443
CAISO,1,20200312,452
CAISO,1,20200313,376
CAISO,1,20200314,467
CAISO,1,20200315,609
CAISO,1,20200316,629
CAISO,1,20200317,603
CAISO,1,20200318,211
CAISO,1,20200319,202
CAISO,1,20200320,200
CAISO,1,20200321,197
CAISO,1,20200322,202
CAISO,1,20200323,194
CAISO,1,20200324,185
CAISO,1,20200401,133
CAISO,1,20200402,129
CAISO,1,20200403,127
CAISO,1,20200404,126
CAISO,1,20200405,128
CAISO,1,20200406,135
CAISO,1,20200407,315
CAISO,1,20200408,490
CAISO,1,20200409,509
CAISO,1,20200410,723
CAISO,1,20200411,448
CAISO,1,20200412,500
CAISO,1,20200413,454
CAISO,1,20200414,625
CAISO,1,20200415,718
CAISO,1,20200416,656
CAISO,1,20200417,632
CAISO,1,20200418,527
CAISO,1,20200419,198
CAISO,1,20200420,173
CAISO,1,20200421,192
CAISO,1,20200422,184
CAISO,1,20200423,151
CAISO,1,20200424,140
CAISO,1,20200501,178
CAISO,1,20200502,176
CAISO,1,20200503,175
CAISO,1,20200504,165
CAISO,1,20200505,170
CAISO,1,20200506,172
CAISO,1,20200507,332
CAISO,1,20200508,500
CAISO,1,20200509,518
CAISO,1,20200510,730
CAISO,1,20200511,578
CAISO,1,20200512,616
CAISO,1,20200513,622
CAISO,1,20200514,633
CAISO,1,20200515,727
CAISO,1,20200516,666
CAISO,1,20200517,642
CAISO,1,20200518,540
CAISO,1,20200519,252
CAISO,1,20200520,234
CAISO,1,20200521,230
CAISO,1,20200522,187
CAISO,1,20200523,178
CAISO,1,20200524,211
CAISO,1,20200601,143
CAISO,1,20200602,164
CAISO,1,20200603,164
CAISO,1,20200604,165
CAISO,1,20200605,209
CAISO,1,20200606,187
CAISO,1,20200607,339
CAISO,1,20200608,503
CAISO,1,20200609,521
CAISO,1,20200610,489
CAISO,1,20200611,461
CAISO,1,20200612,511
CAISO,1,20200613,466
CAISO,1,20200614,460
CAISO,1,20200615,728
CAISO,1,20200616,666
CAISO,1,20200617,643
CAISO,1,20200618,550
CAISO,1,20200619,251
CAISO,1,20200620,235
CAISO,1,20200621,204
CAISO,1,20200622,196
CAISO,1,20200623,187
CAISO,1,20200624,182
CAISO,1,20200701,146
CAISO,1,20200702,142
CAISO,1,20200703,140
CAISO,1,20200704,140
CAISO,1,20200705,141
CAISO,1,20200706,144
CAISO,1,20200707,326
CAISO,1,20200708,512
CAISO,1,20200709,529
CAISO,1,20200710,737
CAISO,1,20200711,469
CAISO,1,20200712,518
CAISO,1,20200713,473
CAISO,1,20200714,447
CAISO,1,20200715,720
CAISO,1,20200716,653
CAISO,1,20200717,629
CAISO,1,20200718,524
CAISO,1,20200719,187
CAISO,1,20200720,167
CAISO,1,20200721,166
CAISO,1,20200722,159
CAISO,1,20200723,153
CAISO,1,20200724,147
CAISO,1,20200801,168
CAISO,1,20200802,166
CAISO,1,20200803,165
CAISO,1,20200804,142
CAISO,1,20200805,143
CAISO,1,20200806,143
CAISO,1,20200807,326
CAISO,1,20200808,489
CAISO,1,20200809,515
CAISO,1,20200810,727
CAISO,1,20200811,568
CAISO,1,20200812,607
CAISO,1,20200813,450
CAISO,1,20200814,622
CAISO,1,20200815,715
CAISO,1,20200816,659
CAISO,1,20200817,636
CAISO,1,20200818,532
CAISO,1,20200819,207
CAISO,1,20200820,192
CAISO,1,20200821,190
CAISO,1,20200822,183
CAISO,1,20200823,175
CAISO,1,20200824,209
CAISO,1,20200901,209
CAISO,1,20200902,207
CAISO,1,20200903,206
CAISO,1,20200904,206
CAISO,1,20200905,207
CAISO,1,20200906,208
CAISO,1,20200907,606
CAISO,1,20200908,484
CAISO,1,20200909,427
CAISO,1,20200910,481
CAISO,1,20200911,452
CAISO,1,20200912,502
CAISO,1,20200913,456
CAISO,1,20200914,446
CAISO,1,20200915,646
CAISO,1,20200916,518
CAISO,1,20200917,611
CAISO,1,20200918,535
CAISO,1,20200919,212
CAISO,1,20200920,224
CAISO,1,20200921,225
CAISO,1,20200922,221
CAISO,1,20200923,215
CAISO,1,20200924,210
CAISO,1,20201001,178
CAISO,1,20201002,176
CAISO,1,20201003,166
CAISO,1,20201004,167
CAISO,1,20201005,163
CAISO,1,20201006,566
CAISO,1,20201007,595
CAISO,1,20201008,483
CAISO,1,20201009,422
CAISO,1,20201010,480
CAISO,1,20201011,452
CAISO,1,20201012,503
CAISO,1,20201013,458
CAISO,1,20201014,449
CAISO,1,20201015,655
CAISO,1,20201016,526
CAISO,1,20201017,620
CAISO,1,20201018,428
CAISO,1,20201019,210
CAISO,1,20201020,241
CAISO,1,20201021,239
CAISO,1,20201022,202
CAISO,1,20201023,192
CAISO,1,20201024,185
CAISO,1,20201101,182
CAISO,1,20201102,170
CAISO,1,20201103,168
CAISO,1,20201104,168
CAISO,1,20201105,168
CAISO,1,20201106,431
CAISO,1,20201107,192
CAISO,1,20201108,243
CAISO,1,20201109,394
CAISO,1,20201110,287
CAISO,1,20201111,304
CAISO,1,20201112,339
CAISO,1,20201113,383
CAISO,1,20201114,310
CAISO,1,20201115,357
CAISO,1,20201116,328
CAISO,1,20201117,349
CAISO,1,20201118,525
CAISO,1,20201119,272
CAISO,1,20201120,177
CAISO,1,20201121,197
CAISO,1,20201122,226
CAISO,1,20201123,219
CAISO,1,20201124,214
CAISO,1,20201201,182
CAISO,1,20201202,177
CAISO,1,20201203,174
CAISO,1,20201204,173
CAISO,1,20201205,173
CAISO,1,20201206,453
CAISO,1,20201207,356
CAISO,1,20201208,316
CAISO,1,20201209,316
CAISO,1,20201210,335
CAISO,1,20201211,351
CAISO,1,20201212,363
CAISO,1,20201213,395
CAISO,1,20201214,315
CAISO,1,20201215,356
CAISO,1,20201216,322
CAISO,1,20201217,325
CAISO,1,20201218,339
CAISO,1,20201219,211
CAISO,1,20201220,184
CAISO,1,20201221,186
CAISO,1,20201222,176
CAISO,1,20201223,168
CAISO,1,20201224,158
CAISO,1,20201301,181
CAISO,1,20201302,178
CAISO,1,20201303,214
CAISO,1,20201304,215
CAISO,1,20201305,189
CAISO,1,20201306,194
CAISO,1,20201307,219
CAISO,1,20201308,302
CAISO,1,20201309,297
CAISO,1,20201310,318
CAISO,1,20201311,336
CAISO,1,20201312,369
CAISO,1,20201313,402
CAISO,1,20201314,334
CAISO,1,20201315,378
CAISO,1,20201316,352
CAISO,1,20201317,371
CAISO,1,20201318,381
CAISO,1,20201319,243
CAISO,1,20201320,221
CAISO,1,20201321,251
CAISO,1,20201322,240
CAISO,1,20201323,231
CAISO,1,20201324,224
CAISO,1,20201401,179
CAISO,1,20201402,176
