load_zone,stage_id,timepoint,load_mw
CAISO,1,20200101,22776.66731
CAISO,1,20200102,21411.86678
CAISO,1,20200103,20440.25363
CAISO,1,20200104,19886.20993
CAISO,1,20200105,19760.89291
CAISO,1,20200106,20048.70182
CAISO,1,20200107,20536.4285
CAISO,1,20200108,20579.93429
CAISO,1,20200109,21287.37419
CAISO,1,20200110,22043.99749
CAISO,1,20200111,22552.95226
CAISO,1,20200112,22737.65995
CAISO,1,20200113,22749.74278
CAISO,1,20200114,22556.04708
CAISO,1,20200115,22336.56725
CAISO,1,20200116,22258.59437
CAISO,1,20200117,23069.69321
CAISO,1,20200118,27169.92644
CAISO,1,20200119,28081.11854
CAISO,1,20200120,27700.76192
CAISO,1,20200121,27167.41022
CAISO,1,20200122,26448.70529
CAISO,1,20200123,24516.53862
CAISO,1,20200124,22336.50891
CAISO,1,20200201,20886.90525
CAISO,1,20200202,19984.34134
CAISO,1,20200203,19525.98429
CAISO,1,20200204,19393.36162
CAISO,1,20200205,19925.17568
CAISO,1,20200206,21589.49054
CAISO,1,20200207,24062.89592
CAISO,1,20200208,25439.03089
CAISO,1,20200209,26569.93259
CAISO,1,20200210,27256.14899
CAISO,1,20200211,27794.69507
CAISO,1,20200212,27806.95687
CAISO,1,20200213,27567.0034
CAISO,1,20200214,27364.12419
CAISO,1,20200215,27266.07075
CAISO,1,20200216,26949.32665
CAISO,1,20200217,27115.53908
CAISO,1,20200218,30652.5171
CAISO,1,20200219,31233.10288
CAISO,1,20200220,30599.68957
CAISO,1,20200221,29707.16063
CAISO,1,20200222,28535.40259
CAISO,1,20200223,26263.4461
CAISO,1,20200224,23940.5618
CAISO,1,20200301,21250.37077
CAISO,1,20200302,20346.56123
CAISO,1,20200303,19853.88519
CAISO,1,20200304,19776.3723
CAISO,1,20200305,20417.21365
CAISO,1,20200306,22046.46208
CAISO,1,20200307,24543.88172
CAISO,1,20200308,26067.77894
CAISO,1,20200309,27253.87167
CAISO,1,20200310,28010.05209
CAISO,1,20200311,28224.73425
CAISO,1,20200312,28165.0712
CAISO,1,20200313,27980.17254
CAISO,1,20200314,27875.04866
CAISO,1,20200315,27506.57755
CAISO,1,20200316,27254.61599
CAISO,1,20200317,27376.55002
CAISO,1,20200318,29359.07992
CAISO,1,20200319,31386.35456
CAISO,1,20200320,30952.66931
CAISO,1,20200321,30134.42875
CAISO,1,20200322,28989.89225
CAISO,1,20200323,26564.66117
CAISO,1,20200324,24030.89813
CAISO,1,20200401,22221.43194
CAISO,1,20200402,21212.91758
CAISO,1,20200403,20754.19006
CAISO,1,20200404,20457.36348
CAISO,1,20200405,20907.91682
CAISO,1,20200406,22686.1702
CAISO,1,20200407,25068.69784
CAISO,1,20200408,26664.4182
CAISO,1,20200409,27469.08737
CAISO,1,20200410,28237.29281
CAISO,1,20200411,29150.90959
CAISO,1,20200412,29722.50782
CAISO,1,20200413,29804.25935
CAISO,1,20200414,30242.3106
CAISO,1,20200415,30182.90723
CAISO,1,20200416,29471.48121
CAISO,1,20200417,29024.15012
CAISO,1,20200418,29224.44674
CAISO,1,20200419,31535.11085
CAISO,1,20200420,31480.21058
CAISO,1,20200421,30829.438
CAISO,1,20200422,28862.91152
CAISO,1,20200423,26430.16382
CAISO,1,20200424,23978.79576
CAISO,1,20200501,21617.36114
CAISO,1,20200502,20942.51426
CAISO,1,20200503,20680.72199
CAISO,1,20200504,20917.55931
CAISO,1,20200505,22479.31723
CAISO,1,20200506,25556.52693
CAISO,1,20200507,27545.18407
CAISO,1,20200508,28245.00212
CAISO,1,20200509,28916.00021
CAISO,1,20200510,29467.883
CAISO,1,20200511,29549.88203
CAISO,1,20200512,29459.24723
CAISO,1,20200513,29333.85962
CAISO,1,20200514,29001.51651
CAISO,1,20200515,28644.1593
CAISO,1,20200516,28314.35908
CAISO,1,20200517,28203.75665
CAISO,1,20200518,28558.13215
CAISO,1,20200519,30233.09336
CAISO,1,20200520,30495.53435
CAISO,1,20200521,29177.42678
CAISO,1,20200522,26868.0493
CAISO,1,20200523,24283.26351
CAISO,1,20200524,22647.18697
CAISO,1,20200601,20618.10835
CAISO,1,20200602,20059.01551
CAISO,1,20200603,19906.02989
CAISO,1,20200604,20413.15945
CAISO,1,20200605,21879.89354
CAISO,1,20200606,24549.7184
CAISO,1,20200607,26320.75696
CAISO,1,20200608,27605.46958
CAISO,1,20200609,28413.76563
CAISO,1,20200610,29159.88843
CAISO,1,20200611,29449.0148
CAISO,1,20200612,29681.88361
CAISO,1,20200613,29952.47375
CAISO,1,20200614,29958.33639
CAISO,1,20200615,29747.35877
CAISO,1,20200616,29059.0971
CAISO,1,20200617,28524.06959
CAISO,1,20200618,28256.93121
CAISO,1,20200619,29855.30709
CAISO,1,20200620,30652.26884
CAISO,1,20200621,29650.64523
CAISO,1,20200622,27218.10568
CAISO,1,20200623,24685.70635
CAISO,1,20200624,22898.12454
CAISO,1,20200701,21447.68532
CAISO,1,20200702,20371.25481
CAISO,1,20200703,19860.11235
CAISO,1,20200704,19883.57711
CAISO,1,20200705,20092.17047
CAISO,1,20200706,20947.74212
CAISO,1,20200707,21353.49902
CAISO,1,20200708,22649.43594
CAISO,1,20200709,23145.49269
CAISO,1,20200710,23555.90722
CAISO,1,20200711,23742.9946
CAISO,1,20200712,23560.56473
CAISO,1,20200713,23555.64959
CAISO,1,20200714,23336.00607
CAISO,1,20200715,23086.25364
CAISO,1,20200716,22832.67806
CAISO,1,20200717,23002.73996
CAISO,1,20200718,23374.36564
CAISO,1,20200719,25359.46929
CAISO,1,20200720,26996.2119
CAISO,1,20200721,26709.88159
CAISO,1,20200722,24999.77808
CAISO,1,20200723,23178.5905
CAISO,1,20200724,21607.33134
CAISO,1,20200801,21390.54348
CAISO,1,20200802,20557.98616
CAISO,1,20200803,20263.16635
CAISO,1,20200804,20264.18253
CAISO,1,20200805,20492.1633
CAISO,1,20200806,20711.01167
CAISO,1,20200807,21124.93169
CAISO,1,20200808,22159.64879
CAISO,1,20200809,22997.53615
CAISO,1,20200810,23675.29283
CAISO,1,20200811,24296.04591
CAISO,1,20200812,24262.59296
CAISO,1,20200813,24306.65655
CAISO,1,20200814,24018.6469
CAISO,1,20200815,23864.81111
CAISO,1,20200816,23953.06614
CAISO,1,20200817,24350.67499
CAISO,1,20200818,24765.15704
CAISO,1,20200819,26261.49394
CAISO,1,20200820,28250.27106
CAISO,1,20200821,27664.96652
CAISO,1,20200822,25726.29567
CAISO,1,20200823,23324.50625
CAISO,1,20200824,21830.79673
CAISO,1,20200901,21945.32136
CAISO,1,20200902,21066.05009
CAISO,1,20200903,20880.25273
CAISO,1,20200904,20804.83894
CAISO,1,20200905,20960.42366
CAISO,1,20200906,21312.42345
CAISO,1,20200907,22451.90063
CAISO,1,20200908,23938.98501
CAISO,1,20200909,24868.54862
CAISO,1,20200910,25661.367
