subproblem_id,balancing_type_horizon,horizon,boundary
1,day,202001,circular
1,day,202002,circular
1,day,202003,circular
1,day,202004,circular
1,day,202005,circular
1,day,202006,circular
1,day,202007,circular
1,day,202008,circular
1,day,202009,circular
1,day,202010,circular
1,day,202011,circular
1,day,202012,circular
1,day,202013,circular
1,day,202014,circular
1,day,202015,circular
1,day,202016,circular
1,day,202017,circular
1,day,202018,circular
1,day,202019,circular
1,day,202020,circular
1,day,202021,circular
1,day,202022,circular
1,day,202023,circular
1,day,202024,circular
1,day,202025,circular
1,day,202026,circular
1,day,202027,circular
1,day,202028,circular
1,day,202029,circular
1,day,202030,circular
1,day,202031,circular
1,day,202032,circular
1,day,202033,circular
1,day,202034,circular
1,day,202035,circular
1,day,202036,circular
1,day,202037,circular
1,day,202101,circular
1,day,202102,circular
1,day,202103,circular
1,day,202104,circular
1,day,202105,circular
1,day,202106,circular
1,day,202107,circular
1,day,202108,circular
1,day,202109,circular
1,day,202110,circular
1,day,202111,circular
1,day,202112,circular
1,day,202113,circular
1,day,202114,circular
1,day,202115,circular
1,day,202116,circular
1,day,202117,circular
1,day,202118,circular
1,day,202119,circular
1,day,202120,circular
1,day,202121,circular
1,day,202122,circular
1,day,202123,circular
1,day,202124,circular
1,day,202125,circular
1,day,202126,circular
1,day,202127,circular
1,day,202128,circular
1,day,202129,circular
1,day,202130,circular
1,day,202131,circular
1,day,202132,circular
1,day,202133,circular
1,day,202134,circular
1,day,202135,circular
1,day,202136,circular
1,day,202137,circular
1,day,202201,circular
1,day,202202,circular
1,day,202203,circular
1,day,202204,circular
1,day,202205,circular
1,day,202206,circular
1,day,202207,circular
1,day,202208,circular
1,day,202209,circular
1,day,202210,circular
1,day,202211,circular
1,day,202212,circular
1,day,202213,circular
1,day,202214,circular
1,day,202215,circular
1,day,202216,circular
1,day,202217,circular
1,day,202218,circular
1,day,202219,circular
1,day,202220,circular
1,day,202221,circular
1,day,202222,circular
1,day,202223,circular
1,day,202224,circular
1,day,202225,circular
1,day,202226,circular
1,day,202227,circular
1,day,202228,circular
1,day,202229,circular
1,day,202230,circular
1,day,202231,circular
1,day,202232,circular
1,day,202233,circular
1,day,202234,circular
1,day,202235,circular
1,day,202236,circular
1,day,202237,circular
1,day,202301,circular
1,day,202302,circular
1,day,202303,circular
1,day,202304,circular
1,day,202305,circular
1,day,202306,circular
1,day,202307,circular
1,day,202308,circular
1,day,202309,circular
1,day,202310,circular
1,day,202311,circular
1,day,202312,circular
1,day,202313,circular
1,day,202314,circular
1,day,202315,circular
1,day,202316,circular
1,day,202317,circular
1,day,202318,circular
1,day,202319,circular
1,day,202320,circular
1,day,202321,circular
1,day,202322,circular
1,day,202323,circular
1,day,202324,circular
1,day,202325,circular
1,day,202326,circular
1,day,202327,circular
1,day,202328,circular
1,day,202329,circular
1,day,202330,circular
1,day,202331,circular
1,day,202332,circular
1,day,202333,circular
1,day,202334,circular
1,day,202335,circular
1,day,202336,circular
1,day,202337,circular
1,day,202401,circular
1,day,202402,circular
1,day,202403,circular
1,day,202404,circular
1,day,202405,circular
1,day,202406,circular
1,day,202407,circular
1,day,202408,circular
1,day,202409,circular
1,day,202410,circular
1,day,202411,circular
1,day,202412,circular
1,day,202413,circular
1,day,202414,circular
1,day,202415,circular
1,day,202416,circular
1,day,202417,circular
1,day,202418,circular
1,day,202419,circular
1,day,202420,circular
1,day,202421,circular
1,day,202422,circular
1,day,202423,circular
1,day,202424,circular
1,day,202425,circular
1,day,202426,circular
1,day,202427,circular
1,day,202428,circular
1,day,202429,circular
1,day,202430,circular
1,day,202431,circular
1,day,202432,circular
1,day,202433,circular
1,day,202434,circular
1,day,202435,circular
1,day,202436,circular
1,day,202437,circular
1,day,202601,circular
1,day,202602,circular
1,day,202603,circular
1,day,202604,circular
1,day,202605,circular
1,day,202606,circular
1,day,202607,circular
1,day,202608,circular
1,day,202609,circular
1,day,202610,circular
1,day,202611,circular
1,day,202612,circular
1,day,202613,circular
1,day,202614,circular
1,day,202615,circular
1,day,202616,circular
1,day,202617,circular
1,day,202618,circular
1,day,202619,circular
1,day,202620,circular
1,day,202621,circular
1,day,202622,circular
1,day,202623,circular
1,day,202624,circular
1,day,202625,circular
1,day,202626,circular
1,day,202627,circular
1,day,202628,circular
1,day,202629,circular
1,day,202630,circular
1,day,202631,circular
1,day,202632,circular
1,day,202633,circular
1,day,202634,circular
1,day,202635,circular
1,day,202636,circular
1,day,202637,circular
1,day,203001,circular
1,day,203002,circular
1,day,203003,circular
1,day,203004,circular
1,day,203005,circular
1,day,203006,circular
1,day,203007,circular
1,day,203008,circular
1,day,203009,circular
1,day,203010,circular
1,day,203011,circular
1,day,203012,circular
1,day,203013,circular
1,day,203014,circular
1,day,203015,circular
1,day,203016,circular
1,day,203017,circular
1,day,203018,circular
1,day,203019,circular
1,day,203020,circular
1,day,203021,circular
1,day,203022,circular
1,day,203023,circular
1,day,203024,circular
1,day,203025,circular
1,day,203026,circular
1,day,203027,circular
1,day,203028,circular
1,day,203029,circular
1,day,203030,circular
1,day,203031,circular
1,day,203032,circular
1,day,203033,circular
1,day,203034,circular
1,day,203035,circular
1,day,203036,circular
1,day,203037,circular
1,day,204501,circular
1,day,204502,circular
1,day,204503,circular
1,day,204504,circular
1,day,204505,circular
1,day,204506,circular
1,day,204507,circular
1,day,204508,circular
1,day,204509,circular
1,day,204510,circular
1,day,204511,circular
1,day,204512,circular
1,day,204513,circular
1,day,204514,circular
1,day,204515,circular
1,day,204516,circular
1,day,204517,circular
1,day,204518,circular
1,day,204519,circular
1,day,204520,circular
1,day,204521,circular
1,day,204522,circular
1,day,204523,circular
1,day,204524,circular
1,day,204525,circular
1,day,204526,circular
1,day,204527,circular
1,day,204528,circular
1,day,204529,circular
1,day,204530,circular
1,day,204531,circular
1,day,204532,circular
1,day,204533,circular
1,day,204534,circular
1,day,204535,circular
1,day,204536,circular
1,day,204537,circular
