transmission_line,period,min_mw,max_mw
SW_to_CAISO,2020,-10463,10901
NW_to_CAISO,2020,-3720,4950
LDWP_to_CAISO,2020,-2556,4056
NW_to_LDWP,2020,-4500,5620
SW_to_LDWP,2020,0,250
NW_to_SW,2020,-2175,2487
IID_to_CAISO,2020,-1870,1925
BANC_to_CAISO,2020,-20800,20800
IID_to_LDWP,2020,-500,500
SW_to_IID,2020,-625,625
IID_to_BANC,2020,0,0
NW_to_BANC,2020,-1225,1660
SW_to_BANC,2020,0,0
NW_to_CAISO_Unspecified,2020,-99999,99999
SW_to_CAISO,2021,-10463,10901
NW_to_CAISO,2021,-3720,4950
LDWP_to_CAISO,2021,-2556,4056
NW_to_LDWP,2021,-4500,5620
SW_to_LDWP,2021,0,250
NW_to_SW,2021,-2175,2487
IID_to_CAISO,2021,-1870,1925
BANC_to_CAISO,2021,-20800,20800
IID_to_LDWP,2021,-500,500
SW_to_IID,2021,-625,625
IID_to_BANC,2021,0,0
NW_to_BANC,2021,-1225,1660
SW_to_BANC,2021,0,0
NW_to_CAISO_Unspecified,2021,-99999,99999
SW_to_CAISO,2022,-10463,10901
NW_to_CAISO,2022,-3720,4950
LDWP_to_CAISO,2022,-2556,4056
NW_to_LDWP,2022,-4500,5620
SW_to_LDWP,2022,0,250
NW_to_SW,2022,-2175,2487
IID_to_CAISO,2022,-1870,1925
BANC_to_CAISO,2022,-20800,20800
IID_to_LDWP,2022,-500,500
SW_to_IID,2022,-625,625
IID_to_BANC,2022,0,0
NW_to_BANC,2022,-1225,1660
SW_to_BANC,2022,0,0
NW_to_CAISO_Unspecified,2022,-99999,99999
SW_to_CAISO,2023,-10463,10901
NW_to_CAISO,2023,-3720,4950
LDWP_to_CAISO,2023,-2556,4056
NW_to_LDWP,2023,-4500,5620
SW_to_LDWP,2023,0,250
NW_to_SW,2023,-2175,2487
IID_to_CAISO,2023,-1870,1925
BANC_to_CAISO,2023,-20800,20800
IID_to_LDWP,2023,-500,500
SW_to_IID,2023,-625,625
IID_to_BANC,2023,0,0
NW_to_BANC,2023,-1225,1660
SW_to_BANC,2023,0,0
NW_to_CAISO_Unspecified,2023,-99999,99999
SW_to_CAISO,2024,-10463,10901
NW_to_CAISO,2024,-3720,4950
LDWP_to_CAISO,2024,-2556,4056
NW_to_LDWP,2024,-4500,5620
SW_to_LDWP,2024,0,250
NW_to_SW,2024,-2175,2487
IID_to_CAISO,2024,-1870,1925
BANC_to_CAISO,2024,-20800,20800
IID_to_LDWP,2024,-500,500
SW_to_IID,2024,-625,625
IID_to_BANC,2024,0,0
NW_to_BANC,2024,-1225,1660
SW_to_BANC,2024,0,0
NW_to_CAISO_Unspecified,2024,-99999,99999
SW_to_CAISO,2025,-10463,10901
NW_to_CAISO,2025,-3720,4950
LDWP_to_CAISO,2025,-2556,4056
NW_to_LDWP,2025,-4500,5620
SW_to_LDWP,2025,0,250
NW_to_SW,2025,-2175,2487
IID_to_CAISO,2025,-1870,1925
BANC_to_CAISO,2025,-20800,20800
IID_to_LDWP,2025,-500,500
SW_to_IID,2025,-625,625
IID_to_BANC,2025,0,0
NW_to_BANC,2025,-1225,1660
SW_to_BANC,2025,0,0
NW_to_CAISO_Unspecified,2025,-99999,99999
SW_to_CAISO,2026,-10463,10901
NW_to_CAISO,2026,-3720,4950
LDWP_to_CAISO,2026,-2556,4056
NW_to_LDWP,2026,-4500,5620
SW_to_LDWP,2026,0,250
NW_to_SW,2026,-2175,2487
IID_to_CAISO,2026,-1870,1925
BANC_to_CAISO,2026,-20800,20800
IID_to_LDWP,2026,-500,500
SW_to_IID,2026,-625,625
IID_to_BANC,2026,0,0
NW_to_BANC,2026,-1225,1660
SW_to_BANC,2026,0,0
NW_to_CAISO_Unspecified,2026,-99999,99999
SW_to_CAISO,2027,-10463,10901
NW_to_CAISO,2027,-3720,4950
LDWP_to_CAISO,2027,-2556,4056
NW_to_LDWP,2027,-4500,5620
SW_to_LDWP,2027,0,250
NW_to_SW,2027,-2175,2487
IID_to_CAISO,2027,-1870,1925
BANC_to_CAISO,2027,-20800,20800
IID_to_LDWP,2027,-500,500
SW_to_IID,2027,-625,625
IID_to_BANC,2027,0,0
NW_to_BANC,2027,-1225,1660
SW_to_BANC,2027,0,0
NW_to_CAISO_Unspecified,2027,-99999,99999
SW_to_CAISO,2028,-10463,10901
NW_to_CAISO,2028,-3720,4950
LDWP_to_CAISO,2028,-2556,4056
