transmission_line,period,hurdle_rate_positive_direction_per_mwh,hurdle_rate_negative_direction_per_mwh
SW_to_CAISO,2020,13.87406,10.38849
SW_to_CAISO,2021,14.19581,10.38849
SW_to_CAISO,2022,14.5538,10.38849
SW_to_CAISO,2023,14.92576,10.38849
SW_to_CAISO,2024,15.31884,10.38849
SW_to_CAISO,2026,16.16114,10.38849
SW_to_CAISO,2030,18.15355,10.38849
SW_to_CAISO,2045,30.49749,10.38849
NW_to_CAISO,2020,4.911793,10.38849
NW_to_CAISO,2021,4.911793,10.38849
NW_to_CAISO,2022,4.911793,10.38849
NW_to_CAISO,2023,4.911793,10.38849
NW_to_CAISO,2024,4.911793,10.38849
NW_to_CAISO,2026,4.911793,10.38849
NW_to_CAISO,2030,4.911793,10.38849
NW_to_CAISO,2045,4.911793,10.38849
LDWP_to_CAISO,2020,5.591592,10.38849
LDWP_to_CAISO,2021,5.591592,10.38849
LDWP_to_CAISO,2022,5.591592,10.38849
LDWP_to_CAISO,2023,5.591592,10.38849
LDWP_to_CAISO,2024,5.591592,10.38849
LDWP_to_CAISO,2026,5.591592,10.38849
LDWP_to_CAISO,2030,5.591592,10.38849
LDWP_to_CAISO,2045,5.591592,10.38849
NW_to_LDWP,2020,11.43827,5.591592
NW_to_LDWP,2021,11.76002,5.591592
NW_to_LDWP,2022,12.11801,5.591592
NW_to_LDWP,2023,12.48997,5.591592
NW_to_LDWP,2024,12.88305,5.591592
NW_to_LDWP,2026,13.72535,5.591592
NW_to_LDWP,2030,15.71776,5.591592
NW_to_LDWP,2045,28.0617,5.591592
SW_to_LDWP,2020,13.87406,5.591592
SW_to_LDWP,2021,14.19581,5.591592
SW_to_LDWP,2022,14.5538,5.591592
SW_to_LDWP,2023,14.92576,5.591592
SW_to_LDWP,2024,15.31884,5.591592
SW_to_LDWP,2026,16.16114,5.591592
SW_to_LDWP,2030,18.15355,5.591592
SW_to_LDWP,2045,30.49749,5.591592
NW_to_SW,2020,4.911793,7.347582
NW_to_SW,2021,4.911793,7.347582
NW_to_SW,2022,4.911793,7.347582
NW_to_SW,2023,4.911793,7.347582
NW_to_SW,2024,4.911793,7.347582
NW_to_SW,2026,4.911793,7.347582
NW_to_SW,2030,4.911793,7.347582
NW_to_SW,2045,4.911793,7.347582
IID_to_CAISO,2020,3.178782,10.38849
IID_to_CAISO,2021,3.178782,10.38849
IID_to_CAISO,2022,3.178782,10.38849
IID_to_CAISO,2023,3.178782,10.38849
IID_to_CAISO,2024,3.178782,10.38849
IID_to_CAISO,2026,3.178782,10.38849
IID_to_CAISO,2030,3.178782,10.38849
IID_to_CAISO,2045,3.178782,10.38849
BANC_to_CAISO,2020,2.422385,10.38849
BANC_to_CAISO,2021,2.422385,10.38849
BANC_to_CAISO,2022,2.422385,10.38849
BANC_to_CAISO,2023,2.422385,10.38849
BANC_to_CAISO,2024,2.422385,10.38849
BANC_to_CAISO,2026,2.422385,10.38849
BANC_to_CAISO,2030,2.422385,10.38849
BANC_to_CAISO,2045,2.422385,10.38849
IID_to_LDWP,2020,3.178782,5.591592
IID_to_LDWP,2021,3.178782,5.591592
IID_to_LDWP,2022,3.178782,5.591592
IID_to_LDWP,2023,3.178782,5.591592
IID_to_LDWP,2024,3.178782,5.591592
IID_to_LDWP,2026,3.178782,5.591592
IID_to_LDWP,2030,3.178782,5.591592
IID_to_LDWP,2045,3.178782,5.591592
SW_to_IID,2020,13.87406,3.178782
SW_to_IID,2021,14.19581,3.178782
SW_to_IID,2022,14.5538,3.178782
SW_to_IID,2023,14.92576,3.178782
SW_to_IID,2024,15.31884,3.178782
SW_to_IID,2026,16.16114,3.178782
SW_to_IID,2030,18.15355,3.178782
SW_to_IID,2045,30.49749,3.178782
IID_to_BANC,2020,3.178782,2.422385
IID_to_BANC,2021,3.178782,2.422385
IID_to_BANC,2022,3.178782,2.422385
IID_to_BANC,2023,3.178782,2.422385
IID_to_BANC,2024,3.178782,2.422385
IID_to_BANC,2026,3.178782,2.422385
IID_to_BANC,2030,3.178782,2.422385
IID_to_BANC,2045,3.178782,2.422385
NW_to_BANC,2020,11.43827,2.422385
NW_to_BANC,2021,11.76002,2.422385
NW_to_BANC,2022,12.11801,2.422385
NW_to_BANC,2023,12.48997,2.422385
NW_to_BANC,2024,12.88305,2.422385
NW_to_BANC,2026,13.72535,2.422385
NW_to_BANC,2030,15.71776,2.422385
NW_to_BANC,2045,28.0617,2.422385
SW_to_BANC,2020,13.87406,2.422385
SW_to_BANC,2021,14.19581,2.422385
SW_to_BANC,2022,14.5538,2.422385
SW_to_BANC,2023,14.92576,2.422385
SW_to_BANC,2024,15.31884,2.422385
SW_to_BANC,2026,16.16114,2.422385
SW_to_BANC,2030,18.15355,2.422385
SW_to_BANC,2045,30.49749,2.422385
NW_to_CAISO_Unspecified,2020,6.526478,0
NW_to_CAISO_Unspecified,2021,6.848226,0
NW_to_CAISO_Unspecified,2022,7.206217,0
NW_to_CAISO_Unspecified,2023,7.578182,0
NW_to_CAISO_Unspecified,2024,7.971262,0
NW_to_CAISO_Unspecified,2026,8.813556,0
NW_to_CAISO_Unspecified,2030,10.80597,0
NW_to_CAISO_Unspecified,2045,23.14991,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
