transmission_simultaneous_flow_limit,period,max_flow_mw
CA_to_NW,2020,3591.962
CA_to_NW,2021,3591.962
CA_to_NW,2022,3591.962
CA_to_NW,2023,3591.962
CA_to_NW,2024,3591.962
CA_to_NW,2026,3591.962
CA_to_NW,2030,3591.962
CA_to_NW,2045,3591.962
NW_to_CA,2020,9269.233
NW_to_CA,2021,9269.233
NW_to_CA,2022,9269.233
NW_to_CA,2023,9269.233
NW_to_CA,2024,9269.233
NW_to_CA,2026,9269.233
NW_to_CA,2030,9269.233
NW_to_CA,2045,9269.233
CAISO_Export_Limit,2020,2000
CAISO_Export_Limit,2021,2000
CAISO_Export_Limit,2022,3000
CAISO_Export_Limit,2023,3000
CAISO_Export_Limit,2024,3000
CAISO_Export_Limit,2026,4000
CAISO_Export_Limit,2030,5000
CAISO_Export_Limit,2045,5000
CAISO_Import_Limit,2020,9728
CAISO_Import_Limit,2021,9728
CAISO_Import_Limit,2022,10208
CAISO_Import_Limit,2023,10208
CAISO_Import_Limit,2024,10208
CAISO_Import_Limit,2026,10208
CAISO_Import_Limit,2030,10208
CAISO_Import_Limit,2045,10208
