from,to,percentile,i
AVA,BPAT,0,-1573.0
AVA,BPAT,1,-1181.0
AVA,BPAT,3,-1068.0
AVA,BPAT,5,-1003.0
AVA,BPAT,50,-579.0
AVA,BPAT,95,-146.0
AVA,BPAT,97,-72.0
AVA,BPAT,99,59.0
AVA,BPAT,100,544.0
BPAT,AVA,0,-347.0
BPAT,AVA,1,55.0
BPAT,AVA,3,160.0
BPAT,AVA,5,220.0
BPAT,AVA,50,694.0
BPAT,AVA,95,1158.0
BPAT,AVA,97,1225.0
BPAT,AVA,99,1349.0
BPAT,AVA,100,1729.0
AVA,CHPD,0,-39.0
AVA,CHPD,1,-27.0
AVA,CHPD,3,-24.0
AVA,CHPD,5,-23.0
AVA,CHPD,50,-8.0
AVA,CHPD,95,12.0
AVA,CHPD,97,15.0
AVA,CHPD,99,20.0
AVA,CHPD,100,67.0
CHPD,AVA,0,-67.0
CHPD,AVA,1,-20.0
CHPD,AVA,3,-15.0
CHPD,AVA,5,-12.0
CHPD,AVA,50,8.0
CHPD,AVA,95,23.0
CHPD,AVA,97,24.0
CHPD,AVA,99,27.0
CHPD,AVA,100,39.0
AVA,GCPD,0,-177.0
AVA,GCPD,1,-120.0
AVA,GCPD,3,-94.0
AVA,GCPD,5,-73.0
AVA,GCPD,50,7.0
AVA,GCPD,95,130.0
AVA,GCPD,97,159.0
AVA,GCPD,99,211.0
AVA,GCPD,100,330.0
GCPD,AVA,0,-330.0
GCPD,AVA,1,-210.0
GCPD,AVA,3,-158.0
GCPD,AVA,5,-130.0
GCPD,AVA,50,-7.0
GCPD,AVA,95,73.0
GCPD,AVA,97,94.0
GCPD,AVA,99,120.0
GCPD,AVA,100,177.0
AVA,IPCO,0,-317.0
AVA,IPCO,1,-183.0
AVA,IPCO,3,-127.0
AVA,IPCO,5,-99.0
AVA,IPCO,50,59.0
AVA,IPCO,95,243.0
AVA,IPCO,97,261.0
AVA,IPCO,99,289.0
AVA,IPCO,100,332.0
IPCO,AVA,0,-332.0
IPCO,AVA,1,-289.0
IPCO,AVA,3,-261.0
IPCO,AVA,5,-243.0
IPCO,AVA,50,-60.0
IPCO,AVA,95,99.0
IPCO,AVA,97,126.0
IPCO,AVA,99,182.0
IPCO,AVA,100,317.0
AVA,NWMT,0,-275.0
AVA,NWMT,1,-169.0
AVA,NWMT,3,-151.0
AVA,NWMT,5,-140.0
AVA,NWMT,50,-54.0
AVA,NWMT,95,49.0
AVA,NWMT,97,64.0
AVA,NWMT,99,89.0
AVA,NWMT,100,257.0
NWMT,AVA,0,-257.0
NWMT,AVA,1,-89.0
NWMT,AVA,3,-64.0
NWMT,AVA,5,-49.0
NWMT,AVA,50,54.0
NWMT,AVA,95,140.0
NWMT,AVA,97,151.0
NWMT,AVA,99,169.0
NWMT,AVA,100,275.0
AVA,PACW,0,-466.0
AVA,PACW,1,-286.0
AVA,PACW,3,-217.0
AVA,PACW,5,-177.0
AVA,PACW,50,11.0
AVA,PACW,95,142.0
AVA,PACW,97,175.0
AVA,PACW,99,235.0
AVA,PACW,100,356.0
PACW,AVA,0,-356.0
PACW,AVA,1,-235.0
PACW,AVA,3,-175.0
PACW,AVA,5,-142.0
PACW,AVA,50,-11.0
PACW,AVA,95,177.0
PACW,AVA,97,217.0
PACW,AVA,99,286.0
PACW,AVA,100,466.0
AZPS,CISO,0,-476.0
AZPS,CISO,1,0.0
AZPS,CISO,3,208.0
AZPS,CISO,5,301.0
AZPS,CISO,50,927.0
AZPS,CISO,95,1483.0
AZPS,CISO,97,1560.0
AZPS,CISO,99,1707.0
AZPS,CISO,100,2154.0
CISO,AZPS,0,-2672.0
CISO,AZPS,1,-1734.0
CISO,AZPS,3,-1572.0
CISO,AZPS,5,-1491.0
CISO,AZPS,50,-928.0
CISO,AZPS,95,-307.0
CISO,AZPS,97,-217.0
CISO,AZPS,99,-24.0
CISO,AZPS,100,476.0
AZPS,IID,0,-124.0
AZPS,IID,1,-85.0
AZPS,IID,3,-71.0
AZPS,IID,5,-64.0
AZPS,IID,50,-21.0
AZPS,IID,95,20.0
AZPS,IID,97,29.0
AZPS,IID,99,45.0
AZPS,IID,100,91.0
IID,AZPS,0,-91.0
IID,AZPS,1,-44.0
IID,AZPS,3,-29.0
IID,AZPS,5,-20.0
IID,AZPS,50,21.0
IID,AZPS,95,65.0
IID,AZPS,97,75.0
IID,AZPS,99,101.0
IID,AZPS,100,626.0
AZPS,LDWP,0,-248.0
AZPS,LDWP,1,0.0
AZPS,LDWP,3,84.0
AZPS,LDWP,5,154.0
AZPS,LDWP,50,530.0
AZPS,LDWP,95,969.0
AZPS,LDWP,97,1028.0
AZPS,LDWP,99,1124.0
AZPS,LDWP,100,1603.0
LDWP,AZPS,0,-1452.0
LDWP,AZPS,1,-1118.0
LDWP,AZPS,3,-1010.0
LDWP,AZPS,5,-948.0
LDWP,AZPS,50,-493.0
LDWP,AZPS,95,0.0
LDWP,AZPS,97,0.0
LDWP,AZPS,99,0.0
LDWP,AZPS,100,248.0
AZPS,PACE,0,-964.0
AZPS,PACE,1,-720.0
AZPS,PACE,3,-636.0
AZPS,PACE,5,-573.0
AZPS,PACE,50,-164.0
AZPS,PACE,95,251.0
AZPS,PACE,97,308.0
AZPS,PACE,99,440.0
AZPS,PACE,100,717.0
PACE,AZPS,0,-697.0
PACE,AZPS,1,-441.0
PACE,AZPS,3,-309.0
