project,variable_generator_profile_scenario_id,stage_id,timepoint,cap_factor
Solar_new_z2,1,1,20200101,0
Solar_new_z2,1,1,20200102,0
Solar_new_z2,1,1,20200103,0
Solar_new_z2,1,1,20200104,0
Solar_new_z2,1,1,20200105,0
Solar_new_z2,1,1,20200106,0
Solar_new_z2,1,1,20200107,0
Solar_new_z2,1,1,20200108,0.02
Solar_new_z2,1,1,20200109,0.24
Solar_new_z2,1,1,20200110,0.428
Solar_new_z2,1,1,20200111,0.571
Solar_new_z2,1,1,20200112,0.655
Solar_new_z2,1,1,20200113,0.695
Solar_new_z2,1,1,20200114,0.678
Solar_new_z2,1,1,20200115,0.595
Solar_new_z2,1,1,20200116,0.449
Solar_new_z2,1,1,20200117,0.219
Solar_new_z2,1,1,20200118,0.004
Solar_new_z2,1,1,20200119,0
Solar_new_z2,1,1,20200120,0
Solar_new_z2,1,1,20200121,0
Solar_new_z2,1,1,20200122,0
Solar_new_z2,1,1,20200123,0
Solar_new_z2,1,1,20200124,0
Solar_new_z2,1,1,20200201,0
Solar_new_z2,1,1,20200202,0
Solar_new_z2,1,1,20200203,0
Solar_new_z2,1,1,20200204,0
Solar_new_z2,1,1,20200205,0
Solar_new_z2,1,1,20200206,0
Solar_new_z2,1,1,20200207,0
Solar_new_z2,1,1,20200208,0.016
Solar_new_z2,1,1,20200209,0.232
Solar_new_z2,1,1,20200210,0.412
Solar_new_z2,1,1,20200211,0.554
Solar_new_z2,1,1,20200212,0.651
Solar_new_z2,1,1,20200213,0.687
Solar_new_z2,1,1,20200214,0.657
Solar_new_z2,1,1,20200215,0.593
Solar_new_z2,1,1,20200216,0.433
Solar_new_z2,1,1,20200217,0.213
Solar_new_z2,1,1,20200218,0.004
Solar_new_z2,1,1,20200219,0
Solar_new_z2,1,1,20200220,0
Solar_new_z2,1,1,20200221,0
Solar_new_z2,1,1,20200222,0
Solar_new_z2,1,1,20200223,0
Solar_new_z2,1,1,20200224,0
Solar_new_z2,1,1,20250101,0
Solar_new_z2,1,1,20250102,0
Solar_new_z2,1,1,20250103,0
Solar_new_z2,1,1,20250104,0
Solar_new_z2,1,1,20250105,0
Solar_new_z2,1,1,20250106,0
Solar_new_z2,1,1,20250107,0
Solar_new_z2,1,1,20250108,0.099
Solar_new_z2,1,1,20250109,0.273
Solar_new_z2,1,1,20250110,0.44
Solar_new_z2,1,1,20250111,0.567
Solar_new_z2,1,1,20250112,0.64
Solar_new_z2,1,1,20250113,0.675
Solar_new_z2,1,1,20250114,0.654
Solar_new_z2,1,1,20250115,0.599
Solar_new_z2,1,1,20250116,0.473
Solar_new_z2,1,1,20250117,0.265
Solar_new_z2,1,1,20250118,0.019
Solar_new_z2,1,1,20250119,0
Solar_new_z2,1,1,20250120,0
Solar_new_z2,1,1,20250121,0
Solar_new_z2,1,1,20250122,0
Solar_new_z2,1,1,20250123,0
Solar_new_z2,1,1,20250124,0
Solar_new_z2,1,1,20250201,0
Solar_new_z2,1,1,20250202,0
Solar_new_z2,1,1,20250203,0
Solar_new_z2,1,1,20250204,0
Solar_new_z2,1,1,20250205,0
Solar_new_z2,1,1,20250206,0
Solar_new_z2,1,1,20250207,0
Solar_new_z2,1,1,20250208,0.1
Solar_new_z2,1,1,20250209,0.268
Solar_new_z2,1,1,20250210,0.425
Solar_new_z2,1,1,20250211,0.53
Solar_new_z2,1,1,20250212,0.607
Solar_new_z2,1,1,20250213,0.642
Solar_new_z2,1,1,20250214,0.584
Solar_new_z2,1,1,20250215,0.475
Solar_new_z2,1,1,20250216,0.345
Solar_new_z2,1,1,20250217,0.172
Solar_new_z2,1,1,20250218,0.01
Solar_new_z2,1,1,20250219,0
Solar_new_z2,1,1,20250220,0
Solar_new_z2,1,1,20250221,0
Solar_new_z2,1,1,20250222,0
Solar_new_z2,1,1,20250223,0
Solar_new_z2,1,1,20250224,0
