project,variable_generator_profile_scenario_id,stage_id,timepoint,cap_factor
Wind_z1,1,1,20200101,0.6086
Wind_z1,1,1,20200102,0.517
Wind_z1,1,1,20200103,0.517
Wind_z1,1,1,20200104,0.517
Wind_z1,1,1,20200105,0.517
Wind_z1,1,1,20200106,0.6086
Wind_z1,1,1,20200107,0.6086
Wind_z1,1,1,20200108,0.6086
Wind_z1,1,1,20200109,0.6086
Wind_z1,1,1,20200110,0.4263
Wind_z1,1,1,20200111,0.2724
Wind_z1,1,1,20200112,0.3445
Wind_z1,1,1,20200113,0.517
Wind_z1,1,1,20200114,0.4263
Wind_z1,1,1,20200115,0.3445
Wind_z1,1,1,20200116,0.4263
Wind_z1,1,1,20200117,0.517
Wind_z1,1,1,20200118,0.517
Wind_z1,1,1,20200119,0.517
Wind_z1,1,1,20200120,0.7002
Wind_z1,1,1,20200121,0.7801
Wind_z1,1,1,20200122,0.7801
Wind_z1,1,1,20200123,0.7801
Wind_z1,1,1,20200124,0.7002
Wind_z1,1,1,20200201,0.7002
Wind_z1,1,1,20200202,0.6086
Wind_z1,1,1,20200203,0.517
Wind_z1,1,1,20200204,0.517
Wind_z1,1,1,20200205,0.517
Wind_z1,1,1,20200206,0.4263
Wind_z1,1,1,20200207,0.4263
Wind_z1,1,1,20200208,0.4263
Wind_z1,1,1,20200209,0.4263
Wind_z1,1,1,20200210,0.2724
Wind_z1,1,1,20200211,0.1543
Wind_z1,1,1,20200212,0.1543
Wind_z1,1,1,20200213,0.1073
Wind_z1,1,1,20200214,0.0686
Wind_z1,1,1,20200215,0.0382
Wind_z1,1,1,20200216,0.0162
Wind_z1,1,1,20200217,0.0382
Wind_z1,1,1,20200218,0.0686
Wind_z1,1,1,20200219,0.1543
Wind_z1,1,1,20200220,0.2724
Wind_z1,1,1,20200221,0.4263
Wind_z1,1,1,20200222,0.517
Wind_z1,1,1,20200223,0.517
Wind_z1,1,1,20200224,0.517
Wind_z1,1,1,20250101,0.6086
Wind_z1,1,1,20250102,0.517
Wind_z1,1,1,20250103,0.517
Wind_z1,1,1,20250104,0.517
Wind_z1,1,1,20250105,0.517
Wind_z1,1,1,20250106,0.6086
Wind_z1,1,1,20250107,0.6086
Wind_z1,1,1,20250108,0.6086
Wind_z1,1,1,20250109,0.6086
Wind_z1,1,1,20250110,0.4263
Wind_z1,1,1,20250111,0.2724
Wind_z1,1,1,20250112,0.3445
Wind_z1,1,1,20250113,0.517
Wind_z1,1,1,20250114,0.4263
Wind_z1,1,1,20250115,0.3445
Wind_z1,1,1,20250116,0.4263
Wind_z1,1,1,20250117,0.517
Wind_z1,1,1,20250118,0.517
Wind_z1,1,1,20250119,0.517
Wind_z1,1,1,20250120,0.7002
Wind_z1,1,1,20250121,0.7801
Wind_z1,1,1,20250122,0.7801
Wind_z1,1,1,20250123,0.7801
Wind_z1,1,1,20250124,0.7002
Wind_z1,1,1,20250201,0.7002
Wind_z1,1,1,20250202,0.6086
Wind_z1,1,1,20250203,0.517
Wind_z1,1,1,20250204,0.517
Wind_z1,1,1,20250205,0.517
Wind_z1,1,1,20250206,0.4263
Wind_z1,1,1,20250207,0.4263
Wind_z1,1,1,20250208,0.4263
Wind_z1,1,1,20250209,0.4263
Wind_z1,1,1,20250210,0.2724
Wind_z1,1,1,20250211,0.1543
Wind_z1,1,1,20250212,0.1543
Wind_z1,1,1,20250213,0.1073
Wind_z1,1,1,20250214,0.0686
Wind_z1,1,1,20250215,0.0382
Wind_z1,1,1,20250216,0.0162
Wind_z1,1,1,20250217,0.0382
Wind_z1,1,1,20250218,0.0686
Wind_z1,1,1,20250219,0.1543
Wind_z1,1,1,20250220,0.2724
Wind_z1,1,1,20250221,0.4263
Wind_z1,1,1,20250222,0.517
Wind_z1,1,1,20250223,0.517
Wind_z1,1,1,20250224,0.517
