optional_feature_or_subscenarios,PC_Base,PC_2node,PC_Base_w_High_Load,PC_Base_1subproblem,CE_Base,CE_2node,CE_Base_w_RPS,CE_2node_w_RPS
of_fuels,1,1,1,1,1,1,1,1
of_multi_stage,,,,,,,,
of_transmission,,1,0,0,0,1,0,1
of_transmission_hurdle_rates,,0,0,0,0,0,0,0
of_simultaneous_flow_limits,,0,0,0,0,0,0,0
of_lf_reserves_up,,0,0,0,0,0,0,0
of_lf_reserves_down,,0,0,0,0,0,0,0
of_regulation_up,,0,0,0,0,0,0,0
of_regulation_down,,0,0,0,0,0,0,0
of_frequency_response,,0,0,0,0,0,0,0
of_spinning_reserves,,0,0,0,0,0,0,0
of_rps,,0,0,0,0,0,1,1
of_carbon_cap,,0,0,0,0,0,0,0
of_track_carbon_imports,,0,0,0,0,0,0,0
of_prm,,0,0,0,0,0,0,0
of_elcc_surface,,0,0,0,0,0,0,0
of_local_capacity,,0,0,0,0,0,0,0
of_tuning,,0,0,0,0,0,0,0
temporal_scenario_id,1,1,1,3,2,2,2,2
load_zone_scenario_id,1,2,1,1,1,2,1,2
lf_reserves_up_ba_scenario_id,,,,,,,,
lf_reserves_down_ba_scenario_id,,,,,,,,
regulation_up_ba_scenario_id,,,,,,,,
regulation_down_ba_scenario_id,,,,,,,,
frequency_response_ba_scenario_id,,,,,,,,
spinning_reserves_ba_scenario_id,,,,,,,,
rps_zone_scenario_id,,,,,,,1,2
carbon_cap_zone_scenario_id,,,,,,,,
prm_zone_scenario_id,,,,,,,,
local_capacity_zone_scenario_id,,,,,,,,
project_portfolio_scenario_id,1,3,1,1,2,4,2,4
project_operational_chars_scenario_id,1,1,1,1,1,1,1,1
project_availability_scenario_id,1,1,1,1,1,1,1,1
fuel_scenario_id,1,1,1,1,1,1,1,1
project_load_zone_scenario_id,1,1,1,1,1,1,1,1
project_lf_reserves_up_ba_scenario_id,,,,,,,,
project_lf_reserves_down_ba_scenario_id,,,,,,,,
project_regulation_up_ba_scenario_id,,,,,,,,
project_regulation_down_ba_scenario_id,,,,,,,,
project_frequency_response_ba_scenario_id,,,,,,,,
project_spinning_reserves_ba_scenario_id,,,,,,,,
project_rps_zone_scenario_id,,,,,,,1,1
project_carbon_cap_zone_scenario_id,,,,,,,,
project_prm_zone_scenario_id,,,,,,,,
project_elcc_chars_scenario_id,,,,,,,,
prm_energy_only_scenario_id,,,,,,,,
project_local_capacity_zone_scenario_id,,,,,,,,
project_local_capacity_chars_scenario_id,,,,,,,,
project_existing_capacity_scenario_id,1,1,1,1,1,1,1,1
project_existing_fixed_cost_scenario_id,1,1,1,1,1,1,1,1
fuel_price_scenario_id,1,1,1,1,1,1,1,1
project_new_cost_scenario_id,,,,,1,1,1,1
project_new_potential_scenario_id,,,,,1,1,1,1
project_new_binary_build_size_scenario_id,,,,,,,,
transmission_portfolio_scenario_id,,1,,,,1,,1
transmission_load_zone_scenario_id,,1,,,,1,,1
transmission_existing_capacity_scenario_id,,1,,,,1,,1
transmission_operational_chars_scenario_id,,1,,,,1,,1
transmission_hurdle_rate_scenario_id,,,,,,,,
transmission_carbon_cap_zone_scenario_id,,,,,,,,
transmission_simultaneous_flow_limit_scenario_id,,,,,,,,
transmission_simultaneous_flow_limit_line_group_scenario_id,,,,,,,,
load_scenario_id,1,1,2,1,1,1,1,1
lf_reserves_up_scenario_id,,,,,,,,
lf_reserves_down_scenario_id,,,,,,,,
regulation_up_scenario_id,,,,,,,,
regulation_down_scenario_id,,,,,,,,
frequency_response_scenario_id,,,,,,,,
spinning_reserves_scenario_id,,,,,,,,
rps_target_scenario_id,,,,,,,1,1
carbon_cap_target_scenario_id,,,,,,,,
prm_requirement_scenario_id,,,,,,,,
local_capacity_requirement_scenario_id,,,,,,,,
elcc_surface_scenario_id,,,,,,,,
tuning_scenario_id,,,,,,,,
solver_options_id,1,1,1,1,1,1,1,1
transmission_new_cost_scenario_id,,,,,,,,
