load_scenario_id,load_zone,stage_id,timepoint,load_mw
2,Zone1,1,20200101,655.2
2,Zone1,1,20200102,639.6
2,Zone1,1,20200103,640.8
2,Zone1,1,20200104,646.8
2,Zone1,1,20200105,663.6
2,Zone1,1,20200106,688.8
2,Zone1,1,20200107,718.8
2,Zone1,1,20200108,747.6
2,Zone1,1,20200109,770.4
2,Zone1,1,20200110,783.6
2,Zone1,1,20200111,783.6
2,Zone1,1,20200112,776.4
2,Zone1,1,20200113,764.4
2,Zone1,1,20200114,751.2
2,Zone1,1,20200115,739.2
2,Zone1,1,20200116,736.8
2,Zone1,1,20200117,740.4
2,Zone1,1,20200118,746.4
2,Zone1,1,20200119,746.4
2,Zone1,1,20200120,739.2
2,Zone1,1,20200121,724.8
2,Zone1,1,20200122,702
2,Zone1,1,20200123,676.8
2,Zone1,1,20200124,655.2
2,Zone1,1,20200201,846
2,Zone1,1,20200202,828
2,Zone1,1,20200203,812.4
2,Zone1,1,20200204,805.2
2,Zone1,1,20200205,800.4
2,Zone1,1,20200206,799.2
2,Zone1,1,20200207,800.4
2,Zone1,1,20200208,804
2,Zone1,1,20200209,807.6
2,Zone1,1,20200210,811.2
2,Zone1,1,20200211,817.2
2,Zone1,1,20200212,824.4
2,Zone1,1,20200213,832.8
2,Zone1,1,20200214,840
2,Zone1,1,20200215,844.8
2,Zone1,1,20200216,846
2,Zone1,1,20200217,844.8
2,Zone1,1,20200218,850.8
2,Zone1,1,20200219,860.4
2,Zone1,1,20200220,871.2
2,Zone1,1,20200221,883.2
2,Zone1,1,20200222,891.6
2,Zone1,1,20200223,890.4
2,Zone1,1,20200224,880.8
2,Zone1,1,20250101,1092
2,Zone1,1,20250102,1065.6
2,Zone1,1,20250103,1068
2,Zone1,1,20250104,1077.6
2,Zone1,1,20250105,1105.2
2,Zone1,1,20250106,1148.4
2,Zone1,1,20250107,1197.6
2,Zone1,1,20250108,1245.6
2,Zone1,1,20250109,1284
2,Zone1,1,20250110,1305.6
2,Zone1,1,20250111,1305.6
2,Zone1,1,20250112,1293.6
2,Zone1,1,20250113,1273.2
2,Zone1,1,20250114,1251.6
2,Zone1,1,20250115,1232.4
2,Zone1,1,20250116,1227.6
2,Zone1,1,20250117,1234.8
2,Zone1,1,20250118,1244.4
2,Zone1,1,20250119,1243.2
2,Zone1,1,20250120,1232.4
2,Zone1,1,20250121,1208.4
2,Zone1,1,20250122,1170
2,Zone1,1,20250123,1126.8
2,Zone1,1,20250124,1092
2,Zone1,1,20250201,1410
2,Zone1,1,20250202,1380
2,Zone1,1,20250203,1353.6
2,Zone1,1,20250204,1341.6
2,Zone1,1,20250205,1334.4
2,Zone1,1,20250206,1332
2,Zone1,1,20250207,1334.4
2,Zone1,1,20250208,1340.4
2,Zone1,1,20250209,1345.2
2,Zone1,1,20250210,1352.4
2,Zone1,1,20250211,1362
2,Zone1,1,20250212,1374
2,Zone1,1,20250213,1388.4
2,Zone1,1,20250214,1399.2
2,Zone1,1,20250215,1407.6
2,Zone1,1,20250216,1410
2,Zone1,1,20250217,1407.6
2,Zone1,1,20250218,1417.2
2,Zone1,1,20250219,1434
2,Zone1,1,20250220,1452
2,Zone1,1,20250221,1471.2
2,Zone1,1,20250222,1486.8
2,Zone1,1,20250223,1483.2
2,Zone1,1,20250224,1468.8
2,Zone2,1,20200101,873.6
2,Zone2,1,20200102,853.2
2,Zone2,1,20200103,854.4
2,Zone2,1,20200104,861.6
2,Zone2,1,20200105,884.4
2,Zone2,1,20200106,919.2
2,Zone2,1,20200107,958.8
2,Zone2,1,20200108,997.2
2,Zone2,1,20200109,1027.2
2,Zone2,1,20200110,1044
2,Zone2,1,20200111,1045.2
2,Zone2,1,20200112,1034.4
2,Zone2,1,20200113,1018.8
2,Zone2,1,20200114,1000.8
2,Zone2,1,20200115,986.4
2,Zone2,1,20200116,981.6
2,Zone2,1,20200117,987.6
2,Zone2,1,20200118,994.8
2,Zone2,1,20200119,994.8
2,Zone2,1,20200120,985.2
2,Zone2,1,20200121,967.2
2,Zone2,1,20200122,936
