temporal_scenario_id,subproblem_id,stage_id,timepoint,horizon,balancing_type_horizon
2,1,1,20200101,202001,day
2,1,1,20200102,202001,day
2,1,1,20200103,202001,day
2,1,1,20200104,202001,day
2,1,1,20200105,202001,day
2,1,1,20200106,202001,day
2,1,1,20200107,202001,day
2,1,1,20200108,202001,day
2,1,1,20200109,202001,day
2,1,1,20200110,202001,day
2,1,1,20200111,202001,day
2,1,1,20200112,202001,day
2,1,1,20200113,202001,day
2,1,1,20200114,202001,day
2,1,1,20200115,202001,day
2,1,1,20200116,202001,day
2,1,1,20200117,202001,day
2,1,1,20200118,202001,day
2,1,1,20200119,202001,day
2,1,1,20200120,202001,day
2,1,1,20200121,202001,day
2,1,1,20200122,202001,day
2,1,1,20200123,202001,day
2,1,1,20200124,202001,day
2,1,1,20200201,202002,day
2,1,1,20200202,202002,day
2,1,1,20200203,202002,day
2,1,1,20200204,202002,day
2,1,1,20200205,202002,day
2,1,1,20200206,202002,day
2,1,1,20200207,202002,day
2,1,1,20200208,202002,day
2,1,1,20200209,202002,day
2,1,1,20200210,202002,day
2,1,1,20200211,202002,day
2,1,1,20200212,202002,day
2,1,1,20200213,202002,day
2,1,1,20200214,202002,day
2,1,1,20200215,202002,day
2,1,1,20200216,202002,day
2,1,1,20200217,202002,day
2,1,1,20200218,202002,day
2,1,1,20200219,202002,day
2,1,1,20200220,202002,day
2,1,1,20200221,202002,day
2,1,1,20200222,202002,day
2,1,1,20200223,202002,day
2,1,1,20200224,202002,day
2,1,1,20250101,202501,day
2,1,1,20250102,202501,day
2,1,1,20250103,202501,day
2,1,1,20250104,202501,day
2,1,1,20250105,202501,day
2,1,1,20250106,202501,day
2,1,1,20250107,202501,day
2,1,1,20250108,202501,day
2,1,1,20250109,202501,day
2,1,1,20250110,202501,day
2,1,1,20250111,202501,day
2,1,1,20250112,202501,day
2,1,1,20250113,202501,day
2,1,1,20250114,202501,day
2,1,1,20250115,202501,day
2,1,1,20250116,202501,day
2,1,1,20250117,202501,day
2,1,1,20250118,202501,day
2,1,1,20250119,202501,day
2,1,1,20250120,202501,day
2,1,1,20250121,202501,day
2,1,1,20250122,202501,day
2,1,1,20250123,202501,day
2,1,1,20250124,202501,day
2,1,1,20250201,202502,day
2,1,1,20250202,202502,day
2,1,1,20250203,202502,day
2,1,1,20250204,202502,day
2,1,1,20250205,202502,day
2,1,1,20250206,202502,day
2,1,1,20250207,202502,day
2,1,1,20250208,202502,day
2,1,1,20250209,202502,day
2,1,1,20250210,202502,day
2,1,1,20250211,202502,day
2,1,1,20250212,202502,day
2,1,1,20250213,202502,day
2,1,1,20250214,202502,day
2,1,1,20250215,202502,day
2,1,1,20250216,202502,day
2,1,1,20250217,202502,day
2,1,1,20250218,202502,day
2,1,1,20250219,202502,day
2,1,1,20250220,202502,day
2,1,1,20250221,202502,day
2,1,1,20250222,202502,day
2,1,1,20250223,202502,day
2,1,1,20250224,202502,day
