temporal_scenario_id,subproblem_id,stage_id,timepoint,horizon,balancing_type_horizon
3,1,1,20200101,202001,day
3,1,1,20200102,202001,day
3,1,1,20200103,202001,day
3,1,1,20200104,202001,day
3,1,1,20200105,202001,day
3,1,1,20200106,202001,day
3,1,1,20200107,202001,day
3,1,1,20200108,202001,day
3,1,1,20200109,202001,day
3,1,1,20200110,202001,day
3,1,1,20200111,202001,day
3,1,1,20200112,202001,day
3,1,1,20200113,202001,day
3,1,1,20200114,202001,day
3,1,1,20200115,202001,day
3,1,1,20200116,202001,day
3,1,1,20200117,202001,day
3,1,1,20200118,202001,day
3,1,1,20200119,202001,day
3,1,1,20200120,202001,day
3,1,1,20200121,202001,day
3,1,1,20200122,202001,day
3,1,1,20200123,202001,day
3,1,1,20200124,202001,day
3,1,1,20200201,202002,day
3,1,1,20200202,202002,day
3,1,1,20200203,202002,day
3,1,1,20200204,202002,day
3,1,1,20200205,202002,day
3,1,1,20200206,202002,day
3,1,1,20200207,202002,day
3,1,1,20200208,202002,day
3,1,1,20200209,202002,day
3,1,1,20200210,202002,day
3,1,1,20200211,202002,day
3,1,1,20200212,202002,day
3,1,1,20200213,202002,day
3,1,1,20200214,202002,day
3,1,1,20200215,202002,day
3,1,1,20200216,202002,day
3,1,1,20200217,202002,day
3,1,1,20200218,202002,day
3,1,1,20200219,202002,day
3,1,1,20200220,202002,day
3,1,1,20200221,202002,day
3,1,1,20200222,202002,day
3,1,1,20200223,202002,day
3,1,1,20200224,202002,day
