regulation_down_scenario_id,regulation_down_ba,stage_id,timepoint,regulation_down_mw
1,Zone1,1,20200101,1
1,Zone1,1,20200102,2
1,Zone1,1,20200201,1
1,Zone1,1,20200202,2
1,Zone1,1,20200301,1
1,Zone1,1,20200302,2
1,Zone1,1,20300101,1
1,Zone1,1,20300102,2
1,Zone1,1,20300201,1
1,Zone1,1,20300202,2
1,Zone1,1,20300301,1
1,Zone1,1,20300302,2
1,Zone1,2,20200101,1
1,Zone1,2,20200102,2
1,Zone1,2,20200201,1
1,Zone1,2,20200202,2
1,Zone1,2,20200301,1
1,Zone1,2,20200302,2
1,Zone1,2,20300101,1
1,Zone1,2,20300102,2
1,Zone1,2,20300201,1
1,Zone1,2,20300202,2
1,Zone1,2,20300301,1
1,Zone1,2,20300302,2
