project_availability_scenario_id,project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
1,Nuclear,exogenous,,
1,Coal,exogenous,,
1,Gas_CCGT,exogenous,,
1,Gas_CT,exogenous,,
1,Wind,exogenous,,
1,Battery,exogenous,,
1,Hydro,exogenous,,
1,Gas_CCGT_new,exogenous,,
1,Gas_CT_new,exogenous,,
1,Solar,exogenous,,
1,Nuclear_z2,exogenous,,
1,Coal_z2,exogenous,,
1,Gas_CCGT_z2,exogenous,,
1,Gas_CT_z2,exogenous,,
1,Wind_z2,exogenous,,
1,Battery_z2,exogenous,,
1,Gas_CCGT_new_z2,exogenous,,
1,Gas_CT_new_z2,exogenous,,
1,Solar_z2,exogenous,,
1,Clunky_Old_Gen,exogenous,,
1,Wind_new,exogenous,,
