project_existing_capacity_scenario_id,project,period,existing_capacity_mw,existing_capacity_mwh
1,Nuclear,2020,6,
1,Coal,2020,6,
1,Gas_CCGT,2020,6,
1,Gas_CT,2020,6,
1,Wind,2020,2,
1,Battery,2020,6,6
1,Hydro,2020,6,
1,Nuclear_z2,2020,6,
1,Coal_z2,2020,6,
1,Gas_CCGT_z2,2020,6,
1,Gas_CT_z2,2020,6,
1,Wind_z2,2020,2,
1,Battery_z2,2020,6,6
1,Nuclear,2030,6,
1,Coal,2030,6,
1,Gas_CCGT,2030,6,
1,Gas_CT,2030,6,
1,Wind,2030,2,
1,Battery,2030,6,6
1,Hydro,2030,6,
1,Nuclear_z2,2030,6,
1,Coal_z2,2030,6,
1,Gas_CCGT_z2,2030,6,
1,Gas_CT_z2,2030,6,
1,Wind_z2,2030,2,
1,Battery_z2,2030,6,6
1,Clunky_Old_Gen,2020,10,
1,Clunky_Old_Gen,2030,10,
1,Gas_CCGT_z3,2020,6,
1,Gas_CCGT_z3,2030,6,
