project_existing_fixed_cost_scenario_id,project,period,annual_fixed_cost_per_kw_year,annual_fixed_cost_per_kwh_year
1,Nuclear,2020,0,
1,Coal,2020,0,
1,Gas_CCGT,2020,0,
1,Gas_CT,2020,0,
1,Wind,2020,0,
1,Battery,2020,0,0
1,Hydro,2020,0,
1,Nuclear_z2,2020,0,
1,Coal_z2,2020,0,
1,Gas_CCGT_z2,2020,0,
1,Gas_CT_z2,2020,0,
1,Wind_z2,2020,0,
1,Battery_z2,2020,0,0
1,Nuclear,2030,0,
1,Coal,2030,0,
1,Gas_CCGT,2030,0,
1,Gas_CT,2030,0,
1,Wind,2030,0,
1,Battery,2030,0,0
1,Hydro,2030,0,
1,Nuclear_z2,2030,0,
1,Coal_z2,2030,0,
1,Gas_CCGT_z2,2030,0,
1,Gas_CT_z2,2030,0,
1,Wind_z2,2030,0,
1,Battery_z2,2030,0,0
1,Clunky_Old_Gen,2020,1000,
1,Clunky_Old_Gen,2030,1000,
1,Gas_CCGT_z3,2020,0,
1,Gas_CCGT_z3,2030,0,
