project_new_cost_scenario_id,project,period,lifetime_yrs,annualized_real_cost_per_kw_yr,annualized_real_cost_per_kwh_yr,levelized_cost_per_mwh,supply_curve_scenario_id
1,Gas_CCGT_new,2020,30,200,,,
1,Solar,2020,30,0.1,,,
1,Gas_CCGT_new_z2,2020,30,200,,,
1,Gas_CT_new_z2,2020,30,140,,,
1,Solar_z2,2020,30,0.1,,,
1,Gas_CCGT_new,2030,30,180,,,
1,Gas_CT_new,2030,30,140,,,
1,Solar,2030,30,0.1,,,
1,Gas_CCGT_new_z2,2030,30,180,,,
1,Gas_CT_new_z2,2030,30,140,,,
1,Solar_z2,2030,30,0.1,,,
1,Battery,2020,10,0.001,0.001,,
1,Battery,2030,10,0.001,0.001,,
