project_new_potential_scenario_id,project,period,minimum_cumulative_new_build_mw,maximum_cumulative_new_build_mw,minimum_cumulative_new_build_mwh,maximum_cumulative_new_build_mwh
1,Gas_CCGT_new,2020,0,20,,
1,Gas_CT_New,2020,0,10,,
1,Solar,2020,0,4,,
1,Gas_CCGT_new_z2,2020,0,20,,
1,Gas_CT_new_z2,2020,0,10,,
1,Solar_z2,2020,0,4,,
1,Gas_CCGT_new,2030,0,20,,
1,Gas_CT_new,2030,0,10,,
1,Solar,2030,0,4,,
1,Gas_CCGT_new_z2,2030,0,20,,
1,Gas_CT_new_z2,2030,0,10,,
1,Solar_z2,2030,0,4,,
1,Battery,2020,0,6,,7
1,Battery,2030,10,,15,
