project_portfolio_scenario_id,name,description,filename
1,project_portfolios_1zone_nonew.csv,project_portfolios_1zone_nonew.csv,project_portfolios_1zone_nonew.csv
2,project_portfolios_1zone_nonew_wstorage,project_portfolios_1zone_nonew_wstorage,project_portfolios_1zone_nonew_wstorage
3,project_portfolios_1zone_nonew_whydro,project_portfolios_1zone_nonew_whydro,project_portfolios_1zone_nonew_whydro
4,project_portfolios_1zone_gen_new_lin,project_portfolios_1zone_gen_new_lin,project_portfolios_1zone_gen_new_lin
5,project_portfolios_1zone_gen_new_bin,project_portfolios_1zone_gen_new_bin,project_portfolios_1zone_gen_new_bin
6,project_portfolios_1zone_stor_new_lin,project_portfolios_1zone_stor_new_lin,project_portfolios_1zone_stor_new_lin
7,project_portfolios_1zone_stor_new_bin,project_portfolios_1zone_stor_new_bin,project_portfolios_1zone_stor_new_bin
8,project_portfolios_1zone_nonew_gen_ret_lin,project_portfolios_1zone_nonew_gen_ret_lin,project_portfolios_1zone_nonew_gen_ret_lin
9,project_portfolios_1zone_nonew_gen_ret_bin,project_portfolios_1zone_nonew_gen_ret_bin,project_portfolios_1zone_nonew_gen_ret_bin
10,project_portfolios_1zone_new_gas,project_portfolios_1zone_new_gas,project_portfolios_1zone_new_gas
11,project_portfolios_2zones_new_gas,project_portfolios_2zones_new_gas,project_portfolios_2zones_new_gas
12,project_portfolios_2zones_new_gas_z1,project_portfolios_2zones_new_gas_z1,project_portfolios_2zones_new_gas_z1
13,project_portfolios_1zone_new_gas_wind,project_portfolios_1zone_new_gas_wind,project_portfolios_1zone_new_gas_wind
14,project_portfolios_1zone_new_gas_wind_spec_stor,project_portfolios_1zone_new_gas_wind_spec_stor,project_portfolios_1zone_new_gas_wind_spec_stor
