load_scenario_id,load_zone,stage_id,timepoint,load_mw
1,Zone1,1,20200101,10
1,Zone1,1,20200102,20
1,Zone1,1,20200201,10
1,Zone1,1,20200202,20
1,Zone1,1,20200301,10
1,Zone1,1,20200302,20
1,Zone1,2,20200101,10
1,Zone1,2,20200102,20
1,Zone1,2,20200201,10
1,Zone1,2,20200202,20
1,Zone1,2,20200301,10
1,Zone1,2,20200302,20
1,Zone1,3,20200101,10
1,Zone1,3,20200102,20
1,Zone1,3,20200201,10
1,Zone1,3,20200202,20
1,Zone1,3,20200301,10
1,Zone1,3,20200302,20
1,Zone1,1,20300101,10
1,Zone1,1,20300102,20
1,Zone2,1,20200101,10
1,Zone2,1,20200102,10
1,Zone2,1,20200201,10
1,Zone2,1,20200202,10
1,Zone2,1,20200301,10
1,Zone2,1,20200302,10
1,Zone2,2,20200101,10
1,Zone2,2,20200102,10
1,Zone2,2,20200201,10
1,Zone2,2,20200202,10
1,Zone2,2,20200301,10
1,Zone2,2,20200302,10
1,Zone2,3,20200101,10
1,Zone2,3,20200102,10
1,Zone2,3,20200201,10
1,Zone2,3,20200202,10
1,Zone2,3,20200301,10
1,Zone2,3,20200302,10
1,Zone2,1,20300101,10
1,Zone2,1,20300102,10
1,Zone3,1,20200101,30
1,Zone3,1,20200102,30
1,Zone3,1,20300101,30
1,Zone3,1,20300102,30
