project	load_zone	capacity_type	availability_type	variable_om_cost_per_mwh	operational_type	balancing_type_project	lf_reserves_up_ba	regulation_up_ba	lf_reserves_down_ba	regulation_down_ba	min_stable_level_fraction	shutdown_cost_per_mw	fuel	unit_size_mw
Nuclear	Zone1	existing_gen_no_economic_retirement	exogenous	1	must_run	day	.	.	.	.	.	.	Uranium	.
Gas_CCGT	Zone1	existing_gen_no_economic_retirement	exogenous	2	dispatchable_continuous_commit	day	BA	BA	BA	BA	0.4	2	Gas	.
Coal	Zone1	existing_gen_no_economic_retirement	exogenous	1	dispatchable_continuous_commit	day	.	BA	.	BA	0.4	0	Coal	.
Gas_CT	Zone1	existing_gen_no_economic_retirement	exogenous	2	dispatchable_continuous_commit	day	.	.	.	.	0.4	1	Gas	.
Wind	Zone1	existing_gen_no_economic_retirement	exogenous	0	variable	day	.	.	.	.	.	.	.	.
Gas_CCGT_New	Zone1	new_build_generator	exogenous	2	dispatchable_capacity_commit	day	BA	BA	BA	BA	0.4	2	Gas	6
Gas_CT_New	Zone1	new_build_generator	exogenous	2	dispatchable_capacity_commit	day	.	.	.	.	0.4	1	Gas	6
Nuclear_z2	Zone2	existing_gen_no_economic_retirement	exogenous	1	must_run	day	.	.	.	.	.	.	Uranium	.
Gas_CCGT_z2	Zone2	existing_gen_no_economic_retirement	exogenous	2	dispatchable_continuous_commit	day	BA	BA	BA	BA	0.4	2	Gas	.
Coal_z2	Zone2	existing_gen_no_economic_retirement	exogenous	1	dispatchable_continuous_commit	day	.	BA	.	BA	0.4	0	Coal	.
Gas_CT_z2	Zone2	existing_gen_no_economic_retirement	exogenous	2	dispatchable_continuous_commit	day	.	.	.	.	0.4	1	Gas	.
Wind_z2	Zone2	existing_gen_no_economic_retirement	exogenous	0	variable	day	.	.	.	.	.	.	.	.
Gas_CCGT_New_z2	Zone2	new_build_generator	exogenous	2	dispatchable_capacity_commit	day	BA	BA	BA	BA	0.4	2	Gas	6
Gas_CT_New_z2	Zone2	new_build_generator	exogenous	2	dispatchable_capacity_commit	day	.	.	.	.	0.4	1	Gas	6
