project,period,capacity_type,technology,load_zone,capacity_mw,hyb_gen_capacity_mw,hyb_stor_capacity_mw,capacity_mwh
Coal,2020,gen_spec,Coal,Zone1,6.0,0.0,0.0,0.0
Coal,2030,gen_spec,Coal,Zone1,6.0,0.0,0.0,0.0
Gas_CCGT,2020,gen_spec,Gas,Zone1,6.0,0.0,0.0,0.0
Gas_CCGT,2030,gen_spec,Gas,Zone1,6.0,0.0,0.0,0.0
Gas_CT,2020,gen_spec,Gas,Zone1,6.0,0.0,0.0,0.0
Gas_CT,2030,gen_spec,Gas,Zone1,6.0,0.0,0.0,0.0
Nuclear,2020,gen_spec,Nuclear,Zone1,6.0,0.0,0.0,0.0
Nuclear,2030,gen_spec,Nuclear,Zone1,6.0,0.0,0.0,0.0
Wind,2020,gen_spec,Wind,Zone1,2.0,0.0,0.0,0.0
Wind,2030,gen_spec,Wind,Zone1,2.0,0.0,0.0,0.0
Wind_new,2030,gen_new_lin,Wind,Zone1,67.33333400000001,0.0,0.0,0.0
Wind_new,2020,gen_new_lin,Wind,Zone1,41.703704,0.0,0.0,0.0
Gas_CCGT_new,2030,gen_new_lin,Gas,Zone1,7.3333333,0.0,0.0,0.0
Gas_CT_new,2030,gen_new_lin,Gas,Zone1,0.0,0.0,0.0,0.0
Gas_CCGT_new,2020,gen_new_lin,Gas,Zone1,7.3333333,0.0,0.0,0.0
