project,period,horizon,timepoint,timepoint_weight,number_of_hours_in_timepoint,load_zone,technology,carbon_emissions_tons
Coal,2020,202001,20200101,4380.0,1,Zone1,Coal,0.0
Coal,2020,202001,20200102,4380.0,1,Zone1,Coal,0.0
Coal,2030,203001,20300101,4380.0,1,Zone1,Coal,0.0
Coal,2030,203001,20300102,4380.0,1,Zone1,Coal,0.0
Gas_CCGT,2020,202001,20200101,4380.0,1,Zone1,Gas,80.990784
Gas_CCGT,2020,202001,20200102,4380.0,1,Zone1,Gas,81.50016000000001
Gas_CCGT,2030,203001,20300101,4380.0,1,Zone1,Gas,0.0
Gas_CCGT,2030,203001,20300102,4380.0,1,Zone1,Gas,81.50016000000001
Gas_CCGT_new,2020,202001,20200101,4380.0,1,Zone1,Gas,8.928229510200001
Gas_CCGT_new,2020,202001,20200102,4380.0,1,Zone1,Gas,98.337864898
Gas_CCGT_new,2030,203001,20300101,4380.0,1,Zone1,Gas,89.919015102
Gas_CCGT_new,2030,203001,20300102,4380.0,1,Zone1,Gas,98.337864898
Gas_CT,2020,202001,20200101,4380.0,1,Zone1,Gas,0.0
Gas_CT,2020,202001,20200102,4380.0,1,Zone1,Gas,0.0
Gas_CT,2030,203001,20300101,4380.0,1,Zone1,Gas,0.0
Gas_CT,2030,203001,20300102,4380.0,1,Zone1,Gas,0.0
Gas_CT_new,2030,203001,20300101,4380.0,1,Zone1,Gas,0.0
Gas_CT_new,2030,203001,20300102,4380.0,1,Zone1,Gas,0.0
Nuclear,2020,202001,20200101,4380.0,1,Zone1,Nuclear,0.0
Nuclear,2020,202001,20200102,4380.0,1,Zone1,Nuclear,0.0
Nuclear,2030,203001,20300101,4380.0,1,Zone1,Nuclear,0.0
Nuclear,2030,203001,20300102,4380.0,1,Zone1,Nuclear,0.0
