project,period,horizon,timepoint,operational_type,balancing_type,timepoint_weight,number_of_hours_in_timepoint,load_zone,technology,power_mw
Coal,2020,202001,20200101,gen_commit_cap,day,4380.0,1,Zone1,Coal,0.0
Coal,2020,202001,20200102,gen_commit_cap,day,4380.0,1,Zone1,Coal,0.0
Coal,2030,203001,20300101,gen_commit_cap,day,4380.0,1,Zone1,Coal,0.0
Coal,2030,203001,20300102,gen_commit_cap,day,4380.0,1,Zone1,Coal,0.0
Gas_CCGT,2020,202001,20200101,gen_commit_cap,day,4380.0,1,Zone1,Gas,4.4
Gas_CCGT,2020,202001,20200102,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0
Gas_CCGT,2030,203001,20300101,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.0
Gas_CCGT,2030,203001,20300102,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0
Gas_CCGT_new,2020,202001,20200101,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.26666667
Gas_CCGT_new,2020,202001,20200102,gen_commit_cap,day,4380.0,1,Zone1,Gas,3.3333333
Gas_CCGT_new,2030,203001,20300101,gen_commit_cap,day,4380.0,1,Zone1,Gas,4.6666667
Gas_CCGT_new,2030,203001,20300102,gen_commit_cap,day,4380.0,1,Zone1,Gas,3.3333333
Gas_CT,2020,202001,20200101,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.0
Gas_CT,2020,202001,20200102,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.0
Gas_CT,2030,203001,20300101,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.0
Gas_CT,2030,203001,20300102,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.0
Gas_CT_new,2030,203001,20300101,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.0
Gas_CT_new,2030,203001,20300102,gen_commit_cap,day,4380.0,1,Zone1,Gas,0.0
Nuclear,2020,202001,20200101,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0
Nuclear,2020,202001,20200102,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0
Nuclear,2030,203001,20300101,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0
Nuclear,2030,203001,20300102,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0
Wind,2020,202001,20200101,gen_var,day,4380.0,1,Zone1,Wind,1.8
Wind,2020,202001,20200102,gen_var,day,4380.0,1,Zone1,Wind,1.0
Wind,2030,203001,20300101,gen_var,day,4380.0,1,Zone1,Wind,1.8
Wind,2030,203001,20300102,gen_var,day,4380.0,1,Zone1,Wind,1.0
Wind_new,2020,202001,20200101,gen_var,day,4380.0,1,Zone1,Wind,37.533333
Wind_new,2020,202001,20200102,gen_var,day,4380.0,1,Zone1,Wind,16.744292
Wind_new,2030,203001,20300101,gen_var,day,4380.0,1,Zone1,Wind,20.610959
Wind_new,2030,203001,20300102,gen_var,day,4380.0,1,Zone1,Wind,33.666667
