project,period,balancing_type_project,horizon,timepoint,timepoint_weight,number_of_hours_in_timepoint,technology,load_zone,power_mw,gross_power_mw,auxiliary_consumption_mw,net_power_mw,committed_mw,committed_units
Gas_CT,2020,day,202001,20200102,4380.0,1,Gas,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Coal,2020,day,202001,20200102,4380.0,1,Coal,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_new,2030,day,203001,20300102,4380.0,1,Gas,Zone1,3.3333333,3.3333333,0.0,3.3333333,7.3333333,1.2222222166666665
Gas_CT_new,2030,day,203001,20300102,4380.0,1,Gas,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_new,2020,day,202001,20200101,4380.0,1,Gas,Zone1,0.26666667,0.26666667,0.0,0.26666667,0.66666667,0.11111111166666666
Gas_CT,2030,day,203001,20300102,4380.0,1,Gas,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CT,2020,day,202001,20200101,4380.0,1,Gas,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Coal,2020,day,202001,20200101,4380.0,1,Coal,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT,2030,day,203001,20300102,4380.0,1,Gas,Zone1,6.0,6.0,0.0,6.0,6.0,1.0
Gas_CCGT_new,2030,day,203001,20300101,4380.0,1,Gas,Zone1,4.6666667,4.6666667,0.0,4.6666667,6.6666667,1.1111111166666667
Gas_CCGT,2020,day,202001,20200101,4380.0,1,Gas,Zone1,4.4,4.4,0.0,4.4,6.0,1.0
Gas_CT_new,2030,day,203001,20300101,4380.0,1,Gas,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Coal,2030,day,203001,20300102,4380.0,1,Coal,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT,2030,day,203001,20300101,4380.0,1,Gas,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CT,2030,day,203001,20300101,4380.0,1,Gas,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Coal,2030,day,203001,20300101,4380.0,1,Coal,Zone1,0.0,0.0,0.0,0.0,0.0,0.0
Gas_CCGT_new,2020,day,202001,20200102,4380.0,1,Gas,Zone1,3.3333333,3.3333333,0.0,3.3333333,7.3333333,1.2222222166666665
Gas_CCGT,2020,day,202001,20200102,4380.0,1,Gas,Zone1,6.0,6.0,0.0,6.0,6.0,1.0
