project,period,horizon,timepoint,timepoint_weight,number_of_hours_in_timepoint,load_zone,technology,fuel,fuel_burn_operations_mmbtu,fuel_burn_startup_mmbtu,total_fuel_burn_mmbtu
Coal,2020,202001,20200101,4380.0,1,Zone1,Coal,Coal,0.0,,0.0
Coal,2020,202001,20200102,4380.0,1,Zone1,Coal,Coal,0.0,,0.0
Coal,2030,203001,20300101,4380.0,1,Zone1,Coal,Coal,0.0,,0.0
Coal,2030,203001,20300102,4380.0,1,Zone1,Coal,Coal,0.0,,0.0
Gas_CCGT,2020,202001,20200101,4380.0,1,Zone1,Gas,Gas,1526.4,,1526.4
Gas_CCGT,2020,202001,20200102,4380.0,1,Zone1,Gas,Gas,1536.0,,1536.0
Gas_CCGT,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,0.0,,0.0
Gas_CCGT,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,1536.0,,1536.0
Gas_CCGT_new,2020,202001,20200101,4380.0,1,Zone1,Gas,Gas,168.26667,,168.26667
Gas_CCGT_new,2020,202001,20200102,4380.0,1,Zone1,Gas,Gas,1853.3333,,1853.3333
Gas_CCGT_new,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,1694.6667,,1694.6667
Gas_CCGT_new,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,1853.3333,,1853.3333
Gas_CT,2020,202001,20200101,4380.0,1,Zone1,Gas,Gas,0.0,,0.0
Gas_CT,2020,202001,20200102,4380.0,1,Zone1,Gas,Gas,0.0,,0.0
Gas_CT,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,0.0,,0.0
Gas_CT,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,0.0,,0.0
Gas_CT_new,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,0.0,,0.0
Gas_CT_new,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,0.0,,0.0
Nuclear,2020,202001,20200101,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02
Nuclear,2020,202001,20200102,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02
Nuclear,2030,203001,20300101,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02
Nuclear,2030,203001,20300102,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02
