project	timepoint	fraction
DSM_Load_Component_Modifier	1	0.1
DSM_Load_Component_Modifier	2	0.1
DSM_Load_Component_Modifier	3	0.1
DSM_Load_Component_Modifier	4	0.1
DSM_Load_Component_Modifier	5	0.1
DSM_Load_Component_Modifier	6	0.1
DSM_Load_Component_Modifier	7	0.1
DSM_Load_Component_Modifier	8	0.1
DSM_Load_Component_Modifier	9	0.2
DSM_Load_Component_Modifier	10	0.2
DSM_Load_Component_Modifier	11	0.2
DSM_Load_Component_Modifier	12	0.2
DSM_Load_Component_Modifier	13	0.2
DSM_Load_Component_Modifier	14	0.2
DSM_Load_Component_Modifier	15	0.2
DSM_Load_Component_Modifier	16	0.2
DSM_Load_Component_Modifier	17	0.1
DSM_Load_Component_Modifier	18	0.1
DSM_Load_Component_Modifier	19	0.1
DSM_Load_Component_Modifier	20	0.1
DSM_Load_Component_Modifier	21	0.1
DSM_Load_Component_Modifier	22	0.1
DSM_Load_Component_Modifier	23	0.1
DSM_Load_Component_Modifier	24	0.1
