load_zone	timepoint	load_component	load_mw
Zone1	1	all	77.84
Zone1	2	all	75.76
Zone1	3	all	73.52
Zone1	4	all	74.16
Zone1	5	all	74.16
Zone1	6	all	75.84
Zone1	7	all	78.96
Zone1	8	all	84.744
Zone1	9	all	88.264
Zone1	10	all	90.464
Zone1	11	all	93.984
Zone1	12	all	102.528
Zone1	13	all	103.872
Zone1	14	all	104.256
Zone1	15	all	106.272
Zone1	16	all	106.368
Zone1	17	all	111.456
Zone1	18	all	109.248
Zone1	19	all	107.904
Zone1	20	all	98.384
Zone1	21	all	96.096
Zone1	22	all	93.104
Zone1	23	all	82.656
Zone1	24	all	77.868
