project	timepoint	cap_factor
DSM_EE	1	0.1
DSM_EE	2	0.2
DSM_EE	3	0.3
DSM_EE	4	0.4
DSM_EE	5	0.5
DSM_EE	6	0.6
DSM_EE	7	0.7
DSM_EE	8	0.8
DSM_EE	9	0.9
DSM_EE	10	1.0
DSM_EE	11	1.1
DSM_EE	12	1.2
DSM_EE	13	1.2
DSM_EE	14	1.1
DSM_EE	15	1.0
DSM_EE	16	0.9
DSM_EE	17	0.8
DSM_EE	18	0.7
DSM_EE	19	0.6
DSM_EE	20	0.5
DSM_EE	21	0.4
DSM_EE	22	0.3
DSM_EE	23	0.2
DSM_EE	24	0.1
DSM_EV	1	-0.1
DSM_EV	2	-0.1
DSM_EV	3	-0.1
DSM_EV	4	-0.1
DSM_EV	5	-0.1
DSM_EV	6	-0.1
DSM_EV	7	-0.1
DSM_EV	8	-0.1
DSM_EV	9	-0.1
DSM_EV	10	-0.1
DSM_EV	11	-0.1
DSM_EV	12	-0.1
DSM_EV	13	0.1
DSM_EV	14	0.1
DSM_EV	15	0.1
DSM_EV	16	0.1
DSM_EV	17	0.1
DSM_EV	18	0.1
DSM_EV	19	0.1
DSM_EV	20	0.1
DSM_EV	21	0.1
DSM_EV	22	0.1
DSM_EV	23	0.1
DSM_EV	24	0.1
DSM_Flat_Load_Reduction	1	0.1
DSM_Flat_Load_Reduction	2	0.1
DSM_Flat_Load_Reduction	3	0.1
DSM_Flat_Load_Reduction	4	0.1
DSM_Flat_Load_Reduction	5	0.1
DSM_Flat_Load_Reduction	6	0.1
DSM_Flat_Load_Reduction	7	0.1
DSM_Flat_Load_Reduction	8	0.1
DSM_Flat_Load_Reduction	9	0.1
DSM_Flat_Load_Reduction	10	0.1
DSM_Flat_Load_Reduction	11	0.1
DSM_Flat_Load_Reduction	12	0.1
DSM_Flat_Load_Reduction	13	0.1
DSM_Flat_Load_Reduction	14	0.1
DSM_Flat_Load_Reduction	15	0.1
DSM_Flat_Load_Reduction	16	0.1
DSM_Flat_Load_Reduction	17	0.1
DSM_Flat_Load_Reduction	18	0.1
DSM_Flat_Load_Reduction	19	0.1
DSM_Flat_Load_Reduction	20	0.1
DSM_Flat_Load_Reduction	21	0.1
DSM_Flat_Load_Reduction	22	0.1
DSM_Flat_Load_Reduction	23	0.1
DSM_Flat_Load_Reduction	24	0.1
DSM_Load_Shed	1	0.0
DSM_Load_Shed	2	0.0
DSM_Load_Shed	3	0.0
DSM_Load_Shed	4	0.0
DSM_Load_Shed	5	0.0
DSM_Load_Shed	6	0.0
DSM_Load_Shed	7	0.0
DSM_Load_Shed	8	0.0
DSM_Load_Shed	9	0.0
DSM_Load_Shed	10	0.0
DSM_Load_Shed	11	0.0
DSM_Load_Shed	12	0.0
DSM_Load_Shed	13	0.0
DSM_Load_Shed	14	0.0
DSM_Load_Shed	15	0.0
DSM_Load_Shed	16	0.0
DSM_Load_Shed	17	0.1
DSM_Load_Shed	18	0.1
DSM_Load_Shed	19	0.1
DSM_Load_Shed	20	0.0
DSM_Load_Shed	21	0.0
DSM_Load_Shed	22	0.0
DSM_Load_Shed	23	0.0
DSM_Load_Shed	24	0.0
